real,pre
48,58.415
57,51.565
61,55.37
45,48.905
50,54.24
28,44.67
62,43.795
50,50.685
40,39.59
46,42.235
35,37.225
26,27.72
29,26.21
43,38.855
40,37.905
20,20.805
24,24.47
29,28.37
29,27.0
35,33.625
27,31.515
29,27.785
27,31.055
24,24.205
30,24.365
28,26.575
26,23.225
13,17.99
34,31.765
34,30.735
15,19.525
19,21.695
29,25.615
23,26.7
27,26.465
22,26.025
25,26.48
33,30.67
29,32.37
27,27.125
27,26.565
36,35.315
46,44.39
37,37.545
47,40.69
35,42.675
46,41.125
70,62.255
67,67.235
71,74.985
50,54.725
63,62.71
87,84.42
93,95.305
101,101.615
104,102.22
136,132.24
133,127.695
103,112.1
131,132.19
139,137.46
145,145.585
141,138.435
162,156.13
206,218.315
242,238.91
242,246.845
295,305.56
364,340.935
368,369.0
409,385.08
346,359.555
343,364.405
367,373.31
393,396.2
473,438.755
444,441.63
427,449.635
528,515.895
594,605.19
629,626.665
634,645.855
667,645.96
593,614.61
618,614.945
520,538.03
585,572.39
612,601.11
621,627.25
636,632.74
671,674.785
699,685.83
692,701.26
686,700.935
689,682.075
632,635.435
626,623.94
673,648.2
638,647.89
678,676.075
646,654.825
652,670.96
693,684.65
712,693.45
691,670.48
609,635.32
689,655.39
608,628.865
654,631.8
589,612.655
637,616.71
587,583.92
578,558.105
524,546.21
538,531.26
543,543.025
559,551.29
530,582.1
538,543.49
506,517.915
463,471.41
406,424.57
464,458.395
478,470.04
444,458.37
465,449.9
459,463.58
429,438.14
453,462.925
444,451.46
443,440.225
449,448.82
436,436.925
452,449.305
437,428.545
420,433.33
382,391.56
398,382.025
384,395.215
468,442.395
492,483.55
523,520.695
541,534.505
554,536.07
462,489.36
444,460.625
446,464.335
456,456.735
465,462.28
447,450.135
462,463.48
478,472.845
466,472.165
456,440.31
485,451.755
436,442.01
418,420.46
484,475.54
481,484.085
457,465.375
474,480.34
492,490.535
471,462.185
437,451.76
488,465.805
463,452.9
479,470.035
484,481.45
407,443.14
506,487.595
534,511.42
460,475.56
508,494.79
437,457.715
440,455.28
500,499.7
504,510.8
511,509.26
481,475.695
469,486.94
498,494.32
484,508.815
538,536.82
587,555.19
567,549.925
517,523.435
509,519.925
570,555.405
547,550.935
557,552.23
538,552.83
564,551.8
543,535.915
541,562.39
627,616.78
621,627.12
625,629.34
582,593.46
639,581.485
621,540.45
586,620.975
678,608.39
579,585.625
617,623.695
587,632.24
624,621.96
658,639.87
624,631.615
637,613.085
589,586.625
579,587.225
570,563.24
488,516.075
555,529.365
513,518.53
508,502.48
460,475.08
512,498.74
456,472.385
475,479.515
520,522.61
466,460.99
450,454.055
448,461.42
486,468.505
422,426.995
431,424.23
353,369.07
373,376.095
350,356.445
352,353.255
357,370.43
347,357.215
314,314.88
278,287.395
301,294.905
277,272.69
260,256.47
280,265.01
253,249.445
251,257.45
259,260.025
253,253.81
263,260.255
248,258.825
252,259.22
228,233.625
223,224.815
238,232.83
227,231.795
207,227.415
240,225.355
187,213.04
231,226.88
214,220.49
224,223.33
269,265.925
248,257.255
221,204.55
193,196.32
186,180.63
186,182.76
180,184.335
187,181.63
172,171.82
168,185.61
192,194.39
197,195.535
192,200.955
157,156.94
153,147.46
121,134.22
138,138.04
134,134.255
107,120.91
125,119.895
76,92.305
91,91.715
106,101.155
96,103.295
90,91.325
62,69.095
86,79.27
91,83.555
79,87.72
73,74.555
67,65.975
53,60.405
