real,pre
72.4,75.43049999999987
73.2,75.61050000000019
73.2,75.64050000000027
73.0,75.2755000000002
73.0,74.63899999999987
70.3,66.41000000000008
63.8,68.00399999999992
72.1,73.53450000000012
72.4,74.70250000000016
74.0,77.82199999999987
75.1,77.57449999999977
73.2,76.51749999999981
72.2,75.58200000000006
74.1,75.40449999999986
71.4,74.8255000000001
70.2,76.68900000000004
70.5,75.44999999999985
71.0,73.66099999999992
69.8,72.55149999999983
70.4,73.1279999999998
67.8,71.70849999999992
68.3,71.86399999999983
70.9,73.28850000000013
65.6,71.79600000000008
66.5,69.10300000000004
63.2,67.76550000000016
66.0,68.24200000000006
61.6,65.41949999999993
61.8,64.19200000000012
67.7,66.41150000000007
59.5,64.98200000000003
65.0,66.6100000000001
64.2,66.6235
62.9,65.66999999999987
62.6,64.59649999999996
62.0,64.86900000000006
65.5,66.52499999999993
64.1,65.98500000000017
63.5,65.74050000000021
59.8,66.16300000000022
62.8,65.51400000000022
66.0,67.32700000000021
66.6,69.7524999999999
68.3,70.01200000000009
66.1,68.60699999999989
67.1,67.2449999999998
63.7,66.9694999999998
68.4,69.31700000000005
68.2,69.1639999999999
66.2,69.12400000000011
67.0,69.51850000000019
68.7,70.4910000000001
67.9,70.71250000000018
69.0,70.66700000000023
67.3,71.0105000000002
68.0,71.22899999999994
68.9,70.59800000000008
67.5,70.81349999999992
69.1,71.85700000000014
68.0,72.07300000000019
69.8,71.9514999999999
70.1,71.93899999999994
69.1,71.62949999999982
70.7,72.70849999999979
69.8,72.95349999999993
70.5,72.55149999999998
68.4,71.82299999999982
69.4,72.0534999999998
68.3,71.70449999999991
68.7,71.7919999999998
68.9,72.10299999999977
69.6,71.62749999999978
69.9,71.54750000000008
68.8,71.48600000000009
69.0,71.10600000000015
66.8,70.0254999999999
68.7,70.88499999999982
68.0,70.13350000000008
64.8,67.33900000000004
63.7,65.8985
62.3,63.63399999999987
62.3,63.4774999999998
63.7,64.66749999999978
65.1,66.18349999999978
64.1,66.30249999999997
66.6,66.78400000000018
64.2,66.7025000000002
65.6,66.68349999999997
64.4,65.92450000000012
65.3,65.06550000000014
64.3,63.76299999999994
64.4,64.666
66.2,65.80800000000013
67.2,66.35299999999985
66.6,66.50249999999978
69.0,68.38549999999982
67.9,67.64550000000008
67.5,67.48499999999996
69.6,68.46950000000007
68.7,68.01700000000017
68.9,67.99549999999988
68.9,68.58099999999982
68.9,68.33000000000007
69.1,69.0699999999999
69.5,69.57999999999981
69.5,69.62300000000006
69.7,69.57500000000017
71.3,70.94750000000006
69.8,70.49649999999984
70.7,71.10549999999992
70.9,71.84549999999984
71.2,72.62449999999995
72.2,72.98050000000018
71.6,72.48400000000024
71.8,72.99200000000019
72.2,73.19249999999995
69.9,72.16500000000015
71.9,72.51800000000023
72.8,73.60150000000021
74.5,74.87149999999988
72.6,74.61099999999979
72.9,74.85850000000009
72.4,74.82650000000018
73.9,75.09299999999989
73.7,74.5829999999998
71.4,74.3445000000001
74.0,75.58100000000023
74.5,75.50600000000026
72.5,74.43050000000025
73.3,74.76200000000023
72.9,74.31100000000002
71.4,70.70149999999987
69.4,67.44150000000012
70.3,69.78449999999992
72.8,72.42949999999979
71.6,72.43849999999992
72.1,73.00449999999982
73.1,73.45950000000002
73.0,73.24099999999989
70.6,71.75599999999982
69.4,70.59150000000008
67.1,68.08700000000017
63.4,66.70249999999994
64.6,67.70200000000011
66.0,68.42200000000018
68.5,67.80600000000005
67.2,70.0440000000002
67.8,71.16050000000024
68.2,70.69850000000021
66.5,69.13399999999996
66.2,66.99400000000013
64.5,65.3545000000002
66.6,65.91900000000011
64.6,66.48700000000018
67.3,68.14000000000019
70.2,70.48100000000004
70.2,70.71649999999985
68.3,69.31999999999981
68.4,68.9904999999998
68.1,69.17299999999993
67.2,68.41149999999982
68.1,68.57099999999978
68.9,70.18499999999983
68.7,70.56200000000008
68.0,69.41100000000007
67.0,68.17650000000012
69.0,68.78099999999986
67.5,68.27849999999977
68.4,68.7889999999998
67.2,68.3440000000001
65.7,67.76500000000007
66.8,68.31950000000018
66.2,68.34350000000019
67.7,68.85149999999997
67.3,68.10249999999995
65.1,67.26299999999988
66.8,67.5710000000001
67.2,68.62850000000019
67.3,68.94200000000006
65.2,67.25750000000015
65.5,66.18399999999995
67.3,66.61400000000012
67.8,67.4444999999999
66.6,67.41399999999985
69.0,69.08850000000005
70.2,71.12699999999994
71.1,71.41400000000013
69.2,70.4185000000001
71.1,71.20150000000017
70.7,71.08149999999993
70.2,71.08749999999986
71.4,71.8825000000001
72.5,72.42150000000007
70.2,71.04649999999988
70.3,70.54550000000013
70.4,70.07600000000022
69.9,70.37900000000019
70.7,69.99549999999992
67.4,69.32100000000007
66.2,68.94299999999991
67.8,68.94000000000007
67.9,69.81649999999989
70.9,72.22149999999984
70.8,71.86850000000015
70.7,71.21700000000023
70.0,70.43900000000022
70.7,70.25900000000014
70.3,70.34049999999988
70.2,70.67050000000012
71.5,71.40950000000004
70.0,71.26849999999989
68.8,70.5935000000001
70.5,70.9330000000002
69.5,70.8870000000002
69.8,71.27749999999992
69.5,71.68899999999984
70.9,71.74800000000008
71.5,72.12949999999995
71.3,72.5225000000001
70.4,72.38950000000014
71.5,72.75349999999989
72.8,73.90049999999978
72.4,73.85799999999978
72.4,73.68600000000006
72.6,74.15300000000006
71.7,73.84850000000014
72.3,73.92450000000002
72.6,73.92099999999984
73.0,74.28449999999984
73.1,74.51700000000008
72.6,74.3989999999999
72.5,74.48900000000015
72.0,74.09749999999994
72.6,74.40000000000013
72.4,74.0175000000002
73.1,74.74150000000003
73.4,75.27199999999986
73.2,75.19900000000008
73.2,75.41650000000004
73.6,75.72099999999983
72.1,75.59349999999978
74.5,75.91249999999977
73.1,75.26699999999998
72.1,75.06600000000019
73.5,74.21900000000022
74.3,75.2385000000002
74.1,75.69199999999987
74.0,75.71099999999979
73.3,75.04250000000009
72.8,75.13350000000017
75.1,75.8869999999999
73.1,75.4645000000001
73.9,75.66550000000021
