real,pre
49,62.744141485781995
49,57.79152196947172
56,53.15691420672471
50,48.84059161560623
33,44.84255495250892
40,41.16253286481856
43,37.79998276184318
42,34.754092003838764
37,32.02377940843405
41,29.60769707319139
36,27.50423251277607
25,25.711511108614445
29,24.227398868378828
37,23.049505492527828
30,22.17518774428163
12,21.6015531189978
21,21.325463808878453
26,21.343540957968344
24,21.652169202233267
30,22.247501489092883
23,23.125464170288296
26,24.281762361374717
27,25.711885561182726
22,27.41111352366147
24,29.37452237443904
26,31.596990963919666
21,34.073207448614994
12,36.79767609146495
30,39.764724272399576
29,42.96850969914141
15,46.403027808752825
21,50.06211934950392
23,53.939478132712736
22,58.028658943833875
22,62.32308560162909
23,66.8160591543238
23,71.50076620129181
23,76.37028732847193
25,81.41760564564419
23,86.63561541359752
21,92.01713074894741
33,97.55489439423548
41,103.24158654090155
38,109.06983369246893
35,115.03221755552494
37,121.12128394554878
33,127.32955169509557
55,133.6495215513927
55,140.0736850509757
65,146.5945333580106
47,153.2045660545138
51,159.8962998690314
85,166.66227733192738
72,173.49507534451772
101,180.38731364991895
78,187.33166319351676
123,194.32085436104535
125,201.34768508260976
86,208.40502879110136
113,215.4858422235459
109,222.58317305462117
131,229.69016735123665
124,236.80007683787312
133,243.9062659624277
182,251.00221875262787
211,258.08154545346406
209,265.1379889366531
260,272.1654308729989
320,279.1578976593561
326,286.1095660923281
347,293.014768780692
305,299.86799928972977
353,306.6639170105035
305,313.39735174771533
342,320.0633080206281
393,326.65696907113863
392,333.1737005745937
363,339.6090540487089
493,345.95876995675263
528,352.21878050150895
553,358.3852121071391
590,364.4543875866372
558,370.42282799312636
565,376.28725415317854
531,382.044587881852
446,387.6919528790483
515,393.2266753070623
559,398.64628405069175
533,403.9485106605319
572,409.1312889819121
593,414.19275447112153
632,419.13124320245066
600,423.94529056883823
612,428.63362968020544
615,433.19518946398466
565,437.62909247231926
562,441.9346524014603
606,446.1113713292713
602,450.1589366767209
587,454.0772179004466
597,457.8662629231484
602,461.52629430980835
604,465.05770519721835
668,468.46105498546746
626,471.7370648000982
586,474.88661273392574
621,477.9107288781256
529,480.8105901521432
554,483.5875149428367
536,486.2429575629368
556,488.77850253960776
530,491.1958587441465
476,493.49685337376854
469,495.68342579714306
463,497.75762127488235
475,499.7215845670129
482,501.5775534395249
505,503.32785208122175
440,504.97488444424664
476,506.5211275193768
416,507.96912455922484
375,509.3214782612289
394,510.5808439230233
419,511.7499225825753
390,512.8314541554041
394,513.8282105811973
417,514.742988992165
389,515.578604915342
389,516.337885520682
395,517.0236629272457
405,517.6387675789008
355,518.1860217015533
379,518.6682328529816
389,519.0881875767502
352,519.4486451710586
388,519.7523315834596
330,520.0019334416188
335,520.2000922305733
312,520.3493986263425
392,520.4523869954171
427,520.5115300691807
434,520.5292338025624
483,520.5078324250579
500,520.4495836923636
419,520.3566643464346
401,520.2311657912994
378,520.075089991311
418,519.8903455985928
406,519.678744315607
373,519.4419974982408
396,519.181713005001
395,518.8993922964132
428,518.5964277891139
393,518.2741004683892
423,517.9335777621332
381,517.5759116791204
366,517.2020372137654
391,516.8127710191111
420,516.4088103492417
402,515.9907322719528
431,515.5589931515962
409,515.1139284024841
416,514.6557525112925
384,514.1845593279254
399,513.7003226225215
393,513.2028969069144
422,512.6920185174524
425,512.1673069561698
369,511.6282664867528
418,511.07428798110254
431,510.50465101191963
370,509.9185261866737
444,509.3149777170954
394,508.6929662188578
372,508.0513517348677
446,507.3888969758896
457,506.7042707713331
478,505.99605172302137
421,505.2627320540848
458,504.5027216453594
419,503.71435225045144
452,502.89588188149446
470,502.04549935601233
541,501.1613289964271
494,500.24143547228607
446,499.28382877590366
462,498.2864693214981
489,497.2472731577135
494,496.1641172834013
489,495.03484505653023
486,493.85727168529127
485,492.62918979133735
447,491.3483750339966
467,490.0125917850736
566,488.6195988432985
548,487.1671551774797
555,485.65302568779873
534,484.0749869740247
544,482.43083310016686
573,480.7183813447051
573,478.93547792544985
582,477.0800036888759
523,475.1498797529439
533,473.1430730933457
537,471.05760206268997
557,468.8915418328436
589,466.64302975010037
536,464.31027059360406
550,461.89154172795634
562,459.38519813967673
471,456.78967734978687
510,454.10350419252507
484,451.32529545239095
483,448.45376435104424
490,445.48772487613394
415,442.426095944498
440,439.2679053920806
461,436.01229378432583
419,432.65851803955945
365,429.2059548596616
462,425.65410396194807
427,422.0025911067145
429,418.25117091531797
392,414.39972947391357
433,410.44828671876985
382,406.3969985987802
385,402.2461590119841
305,397.9962015127653
318,393.6477007868432
315,389.20137389213437
322,384.6580812631879
322,380.01882747776403
319,375.28476178472147
292,370.4571783923633
251,365.5375165168798
267,360.5273601914164
261,355.4284378360268
214,350.24262158965837
251,344.97192640552294
218,339.618508911679
223,334.18466603907154
238,328.67283341932136
244,323.08558355565424
223,317.4256237700157
235,311.6957939300611
228,305.8990639601377
208,300.0385311408128
208,294.11741720127463
211,288.1390652101255
196,282.10693626953275
218,276.02460601887526
207,269.8957609532405
187,263.7241945636034
199,257.5138033048462
192,251.26858239863907
181,244.9926214778202
236,238.69010007990994
231,232.3652829970125
197,226.02251548971924
164,219.66621837285572
169,213.30088298123678
145,206.9310660233275
162,200.56138433121714
160,194.1965095153804
166,187.84116253265518
151,181.5001081760472
175,175.17814949512604
166,168.88012215568403
167,162.6108887475017
146,156.37533304907686
135,150.17835425802582
117,144.02486119631328
129,137.9197664987105
115,131.86798079369487
103,125.87440688523793
97,119.94393394447968
90,114.08143171968652
84,108.29174477314325
97,102.57968675339396
92,96.95003471128177
80,91.40752346778675
62,85.95684004196289
79,80.6026181467754
73,75.34943276055583
77,70.2017947818656
65,65.16414577488854
52,60.2408528128384
53,55.43620342616248
