real,pre
49,62.62825
49,56.044952
56,56.62576
50,53.289917
33,53.202477
40,45.878735
43,48.237473
42,50.627563
37,40.11079
41,45.883488
36,37.790638
25,29.131239
29,30.300932
37,40.036148
30,37.69253
12,21.913645
21,26.010775
26,29.771685
24,28.261864
30,33.19486
23,31.286528
26,30.126219
27,32.511333
22,27.516459
24,26.900732
26,27.197977
21,23.230944
12,21.093224
30,33.647404
29,30.027302
15,20.948002
21,22.884361
23,24.847095
22,27.647171
22,26.807034
23,27.761448
23,27.232182
23,29.730556
25,31.42794
23,27.178
21,27.348482
33,37.498074
41,47.36422
38,40.696827
35,42.431232
37,44.056183
33,40.976196
55,62.34278
55,74.83515
65,71.796455
47,49.680317
51,63.411373
85,92.319405
72,94.48589
101,104.12845
78,98.59684
123,141.65883
125,131.27733
86,107.37755
113,135.39214
109,135.79356
131,145.7894
124,137.08401
133,154.60866
182,221.7155
211,242.5863
209,238.74779
260,314.42554
320,340.91473
326,371.15085
347,389.3535
305,350.83655
353,366.71542
305,368.12708
342,391.6694
393,434.45328
392,435.20847
363,443.8184
493,511.97073
528,600.48175
553,613.92633
590,636.40393
558,611.76666
565,599.5284
531,612.22864
446,512.27893
515,573.1647
559,599.46027
533,605.7882
572,623.3363
593,674.47534
632,685.63495
600,686.0884
612,695.5177
615,688.3834
565,630.616
562,617.635
606,651.54504
602,642.91766
587,676.59515
597,643.0249
602,677.35657
604,691.3532
668,696.75995
626,670.5896
586,655.3979
621,669.0496
529,620.3414
554,622.404
536,602.5309
556,613.0471
530,575.6333
476,553.53467
469,542.3469
463,525.6421
475,553.427
482,547.6965
505,588.862
440,527.38477
476,527.11365
416,475.60648
375,416.8832
394,460.50372
419,481.55933
390,454.5676
394,452.55737
417,470.74835
389,432.9482
389,464.85416
395,450.0299
405,447.5425
355,439.1124
379,430.2697
389,459.12888
352,407.28702
388,448.07602
330,394.25443
335,395.78934
312,404.9472
392,450.5472
427,494.20813
434,523.7642
483,528.03815
500,539.9331
419,490.22406
401,467.73923
378,457.9759
418,464.1708
406,468.94077
373,441.08444
396,469.88638
395,486.8198
428,477.703
393,453.05792
423,472.67398
381,452.2244
366,413.03317
391,485.3861
420,483.74823
402,470.59637
431,503.76657
409,490.87845
416,467.19943
384,458.92096
399,477.53314
393,452.35672
422,491.5718
425,497.89145
369,442.39957
418,498.77148
431,508.94858
370,464.60214
444,506.45386
394,451.90695
372,451.68744
446,505.76004
457,522.0172
478,535.00305
421,466.53802
458,514.1375
419,496.58118
452,520.1576
470,542.63763
541,581.63196
494,577.716
446,538.9131
462,527.16296
489,579.37964
494,564.48
489,557.7904
486,554.70123
485,567.7457
447,540.5124
467,572.7673
566,635.0976
548,634.315
555,632.074
534,599.84155
544,583.09625
573,539.4373
573,622.2223
582,600.953
523,598.9418
533,631.4885
537,633.95605
557,604.98035
589,632.9143
536,630.2352
550,599.9187
562,574.04364
471,584.5934
510,559.99286
484,531.7086
483,531.09265
490,523.3453
415,494.86917
440,481.91446
461,518.6669
419,479.67758
365,468.9882
462,541.27435
427,462.45068
429,456.33484
392,464.40384
433,481.538
382,419.95734
385,424.24948
305,361.89917
318,391.0467
315,355.921
322,355.49667
322,373.945
319,358.7468
292,323.54944
251,285.9677
267,308.5383
261,290.24115
214,255.5718
251,276.00717
218,247.30948
223,248.71927
238,270.2968
244,262.03702
223,267.77237
235,268.65253
228,264.02216
208,237.45525
208,227.12405
211,238.79474
196,237.12502
218,236.8783
207,233.06436
187,207.90593
199,235.03026
192,217.85394
181,239.24393
236,283.49954
231,259.46185
197,208.65575
164,198.19283
169,184.33731
145,179.927
162,187.16873
160,181.67482
166,169.35904
151,188.49745
175,200.4938
166,191.27406
167,212.69893
146,156.22194
135,150.3443
117,136.45457
129,145.50537
115,136.4322
103,119.97687
97,120.676216
90,97.13337
84,95.437485
97,109.7184
92,104.63171
80,92.38971
62,68.75648
79,82.012634
73,86.432556
77,89.464386
65,73.759056
52,66.09921
53,62.014828
