real,pre
72.1,71.28992
70.9,70.67352
71.6,72.36066
73.3,71.24406
74.9,72.373184
70.8,64.538
72.2,66.99859
72.2,71.3354
71.7,71.4508
71.3,73.67072
73.1,72.92415
72.5,71.80555
71.5,71.17827
73.9,71.70783
73.9,70.27346
73.4,72.11033
72.3,71.118515
70.8,68.16926
68.4,68.26627
70.5,70.31619
68.5,66.85663
69.6,68.27882
68.8,69.969086
63.8,66.770096
66.3,64.504135
65.2,64.32353
65.6,65.73304
62.1,62.138184
60.6,61.200016
63.7,64.14589
60.8,60.51558
62.2,63.27141
64.5,63.259792
66.2,62.47915
62.6,62.519352
61.9,63.61425
66.1,63.496136
65.0,62.898342
64.0,62.31469
61.2,63.41956
65.3,62.31276
66.4,64.34566
65.3,65.65666
68.0,67.2689
64.3,64.388115
65.4,63.819256
66.3,64.29292
66.9,66.40375
65.5,65.27002
65.5,65.10595
66.7,65.63086
67.6,67.382576
65.9,66.84073
68.4,67.189575
67.0,67.283585
67.1,66.778336
67.9,66.62053
66.5,66.90032
69.5,67.902374
69.0,67.65646
69.5,68.20189
69.5,68.322014
69.3,68.07812
70.7,69.21613
69.5,68.961624
69.8,68.44697
67.5,67.90784
68.6,68.20963
68.1,67.58834
68.8,67.5618
67.8,67.81771
69.6,67.88709
68.1,67.55143
69.6,67.83563
68.8,67.563675
65.6,65.74505
67.9,67.23977
68.5,66.487785
63.3,63.241703
59.9,58.72722
60.6,59.48504
58.8,55.01998
46.2,53.704987
49.8,55.637867
62.5,61.089935
65.5,64.06379
60.7,61.91204
63.1,63.021297
62.1,62.29843
60.1,55.506268
57.5,54.396496
61.8,56.995106
63.7,59.780655
63.5,61.97748
64.5,62.606743
63.7,64.32562
64.6,62.279743
65.2,63.36745
66.7,61.886616
66.3,62.796566
66.5,63.16336
62.0,60.0009
65.8,63.95697
60.9,60.510185
52.9,56.065235
64.4,64.14168
65.8,65.48729
68.7,67.03473
67.5,66.529785
67.8,67.05019
68.3,66.985916
69.6,67.71334
70.6,68.72507
69.8,68.06467
71.3,69.721176
71.1,69.2673
70.9,67.67849
70.2,65.402824
72.9,70.01559
72.1,70.5868
72.2,70.48071
72.6,70.815735
72.1,70.04537
73.0,71.05856
74.1,71.54821
72.0,70.597305
72.4,70.90014
73.9,70.88206
72.3,69.96316
73.2,70.83386
72.1,70.22144
71.7,67.41768
69.7,65.26485
69.8,67.29267
72.4,69.39381
71.9,68.41731
72.5,68.93197
71.4,69.18902
71.5,68.696014
67.6,65.40732
68.2,65.81815
67.7,62.596825
57.2,58.18068
50.9,59.260746
65.2,61.03149
66.6,64.09549
65.4,65.52296
67.4,65.63196
66.8,65.40265
65.1,63.49876
63.4,60.692715
64.5,60.54079
65.5,62.28452
64.5,62.39291
66.5,64.156525
68.6,66.08901
69.5,67.113075
67.5,65.712845
68.6,65.57389
68.1,65.18088
66.7,64.494934
67.7,64.85744
67.6,65.74296
69.8,65.725815
68.8,64.8858
67.4,64.36319
67.3,64.869835
68.3,64.36419
67.6,64.58194
65.7,63.650234
64.4,62.484074
66.3,61.69098
65.0,62.656586
68.5,65.06875
68.8,64.9591
64.8,62.918827
65.6,62.957775
64.7,62.438976
67.4,64.68074
63.2,61.94044
64.2,61.62389
64.3,62.480293
61.0,59.354115
63.4,62.201027
67.0,63.59323
69.3,67.43825
69.6,67.04262
67.4,65.44066
69.3,66.480316
68.2,66.453804
68.8,64.59754
69.9,67.610794
71.6,68.96849
70.6,67.55554
67.6,65.55892
69.2,65.46486
67.3,64.96604
68.3,64.51558
66.7,64.067215
60.9,62.553112
61.3,61.94569
60.4,58.045353
67.0,62.179474
64.7,67.263695
61.9,63.4793
61.7,60.935974
59.5,56.694515
47.7,53.49663
44.3,47.486267
42.5,47.102783
32.4,48.01562
35.5,49.64677
45.8,52.938885
46.3,58.158104
54.5,52.957054
64.5,60.793472
63.9,60.711773
69.0,68.19819
67.4,67.53563
68.8,67.060905
69.7,67.586555
72.4,70.470406
70.5,69.717186
71.4,69.24177
71.7,69.6665
71.7,69.926476
71.4,70.08779
72.0,69.479416
71.4,69.21258
72.1,70.50434
71.9,70.53067
72.2,70.293304
72.2,70.49385
72.2,70.58821
71.3,69.76441
73.1,71.17301
72.4,71.14761
72.4,70.83484
72.9,71.645454
72.8,71.98815
73.0,71.61315
73.9,72.46109
72.5,71.01232
72.5,70.74421
71.9,70.07064
73.3,71.79342
73.0,71.76154
72.4,71.600525
72.3,70.4284
72.5,70.85766
74.0,72.778
73.5,71.96336
74.1,72.007164
72.9,70.759735
72.8,71.14719
73.5,70.92595
71.9,70.25914
72.0,71.08857
73.2,71.79317
72.9,71.15032
73.6,72.16014
74.3,71.77469
73.2,71.95158
73.7,72.34129
73.5,72.661896
73.6,71.62751
72.5,71.628006
72.7,71.37796
72.0,70.987015
73.0,71.318634
72.5,72.458336
72.6,71.26267
73.3,72.75644
73.7,72.69894
72.6,71.08042
72.3,71.46646
74.1,72.839035
72.6,71.738686
72.8,72.232155
72.4,71.37132
72.9,71.279915
73.3,71.387115
71.4,70.82244
72.1,71.86034
71.7,71.36911
70.6,70.319885
71.2,71.29918
72.2,71.06783
