real,pre
48,62.87045588813828
57,59.44081549074946
61,56.2744663850396
45,53.37192030670866
50,50.73346916289648
28,48.35918494224347
62,46.248919875629895
50,44.4023068480933
40,42.818760062435274
46,41.49747595433223
35,40.43743435846909
26,39.63739992500376
29,39.09592378518647
43,38.81134546466683
40,38.781795042537226
20,39.0051955541565
24,39.479265634680246
29,40.201522401057616
29,41.16928456850354
35,42.3796757984972
27,43.82962827375678
29,45.51588649623727
27,47.43501130341849
24,49.58338409785358
30,51.95721128468455
28,54.55252891155919
26,57.36520750499619
13,60.390957096921
34,63.62533243490657
34,67.06373836924251
15,70.70143540971787
19,74.53354544499422
29,78.55505761647697
23,82.76083433933582
27,87.145617462281
22,91.7040345578572
25,96.43060533456242
33,101.31974816244212
29,106.36578670286508
27,111.5629566335096
27,116.90541245946787
36,122.38723440082686
46,128.0024353473745
37,133.7449678708021
47,139.60873128450305
35,145.58757874145567
46,151.67532435983867
70,157.86575036691318
67,164.1526142510109
71,170.5296559112969
50,176.9906047959679
63,183.5291870181693
87,190.13913244029982
93,196.81418171612762
101,203.5480932813688
104,210.3346502826979
136,217.16766743540995
133,224.04099780021153
103,230.94853946975903
131,237.88424215528988
139,244.8421136643721
145,251.81622626081986
141,258.80072289757385
162,265.7898233142263
206,272.7778299905957
242,279.7591339480844
242,286.72822039098855
295,293.6796741798646
364,300.6081851295996
368,307.5085531249639
409,314.37569304667875
346,321.2046395015448
343,327.99055135024093
367,334.7287160266945
393,341.4145536439785
473,348.043620880441
444,354.6116146422729
427,361.1143754970811
528,367.5478908744776
594,373.90829803039907
629,380.1918867706538
634,386.3951019316968
667,392.5145456153382
593,398.54697917523185
618,404.4893249533131
520,410.3386677649104
585,416.092256131043
612,421.74750325760544
621,427.3019877611564
636,432.7534541412126
671,438.0998130000852
699,443.3391410106788
692,448.46968063425413
686,453.4898395893784
689,458.3981900747109
632,463.1934677478945
626,467.8745704637554
673,472.4405567751054
638,476.8906441997333
678,481.2242072581503
646,485.44077528603043
652,489.54003002669026
693,493.52180300827206
712,497.38607271194286
691,501.13296153606416
609,504.7627325632803
689,508.2757861367038
608,511.6726562518546
654,514.9540067717749
589,518.1206274725313
637,521.173429926511
587,524.1134432318819
578,526.9418095956918
524,529.6597797795143
538,532.2687084157097
543,534.7700492032202
559,537.1653499918326
530,539.4562477638293
538,541.6444635221787
506,543.7317970947836
463,545.7201218639493
406,547.6113794306281
464,549.4075742233914
478,551.11076806111
444,552.7230746796072
465,554.2466542316555
459,555.6837077702803
429,557.0364717248763
453,558.3072123797984
444,559.4982203654008
443,560.6118051706792
449,561.650289687147
436,562.6160047937548
452,563.5112839913605
437,564.3384580967177
420,565.0998500045631
382,565.797769526745
398,566.4345083173564
384,567.0123348918636
468,567.5334897492746
492,568.0001806046969
523,568.4145777408395
541,568.7788094854827
554,569.0949578229026
462,569.3650541457384
444,569.5910751547422
446,569.774938912484
456,569.9185010575295
465,570.023551184937
447,570.0918093985714
462,570.1249230409372
478,570.1244636048461
466,570.0919238320542
456,570.0287150029305
485,569.9361644209876
436,569.8155130959079
418,569.6679136282444
484,569.4944282984287
481,569.2960273626792
457,569.0735875577345
474,568.8278908162459
492,568.5596231936843
471,568.2693740081706
437,567.9576351934043
488,567.6248008647772
463,567.2711670987824
479,566.8969319244449
484,566.5021955265431
407,566.0869606584217
506,565.6511332633312
534,565.1945233016029
460,564.7168457815724
508,564.2177219913233
437,563.696680927701
440,563.1531609197228
500,562.5865114418586
504,561.995995113555
511,561.3807898799683
481,560.7399913696913
469,560.0726154237151
498,559.3776007909066
484,558.6538119836234
538,557.9000422884658
587,557.1150169248592
567,556.2973963459456
517,555.4457796749873
509,554.5587082698892
570,553.6346694094402
547,552.6721000937707
557,551.6693909513958
538,550.6248902457237
564,549.5369079728061
543,548.4037200430635
541,547.2235725384021
627,545.9946860369519
621,544.7152599976969
625,543.3834771957418
582,541.9975082010333
639,540.555515891522
621,539.0556599927011
586,537.4961016350558
678,535.87500792124
579,534.1905564944193
617,532.4409400996992
587,530.624371130137
624,528.7390861496544
658,526.7833503839429
624,524.7554621721508
637,522.6537573710589
589,520.4766137037677
579,518.2224550457051
570,515.8897556400593
488,513.4770442354973
555,510.9829081387664
513,508.4059971753497
508,505.7450275513534
460,502.99878560986025
512,500.1661314754494
456,497.2460025808163
475,494.23741706923937
520,491.1394770674246
466,487.9513718234569
450,484.67238070400316
448,481.3018760467135
486,477.8393258623128
422,474.2842963828453
431,470.6364544511784
353,466.8955697485208
373,463.0615168563025
350,459.1342771492163
352,455.1139405163165
357,451.0007069079624
347,446.7948877060821
314,442.4969069158238
278,438.1073021770125
301,433.62672559390734
277,429.0559443824155
260,424.3958413341066
280,419.64741509618415
253,414.81178026794936
251,409.8901673134804
259,404.88392229134087
253,399.79450640202384
263,394.6234953542145
248,389.37257855153865
252,384.0435581011913
228,378.6383476466718
223,373.15897102698153
238,367.60756076452304
227,361.98635638488366
207,356.297702571293
240,350.54404715750894
187,344.72793896223953
231,338.8520254693199
214,332.9190503574867
224,326.93185088412764
269,320.89335512766576
248,314.8065790928479
221,308.6746236842717
193,302.50067155303367
186,296.2879838218914
186,290.03989669417075
180,283.75981795198487
187,277.451223349892
172,271.11765290921954
168,264.7627071197107
192,258.39004305372595
197,252.00337040029416
192,245.60644742401536
157,239.20307685640165
153,232.79710172513143
121,226.3924011280239
138,219.99288595844024
134,213.60249458835796
107,207.22518851574824
125,200.86494798298173
76,194.52576757260323
91,188.2116517871745
106,181.92661061974314
96,175.6746551213459
90,169.45979297197067
62,163.28602406164083
86,157.15733608751526
91,151.07770017378476
79,145.05106651996203
73,139.08136008435855
67,133.17247630797368
53,127.3282768852269
49,64.25938771127494
49,60.836327247695465
56,57.67649176846362
50,54.78039269105494
33,52.14832163703795
40,49.78035034228259
43,47.67633081764285
42,45.83589576089804
37,44.25845922027304
41,42.94321750947233
36,41.88915037383322
25,41.095022406550754
29,40.55938471421479
37,40.280576829990366
30,40.256728872383576
12,40.48576394793463
21,40.965400794504205
