real,pre
48,37.409218
57,138.53609
61,139.83884
45,34.07644
50,138.02394
28,135.0501
62,135.74423
50,29.887642
40,126.02537
46,28.73401
35,127.788475
26,32.20695
29,115.36596
43,22.761354
40,117.39447
20,112.45765
24,23.316477
29,16.171768
29,26.291227
35,116.44657
27,26.6918
29,20.256973
27,34.094074
24,128.6741
30,125.37884
28,34.809467
26,119.038124
13,32.408566
34,33.741573
34,120.42356
15,30.321493
19,30.515284
29,122.032
23,126.8185
27,117.87333
22,28.192802
25,119.04688
33,115.39626
29,22.282553
27,24.28987
27,111.52149
36,30.300959
46,120.32969
37,126.929634
47,34.349934
35,30.626242
46,32.950172
70,129.4332
67,41.48923
71,36.796986
50,34.72533
63,63.47131
87,174.07657
93,79.299484
101,78.13751
104,176.44278
136,79.00647
133,107.3975
103,204.6397
131,110.657394
139,122.9868
145,224.80183
141,221.02037
162,126.30099
206,125.28195
242,109.282555
242,266.14426
295,257.95734
364,315.0607
368,347.1114
409,368.8921
346,221.58508
343,238.28098
367,459.15607
393,447.04733
473,344.78363
444,345.1709
427,456.54492
528,452.79944
594,470.34045
629,471.02203
634,593.5742
667,571.8183
593,459.5221
618,489.2231
520,411.68365
585,431.5715
612,690.8849
621,584.29016
636,603.14636
671,629.35114
699,663.5479
692,662.0938
686,661.54944
689,659.6109
632,737.82196
626,739.664
673,738.71936
638,740.4866
678,739.6232
646,726.1046
652,644.02185
693,718.2837
712,642.8315
691,716.39136
609,641.732
689,727.2097
608,730.06494
654,723.61346
589,623.6402
637,708.0756
587,712.92896
578,713.35785
524,712.89856
538,707.1031
543,625.8522
559,715.9181
530,716.0425
538,580.1287
506,560.1684
463,469.9508
406,476.2225
464,557.6891
478,484.6841
444,560.8167
465,546.19946
459,449.08777
429,441.0235
453,439.55585
444,441.6448
443,445.86237
449,456.57977
436,545.5938
452,546.904
437,453.4428
420,448.66837
382,424.2066
398,522.00433
384,522.74976
468,462.2049
492,546.2937
523,461.84473
541,456.8851
554,597.1946
462,584.7582
444,495.299
446,600.3552
456,493.36386
465,488.3107
447,491.43695
462,464.13928
478,562.76105
466,561.36725
456,557.77405
485,465.23093
436,456.79688
418,541.9373
484,486.03796
481,564.3464
457,483.11395
474,505.01135
492,600.85535
471,602.5084
437,576.33765
488,457.71964
463,465.70517
479,562.1354
484,563.1639
407,487.51135
506,573.1008
534,578.8385
460,571.1881
508,494.24774
437,560.7668
440,474.04074
500,469.82346
504,481.9021
511,581.5616
481,488.66
469,486.84366
498,483.38373
484,493.7703
538,572.7819
587,496.80542
567,580.5019
517,583.48157
509,584.0857
570,579.8672
547,493.02924
557,585.25494
538,619.27374
564,529.1374
543,615.6383
541,534.6277
627,617.37164
621,629.48346
625,623.1562
582,524.2757
639,613.9416
621,652.44867
586,649.8938
678,680.2658
579,677.1653
617,669.8507
587,584.6847
624,684.6345
658,684.02954
624,589.07227
637,680.3794
589,585.3575
579,582.8705
570,567.09204
488,529.2044
555,616.25854
513,635.1055
508,633.2532
460,626.8409
512,539.92706
