real,pre
48,74.915
57,148.185
61,153.245
45,75.035
50,146.645
28,142.525
62,139.665
50,57.75
40,114.72
46,61.835
35,120.36
26,43.54
29,104.485
43,46.09
40,111.925
20,115.58
24,35.455
29,20.27
29,22.725
35,96.795
27,31.485
29,25.57
27,27.5
24,104.42
30,116.42
28,41.385
26,96.895
13,28.705
34,22.225
34,93.83
15,29.78
19,22.14
29,102.55
23,115.115
27,114.855
22,51.875
25,112.94
33,121.33
29,43.14
27,35.265
27,105.55
36,56.67
46,123.725
37,134.15
47,48.65
35,39.75
46,40.895
70,119.41
67,67.745
71,58.875
50,49.61
63,51.82
87,139.685
93,105.4
101,102.71
104,184.675
136,119.73
133,108.49
103,192.735
131,121.675
139,119.085
145,200.25
141,211.855
162,172.53
206,168.015
242,214.1
242,304.74
295,320.0
364,401.685
368,442.595
409,444.525
346,367.03
343,368.6
367,463.05
393,492.835
473,447.49
444,441.995
427,522.52
528,585.58
594,547.65
629,552.425
634,718.335
667,738.17
593,625.86
618,617.78
520,609.21
585,590.715
612,649.41
621,642.455
636,634.2
671,632.61
699,633.085
692,634.665
686,638.725
689,650.355
632,724.345
626,732.045
673,748.01
638,743.525
678,740.85
646,739.565
652,684.435
693,768.075
712,703.565
691,762.945
609,703.325
689,770.305
608,783.045
654,779.715
589,627.45
637,680.12
587,676.775
578,671.37
524,669.635
538,666.625
543,596.335
559,641.43
530,670.915
538,586.805
506,527.515
463,509.02
406,512.38
464,554.235
478,511.205
444,551.2
465,570.175
459,501.77
429,481.635
453,477.425
444,468.52
443,444.3
449,443.04
436,514.59
452,536.79
437,474.92
420,436.425
382,406.47
398,457.195
384,475.755
468,416.57
492,456.87
523,413.735
541,404.175
554,461.59
462,477.75
444,429.855
446,524.4
456,493.21
465,469.095
447,454.17
462,460.345
478,524.495
466,541.985
456,515.905
485,450.88
436,443.28
418,479.24
484,440.065
481,474.265
457,431.8
474,427.495
492,551.185
471,555.795
437,543.855
488,472.575
463,460.455
479,532.83
484,570.715
407,512.92
506,568.01
534,607.2
460,570.505
508,497.795
437,539.135
440,474.42
500,471.73
504,502.555
511,560.39
481,501.275
469,483.925
498,486.02
484,508.1
538,569.765
587,531.21
567,588.655
517,607.75
509,614.275
570,611.375
547,549.61
557,608.495
538,637.22
564,578.715
543,627.57
541,580.28
627,695.395
621,719.8
625,716.75
582,615.2
639,670.12
621,681.62
586,684.42
678,697.375
579,679.945
617,719.385
587,655.145
624,712.42
658,721.53
624,644.685
637,701.43
589,632.71
579,600.595
570,591.705
488,596.72
555,632.735
513,637.775
508,606.145
460,575.065
512,490.215
456,543.265
475,507.885
520,571.09
466,498.89
450,463.895
448,457.695
486,458.995
422,540.925
431,457.825
353,441.05
373,429.73
350,417.35
352,448.015
357,451.85
347,448.97
314,359.005
278,349.7
301,391.79
277,397.71
260,395.755
280,374.825
253,346.385
251,339.715
259,334.625
253,255.0
263,249.965
248,336.195
252,356.815
228,354.96
223,248.235
238,305.535
227,244.67
207,235.415
240,316.195
187,247.995
231,233.54
214,233.515
224,234.465
269,317.915
248,330.53
221,332.785
193,332.475
186,252.35
186,237.935
180,316.35
187,321.85
172,250.33
168,233.14
192,231.165
197,214.2
192,275.695
157,189.41
153,225.425
121,223.845
138,146.975
134,138.2
107,205.175
125,154.48
76,214.6
91,206.59
106,194.675
96,110.71
90,96.575
62,152.995
86,77.53
91,66.585
79,64.315
73,66.965
67,157.39
53,160.43
49,72.675
49,145.39
56,150.875
50,72.155
33,145.91
40,147.51
43,145.44
42,62.26
37,124.67
41,66.75
36,124.1
25,49.26
29,110.48
37,50.86
30,119.61
12,119.94
21,38.005
26,23.7
24,26.485
30,107.34
23,42.925
26,30.125
27,30.36
22,111.9
24,122.33
26,49.89
21,101.91
12,37.37
30,37.69
29,107.345
15,38.945
21,26.635
23,102.915
22,114.43
22,110.47
23,47.97
23,112.44
23,123.25
25,46.125
23,38.255
21,106.8
33,54.555
41,121.77
38,135.33
35,54.42
37,43.8
33,44.85
55,121.225
55,57.18
65,46.805
47,44.645
51,53.885
85,157.085
72,99.615
101,95.32
78,167.775
123,102.695
125,93.025
86,169.51
113,107.54
109,118.44
131,217.2
124,229.925
133,155.26
182,143.2
211,161.86
209,239.5
260,251.0
320,305.81
326,438.035
347,454.675
305,373.06
353,368.425
305,438.315
342,466.15
393,396.495
392,387.76
363,476.75
493,509.76
528,566.07
553,578.84
590,677.725
558,689.54
565,598.22
531,582.24
446,531.93
515,560.7
559,639.5
533,591.895
572,575.055
593,575.22
632,585.285
600,630.755
612,662.475
615,689.725
565,723.455
562,725.965
606,733.045
602,744.43
587,747.29
597,745.14
602,689.69
604,781.625
668,717.915
626,780.08
586,720.865
621,788.145
529,799.74
554,796.215
536,634.26
556,688.57
530,698.39
476,697.915
469,696.45
463,693.175
475,634.225
482,683.44
505,693.59
440,615.25
476,601.9
416,601.025
375,610.525
394,661.025
419,623.23
390,668.365
394,684.49
417,612.005
389,591.17
389,576.87
395,485.01
405,465.4
355,471.575
379,540.31
389,550.05
352,490.165
388,459.25
330,427.42
335,481.82
312,494.835
392,440.795
427,535.555
