real,pre
72.4,76.80000000000024
73.2,79.05000000000025
73.2,79.60000000000025
73.0,76.72500000000025
73.0,78.43000000000025
70.3,71.14350000000022
63.8,72.59049999999993
72.1,75.10800000000013
72.4,77.97600000000017
74.0,79.52199999999986
75.1,80.87449999999978
73.2,77.9174999999998
72.2,79.06800000000008
74.1,76.87649999999987
71.4,78.27350000000013
70.2,78.62500000000024
70.5,75.64750000000024
71.0,74.3620000000002
69.8,73.49399999999993
70.4,76.27399999999982
67.8,72.68049999999992
68.3,72.07499999999983
70.9,73.72450000000015
65.6,75.27500000000008
66.5,73.45450000000005
63.2,69.64550000000014
66.0,72.01500000000006
61.6,69.87350000000004
61.8,65.73500000000017
67.7,70.02500000000006
59.5,68.87350000000004
65.0,68.50800000000015
64.2,71.27850000000024
62.9,72.18100000000022
62.6,69.7730000000001
62.0,66.72550000000012
65.5,68.9440000000002
64.1,69.92500000000022
63.5,67.21150000000023
59.8,66.91200000000022
62.8,68.75450000000023
66.0,69.01200000000023
66.6,72.14550000000024
68.3,74.03300000000024
66.1,71.28650000000025
67.1,70.0875000000002
63.7,68.24349999999994
68.4,72.52450000000007
68.2,70.11699999999985
66.2,69.09299999999982
67.0,69.53750000000008
68.7,71.05800000000008
67.9,73.7885000000002
69.0,71.81300000000022
67.3,71.27100000000019
68.0,74.62649999999991
68.9,72.54499999999979
67.5,71.68949999999982
69.1,75.35000000000012
68.0,73.3300000000002
69.8,72.62349999999986
70.1,75.75299999999976
69.1,76.55549999999975
70.7,73.54899999999978
69.8,72.90349999999992
70.5,73.40849999999999
68.4,76.41949999999999
69.4,77.22049999999986
68.3,76.76049999999992
68.7,76.79999999999977
68.9,76.75299999999974
69.6,73.05449999999979
69.9,72.18250000000009
68.8,75.02600000000005
69.0,75.80799999999999
66.8,71.54249999999983
68.7,71.44499999999982
68.0,73.9245000000001
64.8,74.28900000000023
63.7,71.22150000000022
62.3,65.55699999999993
62.3,67.21049999999978
63.7,68.95049999999976
65.1,67.50549999999976
64.1,66.89549999999983
66.6,67.00200000000012
64.2,67.0175000000002
65.6,69.58949999999993
64.4,67.66249999999985
65.3,65.42550000000006
64.3,63.62299999999989
64.4,63.414999999999864
66.2,65.34450000000012
67.2,66.1595000000002
66.6,66.6859999999999
69.0,72.26899999999979
67.9,74.14049999999975
67.5,74.29999999999974
69.6,74.29299999999975
68.7,74.12799999999976
68.9,72.83099999999975
68.9,70.3069999999998
68.9,71.96400000000008
69.1,70.64849999999987
69.5,72.89699999999976
69.5,71.3589999999998
