real,pre
77.4,73.10729292887653
73.2,73.34739787430925
78.2,73.59401729509062
73.0,73.84259929158465
73.0,74.0889418837365
70.3,74.32151021369233
68.8,74.53247791243473
72.1,74.6885359968431
72.4,74.81116353257664
79.0,74.9039128709504
80.1,74.97009711875504
78.2,75.01667187422247
72.2,75.0461850077701
79.1,75.06158634642848
76.4,75.0532980545122
75.2,74.94297520476215
75.5,74.75164168997162
71.0,74.55746327693988
74.8,74.36328486390806
75.4,74.17095494400988
72.8,73.98056235959079
68.3,73.79016977517169
70.9,73.59977719075258
65.6,73.40938460633349
66.5,73.21899202191442
68.2,73.04280169945362
66.0,72.92289889987487
66.6,72.83345394856487
61.8,72.759850882423
72.7,72.68708972815932
64.5,72.61432857389559
70.0,72.54156741963186
69.2,72.4688062653681
62.9,72.39604511110437
62.6,72.32328395684067
67.0,72.25052280257694
70.5,72.17776164831322
69.1,72.10500049404948
68.5,72.03223933978578
64.8,71.95947818552204
62.8,71.88671703125834
66.0,71.8139558769946
71.6,71.74119472273085
68.3,71.66843356846715
71.1,71.59567241420342
72.1,71.52291125993968
68.7,71.45015010567599
73.4,71.37738895141226
68.2,71.30462779714856
71.2,71.23186664288482
67.0,71.1591054886211
68.7,71.08817392488035
67.9,71.03019403653296
69.0,70.97573976733959
67.3,70.93165300321189
73.0,70.89208831846543
68.9,70.8539965123586
72.5,70.81590470625181
74.1,70.77781290014502
68.0,70.75099383045406
74.8,70.72769431612575
70.1,70.70767583576998
74.1,70.68765735541419
70.7,70.66763887505837
69.8,70.64935453998133
75.5,70.63392153405913
73.4,70.61848852813688
74.4,70.6040920077423
68.3,70.59331421093333
68.7,70.58253641412436
73.9,70.5717586173154
69.6,70.56098082050642
74.9,70.55020302369746
73.8,70.53942522688853
74.0,70.52864743007954
71.8,70.51786963327059
68.7,70.50709183646161
73.0,70.49631403965267
64.8,70.48553624284368
68.7,70.47475844603471
62.3,70.46398064922575
67.3,70.45320285241678
68.7,70.44242505560781
65.1,70.43164725879886
69.1,70.4223310489769
66.6,70.41464801202912
64.2,70.40696497508134
65.6,70.39928193813353
64.4,70.39159890118577
70.3,70.38391586423799
69.3,70.37623282729018
64.4,70.36854979034243
71.2,70.36113707102116
72.2,70.35544206290693
66.6,70.34974705479269
74.0,70.34405204667846
67.9,70.33835703856423
67.5,70.33266203045
69.6,70.32696702233574
68.7,70.3212720142215
73.9,70.31557700610725
73.9,70.30988199799303
68.9,70.30418698987877
74.1,70.29849198176454
69.5,70.29282292520108
69.5,70.28726971620874
74.7,70.28483461381114
76.3,70.28244890774921
69.8,70.28006320168728
75.7,70.27767749562537
70.9,70.27529178956345
71.2,70.27290608350158
72.2,70.27052037743964
76.6,70.27032156070695
76.8,70.27141842682066
72.2,70.27251529293434
69.9,70.27361215904801
71.9,70.27791918994714
77.8,70.28222771920616
79.5,70.2865362484652
72.6,70.29084477772419
77.9,70.29515330698322
77.4,70.29946183624227
73.9,70.30377036550125
73.7,70.30807889476029
76.4,70.3144895077153
74.0,70.32126563476677
74.5,70.32804176181826
77.5,70.33481788886974
73.3,70.3415940159212
77.9,70.3483701429727
76.4,70.35514627002419
69.4,70.36192239707567
70.3,70.37007628359969
77.8,70.37923232514679
71.6,70.3883883666939
77.1,70.39754440824106
78.1,70.40670044978818
78.0,70.41585649133529
70.6,70.42640647738688
74.4,70.43843275162399
72.1,70.45129198247545
68.4,70.46674251781677
69.6,70.48344715713212
66.0,70.50129199781631
73.5,70.51913683850054
67.2,70.53698167918479
72.8,70.55482651986904
68.2,70.57415785779709
66.5,70.59452443300589
71.2,70.61489100821474
69.5,70.63525758342352
66.6,70.65562415863238
69.6,70.67732677363941
67.3,70.70003759673008
70.2,70.72274841982073
75.2,70.74545924291138
73.3,70.76817006600204
73.4,70.79118381781137
73.1,70.81680067991547
72.2,70.84265372584134
68.1,70.8687698528366
73.9,70.89617970392277
73.7,70.92358955500893
73.0,70.95099940609505
67.0,70.98043650605393
69.0,71.01040362296779
67.5,71.04037073988165
73.4,71.07251071687762
72.2,71.10479044185018
65.7,71.13707016682275
71.8,71.16934989179535
66.2,71.20162961676792
67.7,71.23390934174049
67.3,71.26817939168882
65.1,71.30356412384654
66.8,71.33894885600427
67.2,71.37433358816199
72.3,71.40974480462894
65.2,71.44554692030607
70.5,71.48227836866833
72.3,71.51900981703056
72.8,71.55574126539281
66.6,71.59247271375501
74.0,71.62920416211728
75.2,71.66593561047952
71.1,71.70266705884174
74.2,71.73939850720397
76.1,71.7761299555662
75.7,71.81286140392845
70.2,71.8495928522907
76.4,71.88632430065292
77.5,71.92305574901513
70.2,71.96073279225767
75.3,71.99945069313094
75.4,72.03957457417982
74.9,72.07986656742835
70.7,72.12015856067688
67.4,72.16045055392546
66.2,72.20124987850804
67.8,72.2425353931244
67.9,72.28382090774076
70.9,72.32535448224377
70.8,72.36744602296346
70.7,72.40953756368313
75.0,72.45162910440285
75.7,72.49372064512255
75.3,72.53858181511782
