real,pre
77.4,81.13387
73.2,75.44303
78.2,82.11555
73.0,75.92646
73.0,77.07773
70.3,69.58506
68.8,77.27993
72.1,76.36647
72.4,76.462685
79.0,83.70055
80.1,82.9413
78.2,81.74789
72.2,76.19759
79.1,81.48153
76.4,80.1861
75.2,82.24253
75.5,80.957794
71.0,73.47591
74.8,78.11761
75.4,80.39876
72.8,76.58746
68.3,73.50528
70.9,75.007454
65.6,71.40392
66.5,69.38722
68.2,74.00135
66.0,70.82566
66.6,72.16944
61.8,66.38875
72.7,73.8516
64.5,70.3901
70.0,73.42284
69.2,73.36363
62.9,67.750465
62.6,67.54711
67.0,72.948105
70.5,73.375046
69.1,72.78336
68.5,72.08615
64.8,73.22736
62.8,67.56627
66.0,69.940125
71.6,75.34429
68.3,72.4598
71.1,73.98131
72.1,73.70631
68.7,74.366585
73.4,75.97768
68.2,71.065926
71.2,74.536606
67.0,71.16979
68.7,72.665146
67.9,71.6104
69.0,72.17877
67.3,72.864136
73.0,76.21758
68.9,72.1098
72.5,76.53406
74.1,77.06854
68.0,73.52729
74.8,77.664474
70.1,74.06249
74.1,77.13836
70.7,74.50854
69.8,74.08194
75.5,77.92602
73.4,77.85036
74.4,77.758965
68.3,72.80193
68.7,72.82219
73.9,76.73174
69.6,73.548645
74.9,77.34523
73.8,77.57323
74.0,77.449936
71.8,75.23911
68.7,73.01717
73.0,76.10071
64.8,68.10574
68.7,68.43564
62.3,64.42926
67.3,64.606094
68.7,63.17019
65.1,60.760166
69.1,70.702484
66.6,68.612785
64.2,66.56785
65.6,67.37584
64.4,67.32235
70.3,65.527596
69.3,64.19855
64.4,62.929306
71.2,69.33511
72.2,71.91095
66.6,68.05467
74.0,74.009415
67.9,67.21304
67.5,68.3809
69.6,66.43012
68.7,67.70525
73.9,73.13218
73.9,69.986115
68.9,69.11583
74.1,70.43543
69.5,61.157215
69.5,68.783424
74.7,75.2782
76.3,76.52404
69.8,72.00282
75.7,76.43648
70.9,72.00551
71.2,72.61471
72.2,73.880745
76.6,77.73547
76.8,79.37528
72.2,74.24331
69.9,72.37916
71.9,70.50335
77.8,79.85112
79.5,80.2013
72.6,76.617386
77.9,80.46978
77.4,79.39583
73.9,76.26822
73.7,77.454834
76.4,79.464874
74.0,76.34719
74.5,76.52842
77.5,78.84907
73.3,76.33608
77.9,80.22985
76.4,77.83329
69.4,70.168335
70.3,72.079285
77.8,78.83472
71.6,73.75906
77.1,78.54849
78.1,79.35212
78.0,78.13288
70.6,70.98638
74.4,75.15753
72.1,72.547264
68.4,68.13295
69.6,69.08971
66.0,66.3731
73.5,72.78932
67.2,70.86097
72.8,74.86327
68.2,70.19032
66.5,69.19366
71.2,70.16419
69.5,69.56275
66.6,68.789536
69.6,71.574455
67.3,69.357895
70.2,71.296036
75.2,76.86293
73.3,75.51241
73.4,75.477745
73.1,75.10748
72.2,73.74461
68.1,70.34531
73.9,75.826904
73.7,75.96452
73.0,74.41501
67.0,69.68089
69.0,69.613365
67.5,69.493484
73.4,74.27386
72.2,73.5395
65.7,68.040855
71.8,70.73102
66.2,68.025276
67.7,70.16312
67.3,70.163536
65.1,68.07776
66.8,67.66502
67.2,67.30296
72.3,74.27658
65.2,67.14679
70.5,71.02602
72.3,72.518265
72.8,68.82397
66.6,66.95437
74.0,73.47835
75.2,76.871605
71.1,72.75291
74.2,74.99263
76.1,76.45424
75.7,76.3497
70.2,69.48953
76.4,77.38208
77.5,78.421196
70.2,72.67823
75.3,75.343506
75.4,75.318306
74.9,74.835205
70.7,69.4787
67.4,68.939255
66.2,67.791306
67.8,66.53716
67.9,63.009933
70.9,67.36545
70.8,71.88002
70.7,68.52431
75.0,70.65697
75.7,66.21368
75.3,63.481873
75.2,57.503254
76.5,57.471252
70.0,52.753353
68.8,54.30766
75.5,62.906677
74.5,68.16985
69.8,58.04243
69.5,65.93452
75.9,70.621346
76.5,78.18903
71.3,72.547905
70.4,72.19448
76.5,77.27039
72.8,75.342674
72.4,74.568405
72.4,74.14532
72.6,74.48106
71.7,75.08802
77.3,79.92932
77.6,79.19211
73.0,74.19248
73.1,75.4155
72.6,75.34714
72.5,75.300316
77.0,80.30093
72.6,75.59351
72.4,74.70953
73.1,76.03838
73.4,75.93218
73.2,75.867615
78.2,81.61022
78.6,81.83657
72.1,76.54088
79.5,82.177
78.1,80.87928
77.1,80.58444
73.5,75.17605
79.3,81.55224
74.1,76.74681
79.0,81.63636
78.3,80.38378
72.8,75.84449
75.1,77.49769
73.1,76.90354
78.9,81.79964
77.8,80.64578
73.6,75.96163
78.2,80.641655
78.0,80.05195
72.1,75.93801
73.7,76.785866
73.6,76.28677
73.7,77.04764
79.7,81.83113
78.7,81.92904
78.2,82.330635
78.6,82.38495
73.9,76.40605
73.7,76.56522
72.9,76.17939
72.4,75.91861
77.7,81.15142
73.3,77.32197
72.7,76.27882
78.7,82.505196
74.7,77.68079
77.0,81.06166
72.7,76.51249
74.9,77.735054
78.4,81.78273
78.8,82.06582
73.1,76.2532
73.0,76.23056
78.6,81.33986
72.7,75.766365
74.6,76.83105
73.0,76.251755
72.9,75.273674
76.6,81.16768
77.4,81.05393
