real,pre
149,161.19676
49,57.929802
156,155.94333
50,53.829025
33,52.525883
40,47.080162
143,146.15051
42,51.80634
37,41.088104
141,145.04878
136,140.2445
125,126.751465
29,31.531996
137,139.54308
130,137.81047
112,121.376656
121,122.86502
26,35.674824
124,125.78568
130,133.45747
123,129.29726
26,31.98942
27,32.650394
22,24.247423
24,29.672583
126,126.26138
21,28.25332
112,113.10201
30,40.56946
129,129.83234
115,119.72631
121,124.99807
123,121.851524
22,29.082428
22,30.255745
123,126.38606
123,128.46289
123,130.67227
125,134.64404
123,125.32778
21,26.98595
33,40.56619
141,145.35889
38,42.268913
135,141.23566
137,144.40082
133,140.94856
155,159.18282
55,76.98654
165,170.91856
47,49.84476
51,64.2632
85,91.570366
72,94.151886
101,106.37863
178,196.73592
123,143.23285
225,231.01102
186,206.7977
113,136.81778
209,235.24207
131,146.59802
224,236.00798
133,153.97606
182,221.41713
311,342.4904
309,338.98578
360,413.9556
320,339.95377
326,369.9807
447,488.3895
305,351.08203
453,465.5704
405,467.35962
442,491.4586
493,535.2765
392,437.3071
463,546.79205
493,511.5701
628,698.454
553,613.60913
690,731.7577
658,710.428
565,600.51886
631,711.1471
446,512.60724
515,574.1207
559,598.4039
533,605.16656
672,725.48926
693,773.75977
632,685.63184
700,784.7339
712,794.35266
615,687.71924
665,730.41907
562,618.96075
606,650.10944
602,642.06036
587,677.7229
697,742.7739
702,775.18756
604,689.9544
768,797.3441
626,669.119
586,654.31726
721,765.60724
629,721.9079
554,623.45026
636,703.76434
556,614.7915
530,575.5599
476,553.1645
569,641.09674
563,625.5327
475,553.72864
482,549.27686
505,591.22064
540,626.6737
576,626.81586
416,477.0189
475,516.9669
494,559.0388
419,479.31464
390,453.1209
494,551.37604
417,470.87686
389,433.9687
489,565.7717
395,450.63977
505,548.2603
455,539.6535
379,431.03802
389,460.15347
452,506.3727
388,447.56876
430,495.76266
435,495.01456
412,503.88348
392,453.11215
527,593.78296
534,624.1921
583,629.2558
600,639.90704
419,492.86234
501,566.722
378,459.80145
518,565.0381
406,468.99725
373,440.68396
496,569.38306
495,587.177
428,478.18378
493,551.39044
423,471.86633
381,450.88403
466,513.57404
491,585.89124
520,581.2074
502,569.9973
531,603.121
409,491.10706
516,567.6763
484,561.28796
499,576.81116
393,452.43365
422,489.449
425,495.32996
469,540.6545
518,598.57306
431,510.21967
470,561.7926
444,506.99722
394,451.39374
372,449.81726
446,505.42896
457,523.50244
478,535.15173
521,566.5905
458,512.81396
519,596.3115
552,621.47894
570,644.8231
541,579.6662
594,675.99646
546,641.38306
462,526.78613
589,679.92957
594,665.841
589,657.04663
486,553.3901
585,668.7092
547,640.07935
467,573.22296
666,733.6725
648,734.32886
655,732.79846
534,598.97754
544,584.22876
573,538.60516
573,623.9354
582,603.1792
523,599.82605
533,633.19226
537,633.22766
657,704.24493
689,732.7343
636,730.25464
650,701.80493
662,672.6179
471,583.9529
510,561.21924
584,634.23376
583,630.1819
490,522.7713
415,492.72034
540,582.5121
561,617.01324
419,478.47104
365,469.66614
562,640.2447
427,462.82205
429,456.30753
392,463.7124
433,482.00778
382,420.6692
485,523.21954
405,462.37415
318,390.19623
315,355.27658
322,354.56808
322,373.6657
419,458.79517
292,324.483
251,285.22836
267,307.89832
261,290.8766
214,255.0681
351,376.50906
318,346.35516
223,250.02351
338,370.40167
344,361.7195
323,367.49
235,268.59167
328,363.16846
208,238.90887
308,327.08237
311,339.0215
196,238.09708
218,236.48332
207,234.28395
287,308.82422
299,333.77277
192,216.96039
281,340.09146
336,381.57693
231,259.0646
197,209.62352
164,197.92908
169,183.26805
245,279.61014
262,286.8883
260,282.49692
266,268.77768
151,188.0672
175,200.47397
166,191.35706
167,214.00458
246,256.14185
135,149.6854
117,137.48181
229,243.75304
115,136.35048
203,220.18002
97,121.2635
90,98.241325
184,195.57693
197,210.18027
92,103.68253
80,93.02754
162,168.19109
79,82.58791
73,86.08831
77,89.47193
65,74.67758
152,165.10477
153,162.57797
