real,pre
77.1,75.02481978284194
70.9,74.90012592461962
76.6,74.77418050561391
73.3,74.64709436923965
74.9,74.51898019343635
70.8,74.38995235267953
77.2,74.26012677572021
72.2,74.1296207990695
71.7,73.99855301668526
76.3,73.86704312579812
78.1,73.73521176924419
77.5,73.60318037453683
71.5,73.47107098983051
78.9,73.33900611702508
78.9,73.20710854240207
78.4,73.07550116483478
77.3,72.94430682200262
70.8,72.81364811482297
73.4,72.68364723040627
75.5,72.55442576375053
73.5,72.42610453863912
69.6,72.29880342770994
68.8,72.17264117256146
63.8,72.04773520350942
66.3,71.92420145983756
70.2,71.80215421075096
65.6,71.6817058770844
67.1,71.56296685443787
60.6,71.44604533788527
68.7,71.33104714857687
65.8,71.21807556258064
67.2,71.10723114241554
69.5,70.99861157127727
66.2,70.89231149073044
62.6,70.78842234175852
66.9,70.68703220974109
71.1,70.58822567368492
70.0,70.49208365979051
69.0,70.39868330001252
66.2,70.30809779553104
65.3,70.2203962857248
66.4,70.13564372284478
70.3,70.05390075258218
68.0,69.97522360095918
69.3,69.89966396757947
70.4,69.82726892586908
71.3,69.75808083007759
71.9,69.69213722973046
65.5,69.62947079143609
70.5,69.5701092283968
66.7,69.51407523776273
67.6,69.46138644623396
65.9,69.41205536365867
68.4,69.36608934522525
67.0,69.32349056218948
72.1,69.28425598119759
67.9,69.24837735256719
71.5,69.21584120736811
74.5,69.18662886357731
69.0,69.16071644125162
74.5,69.13807488695655
69.5,69.11867000715108
74.3,69.10246251102183
70.7,69.08940806230345
69.5,69.07945734046018
74.8,69.07255611086865
72.5,69.0686453042006
73.6,69.06766110485185
68.1,69.06953504836123
68.8,69.0741941275138
72.8,69.08156090750899
69.6,69.09155364941508
73.1,69.10408644225775
74.6,69.11906934342863
73.8,69.13640852700928
70.6,69.1560064401536
67.9,69.17776196715316
73.5,69.2015706007611
63.3,69.22732462084706
64.9,69.25491327995745
60.6,69.28422299542565
63.8,69.31513754782883
51.2,69.34753828545422
49.8,69.3813043345011
67.5,69.41631281442515
65.5,69.45243905858479
60.7,69.48955683910273
63.1,69.52753859628488
62.1,69.5662556716519
65.1,69.60557854450391
62.5,69.64537707145219
61.8,69.68552072863883
68.7,69.7258788560045
68.5,69.7663209032295
