real,pre
48,46.68
57,109.58
61,115.62
45,45.34
50,105.42
28,117.18
62,115.18
50,41.41
40,89.015
46,41.53
35,97.495
26,39.22
29,96.89
43,36.6
40,103.16
20,114.235
24,43.31
29,31.36
29,34.725
35,113.425
27,50.995
29,37.425
27,39.275
24,120.265
30,129.76
28,57.185
26,112.105
13,49.235
34,38.915
34,117.245
15,53.735
19,44.24
29,122.575
23,133.41
27,126.23
22,58.12
25,114.21
33,122.3
29,44.75
27,36.49
27,105.28
36,50.81
46,111.63
37,123.15
47,39.14
35,28.645
46,29.055
70,101.065
67,38.525
71,29.115
50,31.805
63,57.47
87,152.115
93,85.3
101,76.625
104,154.15
136,95.5
133,113.39
103,204.32
131,132.975
139,129.085
145,210.555
141,220.8
162,141.325
206,126.2
242,127.675
242,212.95
295,224.95
364,225.58
368,225.59
409,225.865
346,162.76
343,178.76
367,432.53
393,464.96
473,405.0
444,388.785
427,454.125
528,483.015
594,553.955
629,589.88
634,672.38
667,691.5
593,630.07
618,599.7
520,538.18
585,524.695
612,672.03
621,614.045
636,614.53
671,625.18
699,670.13
692,678.45
686,678.88
689,673.73
632,727.01
626,732.2
673,732.2
638,732.1
678,732.0
646,730.0
652,653.1
693,712.875
712,652.65
691,709.05
609,654.125
689,718.25
608,730.725
654,728.8
589,655.025
637,720.36
587,730.34
578,731.68
524,731.84
538,729.02
543,661.42
559,716.46
530,723.18
538,581.03
506,552.155
463,482.01
406,472.755
464,539.65
478,493.17
444,547.6
465,547.2
459,464.86
429,446.15
453,444.895
444,444.895
443,447.745
449,452.12
436,530.9
452,537.835
437,460.155
420,442.73
382,410.395
398,472.385
384,494.305
468,471.07
492,525.285
523,479.46
541,469.245
554,535.725
462,549.17
444,492.135
446,529.38
456,478.495
465,456.2
447,454.735
462,474.45
478,543.1
466,562.53
456,554.27
485,487.75
436,456.085
418,507.89
484,497.765
481,550.8
457,507.875
474,504.64
492,568.475
471,585.51
437,554.14
488,472.03
463,459.21
479,530.675
484,548.77
407,492.91
506,538.2
534,558.8
460,557.54
508,495.34
437,522.27
440,468.23
500,457.43
504,464.555
511,543.205
481,494.74
469,481.595
498,481.65
484,483.65
538,548.275
587,505.975
567,564.475
517,580.3
509,580.2
570,577.7
547,504.5
557,577.77
538,623.77
564,560.42
543,622.02
541,567.93
627,631.99
621,648.61
625,644.11
582,578.18
639,628.25
621,653.05
586,658.44
678,688.275
579,699.205
617,700.3
587,627.205
624,681.62
658,695.41
624,628.965
637,683.56
589,618.925
579,597.98
570,581.29
488,520.33
555,578.83
513,608.7
508,613.84
460,610.44
512,551.01
456,589.24
475,550.05
520,599.065
466,469.565
450,450.37
448,460.57
486,467.725
422,529.98
431,474.59
353,464.355
373,462.595
350,461.59
352,528.065
357,547.625
347,482.91
314,370.465
278,359.615
301,433.055
277,442.295
260,382.285
280,363.31
253,362.97
251,363.22
259,355.845
253,262.845
263,257.295
248,337.01
252,357.62
228,355.655
223,272.565
238,326.325
227,247.555
207,233.91
240,313.38
187,249.22
231,226.68
214,222.07
224,221.95
269,306.325
248,319.31
221,318.42
193,306.66
186,213.75
186,205.87
180,286.46
187,295.34
172,214.74
168,198.46
192,200.67
197,203.68
192,275.345
157,219.435
153,282.755
121,292.86
138,214.695
134,204.285
107,276.86
125,219.405
76,288.635
91,298.575
106,297.19
96,144.31
90,106.855
62,168.225
86,108.065
91,92.28
79,86.74
73,81.71
67,147.39
53,157.46
49,81.8
49,148.4
56,153.14
50,92.9
33,150.1
40,161.19
43,159.85
42,72.965
37,118.86
41,63.365
36,120.485
25,64.02
29,111.9
37,52.61
30,111.69
12,117.02
21,36.965
26,22.365
24,25.575
30,94.53
23,33.79
26,22.635
27,31.56
22,117.615
24,124.655
26,51.28
21,103.57
12,41.72
30,32.675
29,96.22
15,43.595
21,34.375
23,107.215
22,118.53
22,113.73
23,42.14
23,104.95
23,115.1
25,38.36
23,28.77
21,96.69
33,44.22
41,111.49
38,132.9
35,54.31
37,44.345
33,42.705
55,129.33
55,66.27
65,55.335
47,54.265
51,62.24
85,168.27
72,108.17
101,99.01
78,173.975
123,106.735
125,105.05
86,187.92
113,122.255
109,126.885
131,213.12
124,222.785
133,143.135
182,130.035
211,134.735
209,291.05
260,318.355
320,391.355
