real,pre
48,58.24972187930206
57,54.89176915539622
61,51.83364086234741
45,49.07559273637543
50,46.61762441844667
28,44.459479598710914
62,42.600646454793605
50,41.040358384598846
40,39.777595033750174
46,38.811083617375175
35,38.139300535333064
26,37.7604732800084
29,37.67258263492687
43,37.87336516225611
40,38.360315976769016
20,39.13069180356166
24,40.18151431615024
29,41.509573751481696
29,43.11143279746085
35,44.9834307491555
27,47.121687928051585
29,49.52211035979042
27,52.180394704233436
24,55.09203343224402
30,58.2523202424228
28,61.656355711213905
26,65.29905316926227
13,69.1751447965031
34,73.27918792813853
34,77.60557156324205
15,82.14852306788401
19,86.90211506352051
29,91.86027249196604
23,97.01677984736091
27,102.36528856558141
22,107.89932456111694
25,113.61229590161338
33,119.49750060931018
29,125.54813457895568
27,131.75729960172652
27,138.11801148371308
36,144.6232082483258
46,151.26575841109138
37,158.03846931564595
47,164.93409551923128
35,171.94534721641986
46,179.06489868910944
70,186.2853967712823
67,193.59946931668026
71,200.99973365763196
50,208.4788050433055
63,216.02930504558458
87,223.6438699209657
93,231.31515891642104
101,239.03586250824824
104,246.79871056188205
136,254.59648040155753
133,262.42200477822996
103,270.26817972522247
131,278.12797228992883
139,285.9944281314126
145,293.8606789728746
141,301.7199498989363
162,309.56556648737285
206,317.3909617657995
242,325.18968298309017
242,332.9553981868322
295,340.6819025975617
364,348.3631247707376
368,355.99313253874755
409,363.56613872427084
346,371.07650661766627
343,378.5187552109878
367,385.8875641816146
393,393.1777786191919
473,400.38441348923993
444,407.5026578284273
427,414.5278786655638
528,421.45562466375065
594,428.28162947917156
629,435.0018148326475
634,441.6122932903618
667,448.10937075049543
593,454.4895486336626
618,460.7495257743423
520,466.8862000124159
585,472.89666948284855
612,478.77823360350493
621,484.528393760389
636,490.14485369082547
671,495.6255195652455
699,500.9684997686429
692,506.17210438395
686,511.2348443784558
689,516.1554304973115
632,520.9327718656316
626,525.5659743043296
673,530.0543383624215
638,534.3973570709052
678,538.594713423268
646,542.6462775871421
652,546.5521038539689
693,550.3124273317151
712,553.927660388038
691,557.3983888505735
609,560.7253679712762
689,563.9095181634045
608,566.9519205180063
654,569.8538121094759
589,572.6165810978445
637,575.2417616378373
587,577.7310286025562
578,580.0861921332441
524,582.3091920230522
538,584.4020919463235
543,586.3670735428346
559,588.2064303678981
530,589.9225617188026
538,591.5179663484558
506,592.9952360775798
463,594.3570493160946
406,595.6061645049206
464,596.7454134903497
478,597.7776948413045
444,598.7059671218278
465,599.5332421294833
459,600.2625781121928
429,600.897072974114
453,601.4398574824023
444,601.8940884863068
443,602.2629421602312
449,602.5496072813503
436,602.7572785535921
452,602.8891499888531
437,602.948408356511
420,602.9382267115549
382,602.8617580125015
398,602.7221288392061
384,602.522433220539
468,602.2657265825796
492,601.9550198261254
523,601.593273543782
541,601.1833923852314
554,600.7282195800224
462,600.2305316259838
444,599.6930331520088
446,599.118351962808
456,598.509034273118
465,597.867540139424
447,597.196239094414
462,596.4974059926886
478,595.7732170720408
466,595.0257462369976
456,594.2569615697955
485,593.4687220731346
436,592.662774649992
418,591.8407513235979
484,591.0041667021152
481,590.1544156902881
457,589.2927714514522
474,588.420383621942
492,587.5382767794151
471,586.6473491670631
437,585.7483716742663
488,584.8419870740715
463,583.928709518146
479,583.0089242877638
484,582.0828878012617
407,581.150727875365
506,580.2124442399594
534,579.2679093028696
460,578.3168691635115
508,577.3589448706105
437,576.393633922869
440,575.4203120063536
500,574.4382349665555
504,573.4465410090129
511,572.4442531243488
481,571.430281732336
469,570.4034275388536
498,569.3623846003754
484,568.3057435891931
538,567.2319952529558
587,566.1395340613155
567,565.026662032805
517,563.8915927341586
509,562.7324554443123
570,561.5472994751415
547,560.3340986406301
557,559.0907558660242
538,557.8151079283448
564,556.5049303191036
543,555.1579422206833
541,553.7718115868281
627,552.3441603181686
621,550.8725695229421
625,549.3545848542526
582,547.7877219129941
639,546.1694717081634
621,544.4973061635721
586,542.7686836623288
678,540.9810546181311
579,539.131867064971
617,537.218572254104
587,535.238630249961
624,533.1895155139364
658,531.068722467774
624,528.87377102611
637,526.6022120892269
589,524.2516329868604
579,521.8196628631492
570,519.3039779949172
488,516.7023070333123
555,514.012436161004
513,511.232214155618
508,508.35955735224303
460,505.39245449575964
512,502.3289714760969
456,499.1672559383423
475,495.90554176049835
520,492.5421533918906
466,489.0755100452837
450,485.50412973646525
448,481.826633164601
486,478.0417474280371
422,474.14830956939574
431,470.1452699450278
353,466.0316954138112
373,461.80677234034584
350,457.4698094088316
352,453.02024024280246
357,448.4576258281199
347,443.7816567350773
314,438.99215513728046
278,434.0890766241327
301,429.0725118055197
277,423.94268770609375
260,418.69996894803313
280,413.34485872102385
253,407.8779995386521
251,402.3001737809207
259,396.61230402258406
253,390.8154531477664
263,384.91082425101257
248,378.8997603269301
252,372.78374374776075
228,366.56439553257684
223,360.2434744084373
238,353.8228756668387
227,347.30462981735417
207,340.69090104186074
240,333.98398545212746
187,327.1863091546575
231,320.30042612618223
214,313.32901590417424
224,306.2748810964919
269,299.1409447146719
248,291.93024733612475
221,284.6459440996844
193,277.2913015402534
186,269.86969426783565
186,262.3846014967722
180,254.83960343088876
187,247.23837751106004
172,239.58469453076628
168,231.88241462688978
192,224.13548315149177
197,216.34792643190775
192,208.52384742562225
157,200.66742127683102
153,192.78289078210474
121,184.8745617716824
138,176.94679841406975
134,169.00401845095774
107,161.05068836974698
125,153.09131852103866
76,145.13045818853408
91,137.17269061845576
106,129.22262801619337
96,121.28490651718533
90,113.36418113956728
62,105.46512072576871
86,97.59240288037091
91,89.75070891146339
79,81.9447187821741
73,74.1791060802048
67,66.45853301150368
53,58.7876454253356
49,58.537829686290536
49,55.19026319087851
56,52.14270744458452
50,49.39541891221904
33,46.948397909139715
40,44.80138874447289
43,42.953880158336744
42,41.40510605360993
37,40.15404652225908
41,39.19942916613286
36,38.53973071114575
25,38.173178914111645
29,38.097754760334055
37,38.31119495013422
30,38.81099467201926
12,39.59441065934959
21,40.65846452763276
26,41.99994638861057
24,43.61541873713935
30,45.501220606340894
23,47.65347198627637
26,50.06807850090428
27,52.74073633744911
22,55.66693742242575
24,58.841974837769044
26,62.26094847043993
21,65.91877088808684
12,69.81017343359952
30,73.92971253057004
29,78.27177619151604
15,82.83059072050759
21,87.60022760118244
23,92.5746105613249
22,97.74752280449428
22,103.1126143991957
23,108.66340981560654
23,114.3933155997617
23,120.29562817485368
25,126.36354175915005
23,132.59015638972795
21,138.96848604092224
33,145.49146682680453
41,152.15196527595714
38,158.9427866676462
35,165.856683417378
37,172.88636350083732
33,180.02449890414044
55,187.26373408878985
55,194.59669445970485
65,202.01599482439173
47,209.5142478316698
51,217.0840723779093
85,224.7181019693931
72,232.40899302882906
101,240.14943313479242
78,247.93214918199854
123,255.749915451736
125,263.59556158060207
86,271.46198041669965
113,279.3421357523734
109,287.22906992246726
131,295.1159112577568
124,302.9958813832105
133,310.86230235063647
182,318.708603596436
211,326.5283287140102
209,334.31514203245104
260,342.06283499170837
320,349.7653323060143
326,357.4166979069367
347,365.0111406580087
305,372.5430198334687
353,380.0068503536695
305,387.3973077699857
342,394.7092329931795
393,401.93763675854353
392,409.0777038226022
363,416.12479688560063
493,423.0744602352173
528,429.92242310702136
553,436.6646027576158
590,443.2971072468605
558,449.8162379263904
565,456.2184916316573
531,462.500562575149
446,468.6593439395054
515,474.6919291693142
559,480.5956129604632
533,486.36789194733086
572,492.0064650878117
593,497.5092337468767
632,502.8743014802081
600,508.0999735190498
612,513.184755959094
615,518.1273546553836
565,522.9266738268973
562,527.5818143739151
606,532.0920719125806
602,536.4569345309194
587,540.6760802707888
597,544.7493743422845
602,548.676866074859
604,552.4587856123499
668,556.095540358245
626,559.5877111776883
586,562.9360483643787
621,566.1414673789528
529,569.2050443681323
554,572.1280114719668
536,574.9117519284127
556,577.5577949840394
530,580.0678106201901
476,582.4436041044981
469,584.6871103768028
463,586.8003882803441
475,588.7856146480894
482,590.6450782548006
505,592.3811736453921
440,593.996394850619
476,595.493329001207
416,596.8746498509893
375,598.1431112210067
394,599.3015403753237
419,600.352831340478
390,601.2999381796795
394,602.1458682330293
417,602.8936753362777
389,603.546453028289
389,604.1073277597989
395,604.5794521140975
405,604.9659980516709
355,605.2701501896629
379,605.4950991275523
389,605.6440348299159
352,605.7201400772035
388,605.7265839960012
330,605.6665156780145
335,605.543057899458
312,605.3593009503543
392,605.1182965839064
427,604.823052095448
434,604.476524540996
483,604.0816151036181
500,603.6411636176933
419,603.157943258261
401,602.6346554053013
378,602.0739246894409
418,601.4782942274212
406,600.8502210545066
373,600.1920717604902
396,599.5061183359878
395,598.7945342347467
428,598.0593906582269
393,597.3026530671671
423,596.5261779254525
381,595.7317096803336
366,594.920877983525
391,594.0951951561785
420,593.2560539014544
402,592.404725266964
431,591.5423568597198
409,590.6699713150321
416,589.7884650212457
384,588.8986071005417
399,588.0010386471481
393,587.0962722221998
422,586.1846916054657
425,585.2665518025859
369,584.3419793070134
418,583.4109726145082
431,582.4734029886192
370,581.5290154736256
444,580.5774301530653
394,579.6181436496713
372,578.6505308633423
446,577.6738469426249
457,576.687229485435
478,575.6897009638699
421,574.6801713679549
458,573.6574410625508
419,572.6202038512781
452,571.5670502416119
470,570.4964709039746
541,569.4068603178216
494,568.2965205984433
446,567.1636654954102
462,566.006424556253
489,564.82284744653
494,563.6109084185832
489,562.368510919955
486,561.0934923331195
485,559.7836288377409
447,558.4366403862382
467,557.050195783514
566,555.62191786158
548,554.1493887398065
555,552.6301551609426
534,551.0617338934635
544,549.4416171908144
573,547.7672782973896
573,546.0361769917893
582,544.2457651574614
523,542.3934923711345
533,540.4768114991023
537,538.4931842916444
557,536.4400869661845
589,534.3150157693331
536,532.1154925084802
550,529.8390700434079
562,527.4833377287405
471,525.045926798136
510,522.5245156811495
484,519.916835243718
483,517.2206739440317
490,514.4338828951807
415,511.5543808259135
440,508.5801589320981
461,505.5092856105628
419,502.33991106797026
365,499.07027179731455
462,495.6986949150948
427,492.22360235210755
429,488.6435148917032
392,484.95705604887706
433,481.16295578472426
382,477.26005405026746
385,473.2473041546594
305,469.1237759524624
318,464.88865884575824
315,460.541264596419
322,456.0810299447979
322,451.50751903125814
319,446.8204256168678
292,442.0195751010686
251,437.1049263328078
267,432.07657321392657
261,426.93474609200626
214,421.67981294185046
251,416.31228033429255
218,410.8327941910151
223,405.2421403259386
238,399.54124477216095
244,393.73117389531757
223,387.81313429347307
235,381.788472484975
228,375.658674385457
208,369.42536457513467
208,363.0903053591513
211,356.6553956223526
196,350.1226694820743
218,343.49429474081313
207,336.77257114279183
187,329.959928437457
199,323.0589242538127
192,316.0722417897446
181,309.0026873203139
236,301.8531875302297
231,294.62678667441384
197,287.326643572804
164,279.9560284435568
169,272.5183195811716
145,265.01699988440686
162,257.4556532404849
160,249.83796077150674
166,242.16769694889973
151,234.4487255831238
175,226.68499569453974
166,218.88053727232392
167,211.03945692829944
146,203.1659334526567
135,195.26421327852967
117,187.33860586218663
129,179.39347898690124
115,171.43325399677013
103,163.46240096830928
97,155.4854338270846
90,147.50690541661203
84,139.53140252707936
97,131.56354089091548
92,123.60796015290185
80,115.66931882195792
62,107.7522892120167
79,99.86155237898112
73,92.00179306118565
77,84.17769463038456
65,76.39393406038624
52,68.65517691996484
53,60.9660723972691
