real,pre
48,51.48739
57,147.36572
61,150.39038
45,53.09366
50,148.72444
28,139.88464
62,136.78249
50,43.694435
40,133.13586
46,43.857643
35,132.12697
26,28.725435
29,118.25791
43,26.318108
40,123.69024
20,111.89237
24,15.289274
29,9.7040825
29,17.475582
35,111.54174
27,19.630533
29,19.172838
27,25.410276
24,118.90845
30,115.15882
28,24.75472
26,111.04747
13,14.740383
34,26.115774
34,111.39817
15,13.094774
19,14.510818
29,110.37822
23,113.036
27,107.26633
22,25.10551
25,120.29411
33,118.93753
29,22.68414
27,25.69765
27,118.16089
36,31.510714
46,127.47409
37,135.05498
47,36.86165
35,33.520477
46,35.416645
70,136.7427
67,48.070404
71,45.792274
50,41.270462
63,44.787674
87,165.74913
93,87.57936
101,85.463554
104,188.71301
136,90.99365
133,92.13185
103,197.28156
131,94.92984
139,117.56799
145,219.05637
141,220.32765
162,149.36496
206,141.26747
242,199.38847
242,277.6811
295,292.65253
364,349.19293
368,460.1931
409,451.87018
346,352.6009
343,360.12415
367,461.42657
393,488.13446
473,407.9583
444,408.51663
427,513.65674
528,551.2215
594,551.9732
629,553.39734
634,722.3729
667,717.0052
593,588.4509
618,598.55194
520,553.4704
585,571.48004
612,663.5427
621,597.47076
636,590.13074
671,589.928
699,595.31287
692,639.69415
686,652.69617
689,666.90643
632,722.6329
626,723.77014
673,735.9023
638,737.6551
678,737.3735
646,733.4381
652,677.4812
693,775.6883
712,693.0296
691,777.96204
609,693.43414
689,780.6833
608,788.2869
654,779.2081
589,603.8046
637,690.6899
587,680.8262
578,678.75354
524,681.5542
538,677.76605
543,576.4279
559,667.7595
530,695.18195
538,587.30597
506,556.00757
463,554.3868
406,557.02747
464,638.53687
478,530.87146
444,623.6336
465,629.9272
459,538.3858
429,536.3414
453,527.9951
444,452.00443
443,441.3723
449,442.4053
436,540.4895
452,550.7841
437,450.35773
420,443.3149
382,390.60257
398,488.32108
384,484.2959
468,383.0261
492,551.56946
523,450.0194
541,445.44318
554,551.44885
462,558.66394
444,468.29807
446,609.94116
456,470.34485
465,463.63553
447,436.3985
462,454.51035
478,565.7234
466,554.0795
456,544.2665
485,438.72714
436,449.0362
418,499.74826
484,407.27228
481,530.869
457,437.77185
474,435.06274
492,584.592
471,564.21704
437,549.6099
488,451.28497
463,455.02045
479,553.2303
484,582.4175
407,492.68106
506,588.10626
534,600.6637
460,570.3684
508,484.6826
437,578.96063
440,452.01904
500,475.3217
504,506.97336
511,627.771
481,516.4885
469,522.25134
498,522.9663
484,538.94763
538,617.3241
587,515.87115
567,619.6599
517,636.0055
509,618.57574
570,613.59485
547,545.8126
557,647.7855
538,665.1749
564,563.2301
543,660.4607
541,563.21625
627,723.1893
621,724.2807
625,717.9546
582,606.43335
639,672.9245
621,675.2284
586,689.7026
678,699.01776
579,678.9778
617,726.61536
587,631.9873
624,703.33057
658,689.6367
624,582.95074
637,687.03485
589,598.7108
579,577.1783
570,562.0569
488,584.41705
555,624.9504
513,623.2156
508,590.179
460,560.966
512,463.14
456,554.0223
475,486.76074
520,578.1985
466,477.91766
450,460.48868
448,457.55167
486,460.2664
422,556.3187
431,449.75732
353,448.16827
373,410.46216
350,385.59628
352,446.4915
357,453.16104
347,448.95438
314,338.0279
278,341.10886
301,415.56265
277,410.6359
260,407.3082
280,391.75125
253,338.496
251,331.3431
259,327.6079
253,249.89877
263,254.9461
248,347.33463
252,360.32938
228,350.01175
223,228.9378
238,318.8808
227,226.99435
207,233.72723
240,330.75186
187,216.70853
231,212.89468
214,218.64822
224,220.20267
269,317.24432
248,323.85968
221,327.8456
193,326.76312
186,222.46889
186,193.70372
180,291.04636
187,287.857
172,185.00824
168,210.11835
192,207.98012
197,186.08904
192,304.4472
157,186.93132
153,241.86313
121,235.32426
138,135.106
134,137.95073
107,236.7979
125,137.89558
76,239.663
91,219.49565
106,199.24414
96,92.1856
90,89.07742
62,173.43979
86,71.29898
91,74.59637
79,69.12917
73,68.105064
67,166.46431
53,162.81435
49,62.969616
49,158.84842
56,161.87312
50,64.57589
33,160.2072
40,151.36737
43,148.26515
42,55.17673
37,144.61848
41,55.339817
36,143.6095
25,40.207783
29,129.74036
37,37.800476
30,135.17293
12,123.3748
21,26.771706
26,21.186516
24,28.958021
30,123.02419
23,31.113033
26,30.655277
27,36.892654
22,130.39091
24,126.641266
26,36.23707
21,122.52992
12,26.222866
30,37.598175
29,122.88062
15,24.577202
21,25.993282
23,121.86066
22,124.51846
22,118.74878
23,36.58778
23,131.7767
23,130.42006
25,34.166588
23,37.180035
21,129.64331
33,42.993015
41,138.95671
38,146.53752
35,48.343998
37,45.002842
33,46.898987
55,148.22533
55,59.552723
65,57.27464
47,52.752827
51,56.269855
85,177.23193
72,99.0618
101,96.946014
78,200.19572
123,102.47609
125,103.61431
86,208.76425
113,106.412285
109,129.05055
131,230.53908
124,231.81036
133,160.8477
182,152.75015
211,210.87122
209,289.16327
260,304.13464
320,360.6751
326,471.6753
347,463.35236
305,364.08307
353,371.60626
305,472.9088
342,499.61658
393,419.44037
392,419.99893
363,525.1387
493,562.7031
528,563.4551
553,564.8791
590,733.8547
558,728.48706
565,599.9327
531,610.0337
446,564.9522
515,582.96185
559,675.02454
533,608.9525
572,601.6125
593,601.4097
632,606.79474
600,651.17596
612,664.17804
615,678.38837
565,734.1148
562,735.252
606,747.38416
602,749.13684
587,748.8553
597,744.91986
602,688.96295
604,787.17004
668,704.5114
626,789.4439
586,704.9159
621,792.16516
529,799.7687
554,790.68994
536,615.28656
556,702.17175
530,692.3081
476,690.2353
469,693.03613
463,689.2478
475,587.9098
482,679.24133
505,706.6637
440,598.7877
476,567.4894
416,565.86847
375,568.5093
394,650.0186
419,542.3532
390,635.11523
394,641.40894
417,549.8676
389,547.82306
389,539.47687
395,463.48654
405,452.85446
355,453.88742
379,551.9711
389,562.26575
352,461.83987
388,454.79703
330,402.08475
335,499.80322
312,495.77805
392,394.5083
427,563.051
434,461.5015
483,456.92538
500,562.93054
419,570.1455
401,479.7805
378,621.42267
418,481.82703
406,475.1177
373,447.88068
396,465.99252
395,577.205
428,565.56116
393,555.74817
423,450.20932
381,460.51834
366,511.23074
391,418.75446
420,542.35065
402,449.254
431,446.5449
409,596.07355
416,575.6986
384,561.09155
399,462.7673
393,466.50278
422,564.7121
425,593.8993
369,504.16232
418,599.5881
431,612.1455
370,581.8502
444,496.1644
394,590.4425
372,463.50134
446,486.80423
457,518.4555
478,639.2529
421,527.9701
458,533.73303
419,534.4481
452,550.42944
470,628.8059
541,527.3528
494,631.1417
446,647.4873
462,630.0576
489,625.07666
494,557.29443
489,659.26733
