real,pre
72.4,76.9759999999998
73.2,79.32799999999978
73.2,80.10900000000018
73.0,77.31300000000029
73.0,79.76300000000029
70.3,80.51300000000029
63.8,80.24050000000028
72.1,76.71700000000027
72.4,78.40800000000026
74.0,76.76300000000025
75.1,78.43650000000025
73.2,76.50950000000026
72.2,78.75850000000027
74.1,76.70900000000026
71.4,78.69300000000025
70.2,81.41900000000008
70.5,78.539
71.0,74.57949999999997
69.8,73.04649999999984
70.4,75.09199999999977
67.8,72.87199999999976
68.3,72.11099999999976
70.9,72.33599999999976
65.6,75.24349999999976
66.5,76.05549999999975
63.2,73.45999999999975
66.0,74.14349999999976
61.6,67.2599999999998
61.8,65.21299999999982
67.7,69.94099999999992
59.5,68.8645
65.0,68.36150000000012
64.2,70.43250000000003
62.9,71.11200000000001
62.6,69.42800000000001
62.0,66.59349999999996
65.5,70.73749999999981
64.1,71.77999999999977
63.5,68.8239999999998
59.8,67.65500000000013
62.8,70.00500000000022
66.0,68.56600000000022
66.6,70.54900000000022
68.3,71.23600000000019
66.1,69.0919999999999
67.1,68.4269999999998
63.7,68.70399999999978
68.4,71.41599999999977
68.2,69.38249999999982
66.2,69.05400000000009
67.0,69.4865000000002
68.7,70.27700000000023
67.9,73.48950000000025
69.0,71.79300000000023
67.3,71.27000000000018
68.0,74.6284999999999
68.9,72.59699999999978
67.5,71.99999999999976
69.1,74.88249999999975
68.0,72.69749999999975
69.8,72.44999999999976
70.1,75.69999999999976
69.1,76.16499999999975
70.7,72.97249999999977
69.8,71.64999999999976
70.5,71.87499999999976
68.4,74.90249999999975
69.4,76.16249999999978
68.3,76.47799999999995
68.7,76.496
68.9,76.14399999999998
69.6,72.87249999999986
69.9,72.17650000000012
68.8,75.08150000000023
69.0,75.87300000000022
66.8,71.41899999999988
68.7,69.91149999999978
68.0,72.73449999999978
64.8,71.35849999999994
63.7,67.48049999999998
62.3,64.28849999999987
62.3,66.4859999999998
63.7,67.0749999999998
65.1,64.09299999999982
64.1,63.39799999999985
66.6,66.05350000000011
64.2,67.20300000000022
65.6,69.87850000000023
64.4,68.10000000000022
65.3,67.25000000000024
64.3,67.12500000000024
64.4,67.10000000000022
66.2,67.10000000000022
67.2,67.17500000000024
66.6,67.35000000000024
69.0,70.82500000000023
67.9,72.00000000000024
67.5,72.10000000000025
69.6,72.10400000000024
68.7,72.1040000000002
68.9,72.31399999999987
68.9,70.2629999999998
68.9,71.94200000000008
