real,pre
48,-2.39344766710394
57,0.6929177021571054
61,3.7842163660755705
45,6.875515029994078
50,9.966813693912657
28,13.058112357831122
62,16.149411021749614
50,19.240709685667966
40,22.332008349586488
46,25.424183084992947
35,28.516931083580744
26,31.609679082168363
29,34.70242708075611
43,37.79517507934385
40,40.88792307793159
20,43.98067107651933
24,47.07341907510707
29,50.16616707369474
29,53.258915072282505
35,56.35166307087019
27,59.444411069457914
29,62.53715906804565
27,65.62990706663335
24,68.75031841852513
30,72.19853040776783
28,76.78272051705827
26,83.48744468932398
13,91.55732275518481
34,99.84885153794787
34,108.17931090870592
15,116.5112925545583
19,124.84327420041063
29,133.1752558462631
23,141.50723749211554
27,149.83921913796792
22,158.17120078382027
25,166.50318242967273
33,174.83516407552517
29,183.1671457213775
27,191.49912736722985
27,199.8311090130823
36,208.16309065893478
46,216.49507230478713
37,224.82705395063954
47,233.15903559649192
35,241.49101724234444
46,249.82299888819682
70,258.15498053404923
67,266.4869621799015
71,274.818943825754
50,283.1509254716064
63,291.48290711745875
87,299.8148887633113
93,308.14687040916357
101,316.478852055016
104,324.8108337008684
136,333.14281534672085
133,341.47479699257326
103,349.80677863842556
131,358.138760284278
139,366.4707419301305
145,374.80272357598307
141,383.1347052218353
162,391.46668686768766
206,399.7986685135401
242,408.1306501593926
242,416.462631805245
295,424.7946134510973
364,433.1265950969497
368,441.4585767428021
409,449.79055838865435
346,458.122540034507
343,466.4545216803594
367,474.78650332621174
393,483.11848497206415
473,491.4504666179166
444,499.78244826376886
427,508.1035005969784
528,516.402297011153
594,524.6888890762019
629,532.9491464547319
634,541.202194013336
667,549.4552415719403
593,557.7082891305449
618,565.9613366891492
520,574.2143842477534
585,582.462294363719
612,590.6953440397945
621,598.92839371587
636,607.0740857604575
671,614.9631404131745
699,621.7264605123595
692,627.0528669609995
686,631.3097351284539
689,634.1996703077564
632,636.3547995224467
626,638.4337458182132
673,640.5126921139802
638,642.5916384097469
678,644.5454824474391
646,645.6490711980897
652,645.985990257739
693,644.616621291006
712,643.0478273412033
691,641.4687164157486
609,639.8896054902938
689,638.310494564839
608,636.731383639384
654,635.1522727139293
589,633.5731617884745
637,631.9940508630198
587,630.4149399375648
578,628.83582901211
524,627.256718086655
538,625.6776071612002
543,624.0984962357455
559,622.5193853102907
530,620.9402743848356
538,619.3611634593809
506,617.7820525339258
463,616.2029416084712
406,614.6238306830163
464,612.981120809091
478,611.2719450085186
444,609.4526159342619
465,607.5500355732157
459,605.6474552121697
429,603.7061174999388
453,601.6236113593932
444,599.5200581573663
443,597.4165049553399
449,595.3129517533131
436,593.2093985512865
452,591.10584534926
437,589.0022921472333
420,586.8987389452067
382,584.7951857431805
398,582.6916325411538
384,580.5880793391273
468,578.4845261371006
492,576.380972935074
523,574.2774197330479
541,572.173866531021
554,570.0703133289945
462,567.9667601269679
444,565.8632069249412
446,563.7596537229145
456,561.6561005208881
465,559.5525473188617
447,557.448994116835
462,555.3454409148084
478,553.2418877127817
466,551.1383345107553
456,549.0347813087288
485,546.9312281067021
436,544.8276749046756
418,542.7241217026491
484,540.6205685006225
481,538.517015298596
457,536.4134620965693
474,534.3099088945428
492,532.2063556925162
471,530.1028024904898
437,527.9992492884633
488,525.8956960864367
463,523.79214288441
479,521.6885896823834
484,519.5850364803567
407,517.4814832783303
506,515.3779300763036
534,513.2743768742772
460,511.1708236722505
508,509.067270470224
437,506.9637172681974
440,504.86016406617074
500,502.7566108641443
504,500.6530576621177
511,498.5495044600911
481,496.44595125806455
469,494.342398056038
498,492.2388448540114
484,490.13529165198486
538,488.0317384499582
587,485.9281852479317
567,483.8246320459053
517,481.7210788438786
509,479.6175256418519
570,477.51397243982564
547,475.41041923779903
557,473.30686603577243
538,471.20331283374577
564,469.0997596317192
543,466.9962064296927
541,464.8926532276662
627,462.78910002563947
621,460.6855468236129
625,458.5819936215863
582,456.47844041955994
639,454.3748872175335
621,452.2713340155067
586,450.1677808134802
678,448.0642276114536
579,445.9606744094269
617,443.85712120740055
587,441.753568005374
624,439.6500148033473
658,437.5464616013208
624,435.44290839929414
637,433.3393551972677
589,431.235801995241
579,429.1322487932144
570,427.02869559118807
488,424.9251423891612
555,422.8215891871348
513,420.71803598510814
508,418.61448278308166
460,416.5109295810552
