real,pre
72.4,76.54146
73.2,80.31604
73.2,82.01619
73.0,76.0997
73.0,82.049545
70.3,75.12249
63.8,77.28807
72.1,75.89852
72.4,81.10544
74.0,78.81141
75.1,82.9966
73.2,77.143265
72.2,80.382675
74.1,76.21525
71.4,80.10093
70.2,80.16784
70.5,76.01637
71.0,73.79053
69.8,73.16922
70.4,80.088974
67.8,72.04345
68.3,73.66574
70.9,74.89964
65.6,78.09238
66.5,74.34578
63.2,69.69921
66.0,75.145164
61.6,69.61493
61.8,66.4631
67.7,73.75348
59.5,67.88842
65.0,67.59645
64.2,72.7287
62.9,73.60978
62.6,73.36871
62.0,68.82113
65.5,72.420944
64.1,73.13556
63.5,67.45182
59.8,68.22765
62.8,72.18448
66.0,69.30506
66.6,74.39058
68.3,74.91226
66.1,70.62187
67.1,69.94112
63.7,69.833275
68.4,76.22352
68.2,71.48682
66.2,70.07267
67.0,70.56692
68.7,71.58076
67.9,75.97402
69.0,72.745605
67.3,72.50388
68.0,76.198166
68.9,72.14153
67.5,72.13333
69.1,77.09318
68.0,72.6184
69.8,73.68373
70.1,77.66818
69.1,78.43034
70.7,74.087616
69.8,73.56094
70.5,74.333855
68.4,78.00839
69.4,78.20701
68.3,77.79778
68.7,77.77555
68.9,77.4573
69.6,73.010605
69.9,72.76015
68.8,77.42238
69.0,77.43134
66.8,70.679474
68.7,72.35779
68.0,76.881355
64.8,75.35201
63.7,65.63873
62.3,64.86822
62.3,65.03832
63.7,64.32823
65.1,58.363495
64.1,66.86073
66.6,69.11811
64.2,69.273674
65.6,72.96125
64.4,67.52323
65.3,60.158615
64.3,59.431263
64.4,59.370487
66.2,64.11892
67.2,64.19023
66.6,64.6345
69.0,74.19426
67.9,74.306625
67.5,74.54974
69.6,71.383575
68.7,72.15106
68.9,73.20159
68.9,64.97263
68.9,69.30695
69.1,65.94552
69.5,70.22807
69.5,68.86628
69.7,74.961266
71.3,75.58971
69.8,75.875
70.7,72.518364
70.9,76.884735
71.2,77.69456
72.2,78.52753
71.6,78.38703
71.8,79.04397
72.2,74.73769
69.9,77.11268
71.9,74.78465
72.8,75.143265
74.5,74.83048
72.6,74.92257
72.9,76.00097
72.4,78.71269
73.9,76.65338
73.7,81.30642
71.4,80.25393
74.0,76.11124
74.5,76.061356
72.5,75.52829
73.3,75.06288
72.9,75.87269
71.4,73.492836
