real,pre
148,68.50817538862619
57,68.50817538862619
161,68.50817538862619
45,68.50817538862619
50,68.50817538862619
28,68.50817538862619
162,68.50817538862619
50,68.50817538862619
40,68.50817538862619
146,122.84261579639089
135,122.84261579639089
126,122.84261579639089
29,116.63652130667974
143,124.8317797843883
140,124.8317797843883
120,121.69093994345518
124,121.69093994345518
29,39.70930700655354
129,124.35815400220878
135,125.08495189121568
127,129.59907806377706
29,28.427662312587618
27,28.427662312587618
24,26.81905502370033
30,26.81905502370033
128,117.17701869920465
26,34.526385706429814
113,104.73801964722747
34,44.9172464510099
134,120.9027019648161
115,120.9027019648161
119,120.9027019648161
129,120.9027019648161
23,32.680836412783755
27,32.680836412783755
122,122.37419288742014
125,126.19614093640386
133,126.19614093640386
129,126.19614093640386
127,125.3182359691526
27,40.85656209774382
36,45.22177603439413
146,120.42220758662019
37,56.54639117315241
147,140.58064511802945
135,141.6715469128894
146,142.73385341643743
170,144.6094852968678
67,89.44654556374591
171,152.85080634778654
50,70.60182464940449
63,71.27485685916572
87,82.41494749309814
93,97.7188832453392
101,97.7188832453392
204,182.13077655841653
136,167.85355840902426
233,201.408905458802
203,201.408905458802
131,165.16991911641537
239,209.07132583978168
145,178.99000510306942
241,203.28306791888988
162,191.976802830674
206,225.9070931748226
342,314.15880734860326
342,381.71575305795784
395,383.0012639864904
364,373.4549336870788
368,373.4549336870788
509,462.35054107443347
346,389.1536266523424
443,464.3277449649784
467,466.8276088004965
493,519.0003659970592
573,520.6747490573326
444,476.26639272493543
527,537.5046095480155
528,537.5046095480155
694,669.832512751302
629,666.1485487173283
734,735.2431968295433
767,735.2431968295433
593,639.9559983286113
718,646.9731838787817
520,547.9852106284388
585,572.1732089344783
612,610.59101989272
621,644.1190163012137
736,741.853026041411
771,745.436025566126
699,731.4765467274057
792,789.4844908155885
786,789.4844908155885
689,700.8504894136619
732,702.6934815689347
626,656.6126298556153
673,649.5396463146637
638,649.5396463146637
678,685.7673927954216
746,744.6428158372323
752,744.6428158372323
693,721.0403969058556
812,751.7627290236668
691,678.3348895215737
609,667.8494859750548
789,721.3930584670645
708,721.3930584670645
654,678.2173719840324
689,678.2173719840324
637,620.3668543530106
587,580.9363870673526
578,580.9363870673526
624,620.7532838132097
638,620.7532838132097
543,561.6714838239935
559,561.6714838239935
530,591.0412501002605
638,610.0245327338775
606,606.1116843525878
463,500.9110190686508
506,507.2496673147543
564,517.1401341453502
478,481.7787774098351
444,481.7787774098351
565,487.1130809880949
459,464.86233390831563
429,464.86233390831563
553,523.0700176571762
444,503.91860338679425
543,524.504049713033
549,524.504049713033
436,463.8238521169596
452,463.8238521169596
537,493.02764791487806
420,462.5162181851368
482,475.4803615400581
498,475.4803615400581
484,481.92390691400874
468,481.92390691400874
592,586.347346165368
623,624.5213397203918
641,624.5213397203918
654,624.5213397203918
462,511.49427406353715
544,516.2445915065193
446,505.48980787698883
556,520.5233182223585
465,472.15746325976687
447,472.15746325976687
562,553.7276089753259
578,553.7276089753259
466,498.5846255856403
556,498.5846255856403
485,468.2669966464753
436,468.2669966464753
518,510.96256620318786
584,569.4436390145789
581,569.4436390145789
557,566.4311991295243
574,566.4311991295243
492,536.9174916320399
571,545.992722439022
537,545.992722439022
588,545.992722439022
463,471.2903683829268
479,471.2903683829268
484,486.60686306103554
507,527.7335291699345
606,561.7956185018285
534,545.6505405538192
560,545.6505405538192
508,499.4833454768498
437,470.26346643885563
440,470.26346643885563
500,498.124280543631
504,507.03891765904064
511,507.03891765904064
581,543.2344853689884
469,519.4204855382673
598,595.8902169902575
584,597.0557222428316
638,609.5663816863647
587,599.0555756984838
667,607.6343194049985
617,607.6343194049985
