real,pre
148,140.155
57,67.055
161,134.32
45,61.01
50,55.62
28,48.475
162,120.765
50,61.23
40,45.0
146,129.325
135,137.065
126,126.815
29,46.34
143,128.805
140,137.645
120,121.205
124,122.325
29,51.31
129,110.02
135,132.095
127,129.21
29,35.62
27,30.595
24,24.585
30,28.3
128,106.885
26,44.5
113,98.11
34,43.695
134,115.17
115,119.185
119,121.65
129,124.595
23,42.43
27,32.185
122,111.905
125,125.19
133,130.17
129,131.825
127,123.88
27,40.085
36,37.69
146,123.205
37,56.01
147,131.41
135,142.16
146,140.585
170,158.495
67,84.35
171,157.995
50,65.9
63,62.12
87,83.995
93,94.775
101,103.535
204,189.765
136,154.07
233,215.07
203,208.59
131,151.28
239,216.915
145,167.845
241,221.3
162,177.24
206,215.57
342,329.275
342,347.575
395,399.465
364,355.08
368,372.2
509,465.64
346,378.755
443,453.77
467,471.545
493,495.29
573,533.99
444,457.585
527,539.135
528,530.295
694,681.52
629,653.77
734,730.485
767,736.935
593,636.29
718,692.22
520,537.43
585,575.8
612,603.06
621,631.105
736,724.375
771,772.5
699,714.425
792,787.33
786,800.735
689,704.91
732,717.805
626,633.985
673,648.65
638,646.24
678,678.69
746,740.995
752,766.8
693,701.0
812,776.08
691,684.745
609,640.895
789,742.005
708,722.15
654,649.22
689,687.33
637,625.525
587,582.41
578,565.425
624,633.075
638,626.285
543,560.455
559,553.33
530,587.66
638,629.085
606,614.98
463,490.675
506,513.095
564,550.99
478,487.09
444,464.47
565,531.255
459,479.825
429,443.635
553,535.26
444,468.04
543,526.8
549,541.745
436,445.615
452,456.455
537,509.245
420,452.65
482,479.03
498,480.555
484,491.045
468,461.775
592,567.555
623,618.75
641,633.465
654,632.285
462,501.95
544,537.1
446,480.29
556,533.065
465,476.895
447,455.35
562,548.525
578,569.45
466,494.04
556,519.995
485,470.08
436,451.245
518,497.55
584,576.14
581,581.215
557,563.775
574,578.225
492,509.995
571,543.95
537,550.775
588,561.59
463,461.605
479,471.62
484,487.11
507,524.88
606,582.065
534,532.33
560,555.045
508,508.9
437,456.87
440,454.21
500,498.245
504,510.175
511,514.84
581,552.94
469,510.42
598,589.075
584,607.15
638,628.825
587,583.37
667,632.425
617,621.585
509,536.595
670,631.765
647,646.01
657,645.365
538,570.235
664,637.69
643,628.445
541,576.77
727,693.25
721,723.515
725,720.475
582,606.02
639,581.945
621,539.54
586,620.935
678,606.82
579,586.785
617,625.55
587,632.395
724,701.01
758,738.3
724,730.915
737,714.34
689,691.81
579,597.065
570,576.45
588,602.775
655,627.08
513,532.15
508,508.88
560,561.665
612,598.415
456,486.85
475,483.17
620,610.905
466,474.32
450,454.79
448,461.985
486,468.21
422,429.97
531,507.58
453,469.875
373,389.085
350,356.77
352,353.17
357,373.83
447,438.36
314,324.275
278,287.66
301,294.21
277,272.045
260,257.835
380,351.93
353,342.025
251,276.025
359,341.58
353,351.93
363,357.465
248,277.42
352,337.55
228,252.925
323,307.38
338,328.155
227,240.96
207,228.07
240,226.87
287,291.53
331,318.25
214,238.595
324,309.15
369,356.345
248,270.49
221,204.13
193,195.715
186,185.69
286,268.205
280,284.085
287,281.185
272,269.335
168,196.035
192,194.655
197,195.66
192,204.25
257,243.225
153,164.745
121,141.265
238,217.935
134,153.555
207,206.19
125,130.79
76,97.405
191,176.89
206,197.59
96,117.025
90,94.135
162,152.5
86,87.525
91,84.195
79,88.525
73,75.135
167,155.4
153,156.88
