real,pre
148,158.92863
57,55.661373
161,153.67534
45,51.560627
50,50.257484
28,44.811832
162,143.88239
50,49.53798
40,38.819775
146,142.7808
135,137.97665
126,124.48306
29,29.263756
143,137.27505
140,135.54248
120,119.10826
124,120.59662
29,33.406517
129,123.51729
135,131.18927
127,127.029106
29,29.72115
27,30.38197
24,21.978989
30,27.40422
128,123.99297
26,25.985062
113,110.8336
34,38.301147
134,127.564095
115,117.4579
119,122.72966
129,119.58311
23,26.814083
27,27.987423
122,124.117615
125,126.1945
133,128.40411
129,132.37576
127,123.05937
27,24.7176
36,38.29786
146,143.0907
37,40.000587
147,138.96751
135,142.13269
146,138.68042
170,156.91467
67,74.7181
171,168.65056
50,47.5764
63,61.994698
87,89.30194
93,91.883484
101,104.11023
204,194.46779
136,140.96472
233,228.74287
203,204.52956
131,134.54967
239,232.97392
145,144.32991
241,233.73987
162,151.70792
206,219.14899
342,340.2215
342,336.7169
395,411.68668
364,337.6849
368,367.7118
509,486.12064
346,348.8131
443,463.3015
467,465.09076
493,489.18967
573,533.0075
444,435.03824
527,544.5231
528,509.30112
694,696.185
629,611.34015
734,729.4888
767,708.15906
593,598.2499
718,708.8781
520,510.33704
585,571.85175
612,596.1349
621,602.89764
736,723.22034
771,771.49084
699,683.3628
792,782.4651
786,792.08374
689,685.4503
732,728.15015
626,616.69183
673,647.8405
638,639.79144
678,675.454
746,740.505
752,772.9186
693,687.6854
812,795.07513
691,666.85004
609,652.0483
789,763.33826
708,719.6389
654,621.1814
689,701.4954
637,612.5226
587,573.29095
578,550.89557
624,638.8278
638,623.2638
543,551.4597
559,547.00793
530,588.9517
638,624.4048
606,624.54694
463,474.74997
506,514.6975
564,556.7698
478,477.04575
444,450.852
565,549.10706
459,468.60797
429,431.6998
553,563.5026
444,448.37082
543,545.9913
549,537.3845
436,428.76913
452,457.88452
537,504.10397
420,445.29987
482,493.4937
498,492.74567
484,501.6146
468,450.8432
592,591.51404
623,621.92316
641,626.9868
654,637.63806
462,490.59326
544,564.453
446,457.53235
556,562.7691
465,466.72824
447,438.4149
562,567.1141
578,584.90796
466,475.91483
556,549.1215
485,469.59738
436,448.61514
518,511.3052
584,583.6223
581,578.9385
557,567.7284
574,600.85205
492,488.8379
571,565.40735
537,559.01904
588,574.54224
463,450.1649
479,487.18018
484,493.06094
507,538.3855
606,596.30414
534,507.94983
560,559.5237
508,504.7283
437,449.1249
440,447.54843
500,503.16016
504,521.2335
511,532.88293
581,564.3216
469,510.54367
598,594.0427
584,619.2101
638,642.55426
587,577.39746
667,673.7276
617,639.1142
509,524.5173
670,677.6607
647,663.57214
657,654.7778
538,551.1212
664,666.44037
643,637.8105
541,570.9541
727,731.4036
721,732.06
725,730.5296
582,596.7087
639,581.9599
621,536.3363
586,621.66656
678,600.91034
579,597.5572
617,630.9234
587,630.95886
724,701.97614
758,730.4655
724,727.98584
737,699.53613
689,670.3491
579,581.68396
570,558.9503
588,631.96497
655,627.9131
513,520.5024
508,490.45135
560,580.24316
612,614.74426
456,476.2021
475,467.3973
620,637.9757
466,460.55316
450,454.03867
448,461.44354
486,479.73892
422,418.40033
531,520.9509
453,460.1053
373,387.92734
350,353.0077
352,352.2992
357,371.39682
447,456.5263
314,322.21405
278,282.95944
301,305.62936
277,288.60767
260,252.79973
380,374.24014
353,344.08624
251,247.75505
359,368.13275
353,359.4506
363,365.22113
248,266.32275
352,360.89954
228,236.64076
323,324.8135
338,336.7526
227,235.82896
207,234.21521
240,232.01587
287,306.5553
331,331.50385
214,214.69228
324,337.82254
369,379.308
248,256.79605
221,207.35538
193,195.66093
186,180.99995
286,277.34116
280,284.61942
287,280.228
272,266.5088
168,185.79906
192,198.20584
197,189.08893
192,211.73645
257,253.87378
153,147.41727
121,135.21368
238,241.48488
134,134.08235
207,217.91187
125,118.99506
76,95.97279
191,193.3088
206,207.91214
96,101.41405
90,90.75904
162,165.92299
86,80.31949
91,83.81989
79,87.20351
73,72.40916
167,162.83661
153,160.30981
