real,pre
77.4,75.61755952946116
73.2,75.50090434096319
78.2,75.38306381707531
73.0,75.26414846501945
73.0,75.14427060586672
70.3,75.02354423643789
68.8,74.90208488681223
72.1,74.78000947381007
72.4,74.65743615036399
79.0,74.53448415134996
80.1,74.4112736357557
78.2,74.28792552561701
72.2,74.16456134188235
79.1,74.04130303746747
76.4,73.91827282770745
75.2,73.79559301856902
75.5,73.67338583272449
71.0,73.55177323396818
74.8,73.43087675002486
75.4,73.31081729432974
72.8,73.19171498672645
68.3,73.07368897364297
70.9,72.95685724804186
65.6,72.84133646921994
66.5,72.72724178312164
68.2,72.61468664310033
66.0,72.50378263182128
66.6,72.3946392843136
61.8,72.28736391273151
72.7,72.1820614329856
64.5,72.07883419362321
70.0,71.97778180737588
69.2,71.87900098554805
62.9,71.78258537565951
62.6,71.68862540261557
67.0,71.59720811385071
70.5,71.50841702847153
69.1,71.42233199113863
68.5,71.33902903056233
64.8,71.2585802232407
62.8,71.18105356245226
66.0,71.10651283314468
71.6,71.03501749257508
68.3,70.96662255743905
71.1,70.90137849727142
72.1,70.83933113479651
68.7,70.7805215532504
73.4,70.72498601086059
68.2,70.67275586296327
71.2,70.62385749169795
67.0,70.57831224366414
68.7,70.53613637555537
67.9,70.49734100817352
69.0,70.46193208884151
67.3,70.42991036231932
73.0,70.4012713504388
68.9,70.37600534063907
72.5,70.35409738337773
74.1,70.33552729847295
68.0,70.32026969069844
74.8,70.30829397441536
70.1,70.29956440736291
74.1,70.29404013373943
70.7,70.29167523638668
69.8,70.29241879831633
75.5,70.29621497318823
73.4,70.30300306518713
74.4,70.31271761764359
68.3,70.3252885108868
68.7,70.34064106882512
73.9,70.3586961743171
69.6,70.37937039318078
74.9,70.40257610659734
73.8,70.42822165192148
74.0,70.45621147146116
71.8,70.48644626930827
68.7,70.51882317569311
73.0,70.55323591888164
64.8,70.58957500427783
68.7,70.62772790031957
62.3,70.667579231115
67.3,70.70901097534245
68.7,70.75190267124148
65.1,70.79613162711456
69.1,70.84157313742989
66.6,70.88810070365548
64.2,70.93558625981764
65.6,70.98390040230154
64.4,71.03291262343011
70.3,71.08249154853281
69.3,71.13250517604875
64.4,71.18282112003942
71.2,71.23330685520354
72.2,71.28382996329736
66.6,71.33425838105894
74.0,71.38446064885146
67.9,71.4343061597091
67.5,71.48366540822467
69.6,71.53241023907978
68.7,71.58041409440474
73.9,71.62755225957694
73.9,71.67370210727732
68.9,71.71874333899594
74.1,71.76255822356607
69.5,71.80503183250606
69.5,71.8460522714215
74.7,71.88551090712163
76.3,71.92330259000265
69.8,71.95932587136308
75.7,71.99348321479088
70.9,72.02568120176095
71.2,72.05583073062196
72.2,72.08384720857539
76.6,72.10965073652063
76.8,72.1331662859768
72.2,72.15432386799175
69.9,72.1730586936033
71.9,72.18931132531155
77.8,72.2030278194717
79.5,72.21415985921148
72.6,72.22266487731194
77.9,72.22850616920049
77.4,72.2316529953193
73.9,72.23208067294972
73.7,72.22977065705315
76.4,72.2247106099267
74.0,72.21689445961199
74.5,72.20632244667193
77.5,72.193001159287
73.3,72.17694355644717
77.9,72.15816897934319
76.4,72.1367031503868
69.4,72.11257816032729
70.3,72.08583244318167
77.8,72.05651073859714
71.6,72.02466404232264
77.1,71.99034954417284
78.1,71.95363055404506
78.0,71.91457641543384
70.6,71.87326240723412
74.4,71.82976963336411
72.1,71.78418490046484
68.4,71.73660058430143
69.6,71.68711448416197
66.0,71.63582966630771
73.5,71.58285429609045
67.2,71.52830145940142
72.8,71.47228897330378
68.2,71.41493918655688
66.5,71.35637876998744
71.2,71.29673849727904
69.5,71.23615301623717
66.6,71.17476061137718
69.6,71.11270295746705
67.3,71.05012486543446
70.2,70.98717401996835
75.2,70.92400071006917
73.3,70.86075755258078
73.4,70.79759920933459
73.1,70.73468209838599
72.2,70.67216409957025
68.1,70.61020425541268
73.9,70.54896246726771
73.7,70.48859918781774
73.0,70.42927510998108
67.0,70.37115085306836
69.0,70.31438664669993
67.5,70.2591420128481
73.4,70.2055754468637
72.2,70.1538440978763
65.7,70.10410344897441
71.8,70.05650699831507
66.2,70.01120594108905
67.7,69.96834885312036
67.3,69.92808137703828
65.1,69.8905459110921
66.8,69.85588130146256
67.2,69.8242225385164
72.3,69.79570045769817
65.2,69.77044144541999
70.5,69.74856715082048
72.3,69.73019420339394
72.8,69.71543393769106
66.6,69.70439212509167
74.0,69.69716871328195
75.2,69.69385757421766
71.1,69.69454626064966
74.2,69.69931577177125
76.1,69.70824032887494
75.7,69.72138716083886
70.2,69.73881630008567
76.4,69.76058038977341
77.5,69.78672450207661
70.2,69.81728596815994
75.3,69.85229422029182
75.4,69.89177064626712
74.9,69.93572845646999
70.7,69.9841725639151
67.4,70.03709947750669
66.2,70.09449720873273
67.8,70.15634519204254
67.9,70.22261421906536
70.9,70.2932663869009
70.8,70.36825506047377
70.7,70.4475248493484
75.0,70.53101159876896
75.7,70.61864239526734
75.3,70.71033558664796
75.2,70.80600081674415
76.5,70.90553907429127
70.0,71.00884275667774
68.8,71.11579574786289
75.5,71.2262735107994
74.5,71.34014319390077
69.8,71.45726375189987
69.5,71.57748608031444
75.9,71.70065316399736
76.5,71.82660023902726
71.3,71.95515496814745
70.4,72.08613762893619
76.5,72.2193613152864
72.8,72.35463215100255
72.4,72.49174951567251
72.4,72.63050628265275
72.6,72.77068906819501
71.7,72.91207849198533
77.3,73.05444944821637
77.6,73.19757138712659
73.0,73.34120860628674
73.1,73.48512055142432
72.6,73.62906212612712
72.5,73.77278401010234
77.0,73.91603298531312
72.6,74.05855226976543
72.4,74.2000818580674
73.1,74.34035886852224
73.4,74.47911789612296
73.2,74.61609137073653
78.2,74.75100992031038
78.6,74.88360273792104
72.1,75.01359795288433
79.5,75.14072300444617
78.1,75.26470501831399
77.1,75.38527118491187
73.5,75.50214913884373
79.3,75.61506733919636
74.1,75.72375544981834
79.0,75.8279447191975
78.3,75.92736835919074
72.8,76.021761922122
75.1,76.11086367559427
73.1,76.1944149744868
78.9,76.2721606296325
77.8,76.34384927230009
73.6,76.40923371444468
78.2,76.46807130366132
78.0,76.52012427256138
72.1,76.56516008214682
73.7,76.60295175827186
73.6,76.63327822116732
73.7,76.65592460714892
79.7,76.6706825823244
78.7,76.67735064748923
78.2,76.67573443413904
78.6,76.66564699098753
73.9,76.64690906043371
73.7,76.6193493448691
72.9,76.58280476219603
72.4,76.5371206903725
77.7,76.48215120048623
73.3,76.4177592781631
72.7,76.343817032899
78.7,76.26020589512167
74.7,76.1668168005839
77.0,76.06355036211768
72.7,75.95031702808912
74.9,75.82703722785494
78.4,75.69364150359651
78.8,75.55007062872313
