real,pre
149,51.96003459922139
49,50.06786125797504
156,48.44260882425806
50,47.083855806053975
33,45.99095430116358
40,45.16303080644599
143,44.598987290557886
42,44.29750252921201
37,44.25703370273516
141,44.47581825423504
136,44.951876007100054
125,45.68301153971686
29,46.66681681517889
137,47.900674063279894
130,49.38175891160546
112,51.10704376234747
121,53.073301411102705
26,55.27710890323482
124,57.71485162362728
130,60.38272761441959
123,63.27675211598631
26,66.39276232525731
27,69.72642236543857
22,73.2732284611173
24,77.02851431182603
126,80.9874566574436
21,85.14508102814915
112,89.4962676712874
30,94.0357576475538
129,98.75815908846454
115,103.65795360645882
121,108.72950284961843
123,113.96705519155887
22,119.36475254807425
22,124.91663731079785
123,130.61665938876075
123,136.45868334804345
123,142.43649563978545
125,148.54381190665725
123,154.77428435751722
21,161.1215092002655
33,167.5790341224327
141,174.14036580914578
38,180.79897748781738
135,187.54831648928922
137,194.38181181461965
133,201.29288169685418
155,208.27494114732198
55,215.32140947571241
165,222.42571777332492
47,229.58131634900408
51,236.78168210711067
85,244.0203258572799
72,251.29079954547112
101,258.5867033962413
178,265.90169295588066
123,273.2294860267767
225,280.5638694829663
186,287.8987059573238
113,295.2279403909414
209,302.5456064355693
131,309.8458326998664
224,317.1228488310179
133,324.37099142290504
182,331.58470974283995
311,338.75857126865805
309,345.8872670286197
360,352.9656167367972
320,359.98857371683016
326,366.95122960728463
447,373.8488188424191
305,380.676722902006
453,387.4304743251198
405,394.1057604819299
442,400.6984270990882
493,407.2044815342322
392,413.62009579491746
463,419.94160929911425
493,426.1655313733496
628,432.28854348586606
553,438.3075012124494
690,444.2194359326371
658,450.02155625504486
565,455.71124917063287
631,461.28608093265655
446,466.74379766401336
515,472.08232569131735
559,477.2997716067799
533,482.39442205846643
672,487.3647432712629
693,492.20938029953464
632,496.9271560143773
700,501.517069828139
712,505.97829615925144
615,510.31018264148526
665,514.5122480807022
562,518.5841801646288
606,522.5258329297967
602,526.3372239910092
587,530.0185315390252
697,533.5700911121985
702,536.9923921490042
604,540.286074327096
768,543.4519236968458
626,546.490868616217
586,549.4039754947883
721,552.1924443547571
629,554.8576042171069
554,557.4009083216697
636,559.823929189566
556,562.1283535372011
530,564.3159770508149
476,566.3886990312576
569,568.3485169185044
563,570.1975207054437
475,571.9378872513912
482,573.5718745049189
505,575.1018156465378
540,576.5301131613833
576,577.8592328522311
416,579.0916978037038
475,580.2300823075846
494,581.2770057602605
419,582.235126542724
390,583.1071358937617
494,583.8957517864322
417,584.6037128192224
389,585.2337721313298
489,585.7886913531383
395,586.271234601895
505,586.6841625326575
455,587.0302264548042
379,587.3121625237818
389,587.5326860177815
452,587.6944857090914
388,587.8002183393116
430,587.8525032076031
435,587.8539168808724
412,587.8069880345352
392,587.7141924324294
527,587.577948053553
534,587.4006103742563
583,587.1844678125924
600,586.9317373426893
419,586.6445602858294
501,586.3249982846987
378,585.975029467503
518,585.5965448071585
406,585.1913446819035
373,584.7611356417549
496,584.3075273860652
495,583.8320299565139
428,583.3360511491609
493,582.8208941498674
423,582.2877553956087
381,581.7377226648618
466,581.171773399336
491,580.590773259111
520,579.9954749126043
502,579.3865170625604
531,578.7644237088455
409,578.1296036483993
516,577.4823502118986
484,576.8228412370818
499,576.1511392775365
393,575.4671920454805
422,574.7708330871217
425,574.0617826881996
469,573.339649007153
518,572.6039294331266
431,571.8540121653789
470,571.0891780104272
444,570.3086023929271
394,569.5113575757384
372,568.6964150844225
446,567.862648331344
457,567.0088354334025
478,566.133662218155
521,565.2357254120213
458,564.3135360041637
519,563.365522779495
552,562.3900360139312
570,561.3853513247004
541,560.3496736681192
594,559.2811414775384
546,558.1778309333246
462,557.0377603568639
589,555.8588947206041
594,554.6391502652963
589,553.3763992163018
486,552.0684745900048
585,550.7131750816739
547,549.3082700256903
467,547.851504419204
666,546.3406040003314
648,544.7732803713884
655,543.1472361581757
534,541.4601701962656
544,539.7097827347501
573,537.8937806484339
573,536.0098826493704
582,534.0558244883729
523,532.0293641376799
533,529.9282869454352
537,527.7504107534452
657,525.4935909691286
689,523.1557255829115
636,520.7347601228482
650,518.2286925374057
662,515.6355779990284
471,512.9535336193727
510,510.18074306916014
584,507.31546109447766
583,504.35601792209854
490,501.30082354667366
415,498.1483718924595
540,494.89724484335795
561,491.5461161338801
419,488.09375509553547
365,484.53903025231875
562,480.8809127594394
427,477.1184796800826
429,473.25091709503056
392,469.27752304020066
433,465.1977102677989
382,461.01100882660944
485,456.71706845787276
405,452.31566080291043
318,447.8066814194593
315,443.1901516038987
322,438.4662200165069
322,433.63516410803084
419,428.6973913452931
292,423.6534402345005
251,418.50398114115956
267,413.24981690563357
261,407.8918832537686
214,402.4312490028084
351,396.86911606247816
318,391.2068192316664
223,385.445825792037
338,379.58773489918065
344,373.634276773343
323,367.587311691065
235,361.4488287804321
328,355.2209446217772
208,348.9059016570618
308,342.5060664108214
311,336.0239275259124
196,329.46209361786157
218,322.8232909515623
207,316.11036094439464
287,309.32625750058605
299,302.4740441808251
192,295.55689121251385
281,288.57807234553854
336,281.5409615590004
231,274.4490296242236
197,267.305840529963
164,260.1150477756373
169,252.8803905386743
245,245.6056897219795
262,238.29484388840558
260,230.95182508810012
266,223.58067458592132
151,216.18549849519366
175,208.77046332508792
166,201.33979144825616
167,193.89775649572334
246,186.44867868636925
135,178.99692009774606
117,171.546879885796
229,164.10298946030218
115,156.6697076234608
203,149.2515156787232
97,141.8529125171167
90,134.47840968829473
184,127.13252646315095
197,119.81978489560242
92,112.54470489004848
80,105.31179928193501
162,98.12556893795181
79,90.9904978829918
73,83.91104846034762
77,76.89165653191446
65,69.93672672483888
152,63.05062773089503
153,56.23768766512512
