real,pre
77.1,76.223045
70.9,70.5322
76.6,77.20472
73.3,71.01563
74.9,72.166916
70.8,64.67435
77.2,72.369095
72.2,71.45565
71.7,71.55186
76.3,78.78972
78.1,78.03047
77.5,76.83706
71.5,71.286766
78.9,76.5707
78.9,75.27527
78.4,77.3317
77.3,76.04697
70.8,68.56508
73.4,73.20678
75.5,75.48793
73.5,71.676636
69.6,68.59445
68.8,70.09663
63.8,66.493095
66.3,64.4763
70.2,69.09052
65.6,65.91483
67.1,67.25861
60.6,61.47783
68.7,68.94077
65.8,65.47927
67.2,68.51201
69.5,68.452805
66.2,62.839504
62.6,62.636154
66.9,68.03728
71.1,68.46422
70.0,67.872536
69.0,67.17532
66.2,68.316536
65.3,62.655346
66.4,65.0293
70.3,70.433464
68.0,67.54897
69.3,69.07048
70.4,68.79548
71.3,69.45576
71.9,71.06685
65.5,66.1551
70.5,69.62578
66.7,66.258965
67.6,67.75432
65.9,66.69957
68.4,67.267944
67.0,67.95331
72.1,71.306755
67.9,67.198975
71.5,71.62323
74.5,72.157715
69.0,68.61646
74.5,72.75365
69.5,69.151665
74.3,72.22753
70.7,69.59771
69.5,69.17111
74.8,73.01519
72.5,72.93953
73.6,72.84814
68.1,67.891106
68.8,67.91136
72.8,71.820915
69.6,68.63782
73.1,72.4344
74.6,72.6624
73.8,72.53911
70.6,70.328285
67.9,68.106346
73.5,71.18988
63.3,63.19496
64.9,63.524876
60.6,59.518665
63.8,59.695454
51.2,58.259483
49.8,55.84947
67.5,65.79168
65.5,63.701996
60.7,61.657093
63.1,62.465126
62.1,62.411617
65.1,60.616886
62.5,59.287846
61.8,58.018627
68.7,64.4244
68.5,67.00012
64.5,63.143932
68.7,69.098595
64.6,62.302353
65.2,63.47023
66.7,61.51946
66.3,62.79457
71.5,68.22131
67.0,65.075264
65.8,64.20518
65.9,65.52462
52.9,56.246456
64.4,63.872746
70.8,70.36736
73.7,71.613205
67.5,67.09199
72.8,71.52564
68.3,67.09467
69.6,67.70387
70.6,68.96991
74.8,72.82464
76.3,74.46445
71.1,69.33247
70.9,67.46832
70.2,65.592514
77.9,74.94028
77.1,75.29046
72.2,71.70654
77.6,75.55894
77.1,74.484985
73.0,71.357376
74.1,72.54399
77.0,74.55403
72.4,71.43635
73.9,71.61758
77.3,73.938225
73.2,71.42524
77.1,75.31901
76.7,72.92245
69.7,65.2575
69.8,67.16845
77.4,73.92388
71.9,68.84823
77.5,73.63766
76.4,74.441284
76.5,73.22205
67.6,66.07554
73.2,70.246704
72.7,67.63642
62.2,63.22218
55.9,64.178986
65.2,61.46232
71.6,67.87849
65.4,65.950134
72.4,69.95244
66.8,65.27949
65.1,64.28294
68.4,65.25339
69.5,64.65195
65.5,63.878784
69.5,66.66362
66.5,64.447075
68.6,66.3852
74.5,71.952095
72.5,70.60158
73.6,70.56691
73.1,70.19665
71.7,68.83378
67.7,65.43447
72.6,70.91607
74.8,71.05369
73.8,69.50417
67.4,64.77006
67.3,64.702515
68.3,64.582664
72.6,69.36303
70.7,68.62867
64.4,63.130165
71.3,65.82018
65.0,63.114616
68.5,65.25233
68.8,65.25274
64.8,63.167084
65.6,62.754322
64.7,62.392273
72.4,69.365746
63.2,62.236145
69.2,66.11518
69.3,67.60743
66.0,63.91322
63.4,62.04366
72.0,68.56751
74.3,71.960785
69.6,67.84209
72.4,70.08181
74.3,71.54342
73.2,71.43888
68.8,64.57869
74.9,72.47126
76.6,73.510376
70.6,67.76741
72.6,70.432686
74.2,70.407486
72.3,69.924385
68.3,64.56784
66.7,64.0285
60.9,62.88048
61.3,61.62628
60.4,58.09929
67.0,62.45472
64.7,66.96921
61.9,63.613552
66.7,65.74605
64.5,61.30279
52.7,58.571213
49.3,52.592525
47.5,52.560528
32.4,47.842644
35.5,49.39692
50.8,57.99598
51.3,63.25911
54.5,53.131718
64.5,61.02374
68.9,65.71035
74.0,73.27821
67.4,67.637085
68.8,67.28366
74.7,72.35957
72.4,70.431854
70.5,69.657585
71.4,69.2345
71.7,69.57024
71.7,70.17721
76.4,75.01849
77.0,74.28128
71.4,69.281654
72.1,70.50467
71.9,70.43631
72.2,70.38949
77.2,75.3901
72.2,70.682686
71.3,69.798706
73.1,71.127556
72.4,71.021355
72.4,70.95677
77.9,76.69938
77.8,76.925735
73.0,71.63004
78.9,77.26617
77.5,75.968445
77.5,75.67361
71.9,70.26521
78.3,76.6414
73.0,71.835976
77.4,76.725525
77.3,75.472946
72.5,70.933655
74.0,72.58685
73.5,71.99271
79.1,76.8888
77.9,75.73495
72.8,71.0508
78.5,75.73082
76.9,75.14111
72.0,71.027176
73.2,71.87503
72.9,71.37594
73.6,72.1368
79.3,76.920296
78.2,77.0182
78.7,77.4198
78.5,77.47411
73.6,71.49522
72.5,71.65439
72.7,71.268555
72.0,71.007774
78.0,76.240585
72.5,72.41113
72.6,71.36798
78.3,77.59436
73.7,72.76996
77.6,76.150826
72.3,71.601654
74.1,72.82422
77.6,76.871895
77.8,77.15498
72.4,71.34236
72.9,71.319725
78.3,76.42902
71.4,70.85553
72.1,71.92021
71.7,71.34092
70.6,70.36284
76.2,76.25684
77.2,76.14311
