real,pre
48,50.36930092840036
57,50.36930092840036
61,50.36930092840036
45,50.36930092840036
50,50.36930092840036
28,50.36930092840036
62,50.36930092840036
50,50.36930092840036
40,39.77379989454634
46,39.77379989454634
35,36.22027201840643
26,28.789257722445477
29,28.789257722445477
43,35.774060542689455
40,35.774060542689455
20,22.134051242890827
24,26.26599094091733
29,26.977823447311078
29,26.977823447311078
35,31.969668691736207
27,31.583149462198516
29,29.757567636072864
27,30.052300638445843
24,24.300490693656855
30,24.300490693656855
28,24.300490693656855
26,22.718071145527805
13,21.82841665731791
34,29.804110737003747
34,29.804110737003747
15,20.848402522236864
19,20.936076017243792
29,26.31163019918473
23,26.31163019918473
27,26.31163019918473
22,26.575166473062335
25,26.622600526515594
33,29.788614073210187
29,32.03139003415327
27,27.470298323052955
27,27.470298323052955
36,36.93441190495168
46,41.353244202540246
37,39.03395759833137
47,39.46771537554749
35,42.78522594862131
46,43.19456970068226
70,65.53724981244322
67,64.84596958160158
71,75.40416823058625
50,49.749393404819514
63,69.85329631932065
87,80.55883028462671
93,96.89426856516971
101,105.76638835326507
104,105.76638835326507
136,130.1396083581706
133,125.0088447176274
103,115.63551758200552
131,132.68872329988093
139,140.18587253456357
145,145.07589542737972
141,141.90625576849027
162,161.80633525158714
206,227.62173155230064
242,241.08856580612954
242,247.82099754796633
295,315.8934116784518
364,339.4524539224801
368,379.24638181516804
409,384.13138610356486
346,363.1789804777512
343,366.25429002983486
367,378.80451978793917
393,400.33755967661534
473,449.61011104768414
444,444.22443071777485
427,449.81260240524733
528,519.0261123974917
594,612.2724867583423
629,631.4742714379253
634,654.2642884069697
667,645.7524088598324
593,611.0129476787699
618,614.4748667610028
520,538.4699953241592
585,573.884280477558
612,612.2667658890674
621,636.3915915063172
636,642.2617383069634
671,686.7641641791035
699,687.3114987868366
692,707.3980500855598
686,703.1776832258192
689,672.1067440406539
632,632.3514800364765
626,631.1277532989136
673,650.3912445515654
638,648.7818201469105
678,678.8327037245074
646,657.3437163467403
652,672.3151884371084
693,683.6960228688051
712,693.2070898481405
691,677.114267887552
609,617.379925791799
689,658.2496839844307
608,625.0056359298455
654,634.9586810584623
589,609.3912614316125
637,623.6710204279348
587,577.1256182949697
578,549.4729170423551
524,547.9807231818896
538,536.0451006515539
543,537.011022448816
559,552.0327075852363
530,582.983613973596
538,548.0479521813256
506,504.7649879510696
463,462.68974630292206
406,415.1533813996702
464,464.5559619547398
478,463.49914911105645
444,461.5707369308317
465,451.08863271829654
459,459.42996351128096
429,436.28203220998944
453,464.26707952151054
444,447.95530441768494
443,445.06104891580753
449,448.3943781817212
436,438.6627363426772
452,450.0624322829448
437,434.253884409995
420,434.0876383801796
382,385.43497548504143
398,375.86871112150067
384,397.21470401952666
468,454.12257817557935
492,488.6110177645847
523,527.3972186160955
541,536.7729634230282
554,535.9376937354099
462,474.20296365360844
444,457.4699741033669
446,462.66676971367656
456,456.8426378366613
465,461.22600237484346
447,453.94204487489543
