real,pre
48,60.337067
57,53.753754
61,54.334568
45,50.99875
50,50.91131
28,43.58756
62,45.946304
50,48.336388
40,37.8196
46,43.592304
35,35.499454
26,26.840078
29,28.009756
43,37.744965
40,35.40134
20,19.622501
24,23.719631
29,27.480545
29,25.970722
35,30.903715
27,28.995388
29,27.835077
27,30.220215
24,25.225315
30,24.60959
28,24.906832
26,20.939804
13,18.80208
34,31.356241
34,27.73616
15,18.656866
19,20.59322
29,22.555954
23,25.356033
27,24.515898
22,25.470314
25,24.94105
33,27.43942
29,29.136806
27,24.886864
27,25.057344
36,35.206894
46,45.073017
37,38.40564
47,40.14004
35,41.76499
46,38.685005
70,60.05155
67,72.54395
71,69.50521
50,47.38913
63,61.120228
87,90.02823
93,92.1947
101,101.83724
104,96.30561
136,139.36761
133,128.98619
103,105.08637
131,133.10085
139,133.50237
145,143.49817
141,134.79282
162,152.31741
206,219.42426
242,240.29509
242,236.4566
295,312.13477
364,338.62396
368,368.86002
409,387.06265
346,348.54578
343,364.4246
367,365.83624
393,389.37857
473,432.16245
444,432.9177
427,441.52765
528,509.6798
594,598.1902
629,611.6347
634,634.1123
667,609.47516
593,597.23676
618,609.937
520,509.98837
585,570.87317
612,597.16876
621,603.4967
636,621.0448
671,672.1837
699,683.34344
692,683.7969
686,693.22614
689,686.09186
632,628.32446
626,615.34344
673,649.2535
638,640.6261
678,674.3036
646,640.73334
652,675.065
693,689.06165
712,694.4684
691,668.298
609,653.1064
689,666.75806
608,618.0498
654,620.1124
589,600.2393
637,610.75555
587,573.34174
578,551.24304
524,540.0553
538,523.35046
543,551.1354
559,545.40485
530,586.5704
538,525.0932
506,524.8219
463,473.31567
406,414.5924
464,458.21298
478,479.26855
444,452.27686
465,450.26654
459,468.45752
429,430.6574
453,462.56332
444,447.73907
443,445.25174
449,436.82156
436,427.97888
452,456.83807
437,404.99622
420,445.78522
382,391.96362
398,393.49854
384,402.65637
468,448.25638
492,491.9173
523,521.4725
541,525.7466
554,537.6414
462,487.93326
444,465.4484
446,455.6851
456,461.87997
465,466.64993
447,438.79364
462,467.59555
478,484.52896
466,475.41217
456,450.76712
485,470.38315
436,449.9336
418,410.74237
484,483.0953
481,481.45743
457,468.30557
474,501.47577
492,488.58765
471,464.90863
437,456.63016
488,475.24234
463,450.0659
479,489.281
484,495.60065
407,440.10873
506,496.48068
534,506.65775
460,462.31137
508,504.163
437,449.6161
440,449.39664
500,503.4693
504,519.7256
511,532.7114
481,464.24725
469,511.84607
498,494.29034
484,517.8661
538,540.346
587,579.34033
567,575.4244
517,536.62146
509,524.87134
570,577.088
547,562.18835
557,555.4988
538,552.4096
564,565.4541
543,538.22076
541,570.47565
627,632.80597
621,632.0234
625,629.78235
582,597.5499
639,580.8046
621,537.14557
586,619.93085
678,598.66144
579,596.6502
617,629.1967
587,631.66437
624,602.6888
658,630.62274
624,627.94366
637,597.627
589,571.75195
579,582.3017
570,557.7013
488,529.4172
555,528.8011
513,521.0537
508,492.57834
460,479.62357
512,516.37494
456,477.3868
475,466.69736
520,538.9827
466,460.1599
450,454.04407
448,462.11304
486,479.24716
422,417.66653
431,421.95868
353,359.60837
373,388.75586
350,353.63016
352,353.20587
357,371.6542
347,356.456
314,321.25864
278,283.67694
301,306.2475
277,287.95035
260,253.2809
280,273.7164
253,245.01825
251,246.42795
259,268.006
253,259.74622
263,265.4815
248,266.36166
252,261.7311
228,235.16402
223,224.83284
238,236.50352
227,234.8338
207,234.58708
240,230.77313
187,205.61472
231,232.73903
214,215.56273
224,236.95271
269,281.20874
248,257.171
221,206.36453
193,195.90161
186,182.0461
186,177.63579
180,184.8775
187,179.3836
172,167.06781
168,186.20622
192,198.20259
197,188.98283
192,210.40771
157,153.93073
153,148.05307
121,134.16336
138,143.21416
134,134.14099
107,117.68567
125,118.38502
76,94.84217
91,93.14624
106,107.42717
96,102.34048
90,90.098526
62,66.46525
86,79.721405
91,84.14133
79,87.17316
73,71.46784
67,63.808006
53,59.723705
