real,pre
72.4,76.20248
73.2,75.58608
73.2,77.27322
73.0,76.15662
73.0,77.28574
70.3,69.45073
63.8,71.91115
72.1,76.24796
72.4,76.36336
74.0,78.58328
75.1,77.83671
73.2,76.71811
72.2,76.09083
74.1,76.62039
71.4,75.18602
70.2,77.02289
70.5,76.031075
71.0,73.081825
69.8,73.17884
70.4,75.22876
67.8,71.769196
68.3,73.19138
70.9,74.881645
65.6,71.682655
66.5,69.41697
63.2,69.23622
66.0,70.64563
61.6,67.051025
61.8,66.11281
67.7,69.05866
59.5,65.42831
65.0,68.18419
64.2,68.17253
62.9,67.39187
62.6,67.43205
62.0,68.527
65.5,68.40886
64.1,67.81107
63.5,67.22744
59.8,68.33234
62.8,67.22555
66.0,69.25843
66.6,70.56923
68.3,72.18146
66.1,69.300835
67.1,68.732086
63.7,69.205536
68.4,71.31631
68.2,70.18258
66.2,70.01851
67.0,70.54343
68.7,72.29513
67.9,71.75328
69.0,72.10213
67.3,72.19614
68.0,71.69089
68.9,71.53308
67.5,71.812874
69.1,72.814926
68.0,72.569016
69.8,73.11444
70.1,73.234566
69.1,72.99067
70.7,74.128685
69.8,73.874176
70.5,73.35952
68.4,72.82039
69.4,73.122185
68.3,72.50089
68.7,72.47435
68.9,72.73026
69.6,72.799644
69.9,72.46398
68.8,72.748184
69.0,72.47623
66.8,70.6576
68.7,72.152306
68.0,71.40032
64.8,68.15444
63.7,63.639572
62.3,64.397385
62.3,59.932335
63.7,58.617332
65.1,60.550205
64.1,66.002716
66.6,68.976555
64.2,66.82481
65.6,67.934074
64.4,67.211205
65.3,60.418613
64.3,59.30884
64.4,61.90745
66.2,64.693016
67.2,66.89018
66.6,67.51947
69.0,69.23836
67.9,67.1925
67.5,68.28026
69.6,66.7994
68.7,67.70937
68.9,68.076195
68.9,64.91369
68.9,68.869774
69.1,65.42297
69.5,60.97759
69.5,69.05435
69.7,70.39985
71.3,71.94729
69.8,71.442345
70.7,71.96275
70.9,71.898476
71.2,72.6259
72.2,73.63763
71.6,72.97723
71.8,74.633736
72.2,74.17986
69.9,72.59105
71.9,70.315384
72.8,74.928154
74.5,75.49937
72.6,75.39328
72.9,75.7283
72.4,74.95794
73.9,75.97113
73.7,76.46078
71.4,75.50987
74.0,75.812706
74.5,75.794624
72.5,74.875725
73.3,75.74643
72.9,75.13401
71.4,72.330246
69.4,70.177414
70.3,72.20524
72.8,74.30637
71.6,73.32988
72.1,73.844536
73.1,74.101585
73.0,73.60858
70.6,70.31988
69.4,70.73071
67.1,67.5095
63.4,63.093124
64.6,64.173294
66.0,65.944176
68.5,69.00817
67.2,70.43556
67.8,70.54456
68.2,70.31522
66.5,68.41145
66.2,65.605385
64.5,65.45347
66.6,67.19719
64.6,67.30557
67.3,69.06906
70.2,71.00157
70.2,72.025635
68.3,70.625404
68.4,70.48645
68.1,70.09344
67.2,69.40749
68.1,69.77
68.9,70.65552
68.7,70.638374
68.0,69.79836
67.0,69.27578
69.0,69.782394
67.5,69.27688
68.4,69.494514
67.2,68.5629
65.7,67.396736
66.8,66.60364
66.2,67.56924
67.7,69.98131
67.3,69.87167
65.1,67.83153
66.8,67.87049
67.2,67.351654
67.3,69.59339
65.2,66.853134
65.5,66.53659
67.3,67.39298
67.8,64.26666
66.6,67.11377
69.0,68.50596
70.2,72.35082
71.1,71.95519
69.2,70.35323
71.1,71.39289
70.7,71.36638
70.2,69.51018
71.4,72.52337
72.5,73.881065
70.2,72.46812
70.3,70.4715
70.4,70.37743
69.9,69.87859
70.7,69.42807
67.4,68.97986
66.2,67.46587
67.8,66.8584
67.9,62.95777
70.9,67.09201
70.8,72.176254
70.7,68.39179
70.0,65.84831
70.7,61.60687
70.3,58.409008
70.2,52.39859
71.5,52.01515
70.0,52.927982
68.8,54.55914
70.5,57.851223
69.5,63.070442
69.8,57.8694
69.5,65.705826
70.9,65.62409
71.5,73.110725
71.3,72.44819
70.4,71.973465
71.5,72.499115
72.8,75.382965
72.4,74.629745
72.4,74.15433
72.6,74.579056
71.7,74.839035
72.3,75.00035
72.6,74.391975
73.0,74.12514
73.1,75.4169
72.6,75.44323
72.5,75.205864
72.0,75.40641
72.6,75.50077
72.4,74.67697
73.1,76.08557
73.4,76.06017
73.2,75.7474
73.2,76.558014
73.6,76.90071
72.1,76.52571
74.5,77.37365
73.1,75.92488
72.1,75.65677
73.5,74.9832
74.3,76.70598
74.1,76.6741
74.0,76.513084
73.3,75.34096
72.8,75.77022
75.1,77.69056
73.1,76.87592
73.9,76.91972
72.8,75.672295
73.6,76.059746
73.2,75.83851
73.0,75.1717
72.1,76.00113
73.7,76.70573
73.6,76.06288
73.7,77.0727
74.7,76.68725
73.7,76.864136
73.2,77.25385
73.6,77.574455
73.9,76.54007
73.7,76.540565
72.9,76.29052
72.4,75.899574
72.7,76.23119
73.3,77.37089
72.7,76.17524
73.7,77.66899
74.7,77.6115
72.0,75.99297
72.7,76.37902
74.9,77.751595
73.4,76.651245
73.8,77.144714
73.1,76.28388
73.0,76.192474
73.6,76.299675
72.7,75.735
74.6,76.772896
73.0,76.28166
72.9,75.23245
71.6,76.21175
72.4,75.980385
