real,pre
49,61.98
49,56.755
56,55.98
50,55.01
33,49.995
40,47.755
43,48.81
42,49.155
37,42.125
41,45.775
36,40.95
25,31.62
29,29.735
37,38.495
30,37.42
12,21.82
21,23.395
26,31.13
24,27.8
30,30.805
23,29.25
26,28.81
27,33.365
22,27.69
24,27.325
26,27.57
21,23.38
12,17.73
30,34.95
29,31.54
15,20.06
21,22.705
23,23.19
22,27.435
22,25.225
23,27.725
23,26.67
23,26.885
25,30.585
23,26.235
21,26.195
33,34.25
41,47.1
38,41.805
35,40.605
37,42.895
33,39.13
55,56.41
55,74.14
65,67.685
47,54.055
51,57.93
85,86.345
72,90.715
101,103.525
78,96.53
123,135.23
125,132.36
86,108.245
113,128.435
109,131.4
131,139.11
124,135.75
133,145.495
182,208.45
211,232.96
209,231.175
260,303.965
320,334.0
326,363.265
347,378.96
305,346.53
353,358.28
305,358.455
342,383.005
393,420.42
392,429.345
363,435.775
493,502.95
528,580.36
553,591.435
590,598.345
558,583.115
565,593.075
531,591.155
446,518.52
515,559.675
559,582.665
533,586.15
572,614.995
593,653.095
632,674.885
600,662.255
612,680.375
615,693.705
565,631.065
562,615.275
606,637.74
602,645.38
587,664.695
597,645.43
602,673.71
604,694.47
668,690.89
626,665.205
586,669.25
621,673.685
529,621.335
554,606.87
536,598.99
556,593.465
530,579.35
476,555.965
469,538.78
463,527.525
475,553.49
482,551.88
505,582.135
440,531.5
476,532.0
416,481.67
375,430.815
394,450.67
419,485.19
390,455.915
394,455.47
417,468.32
389,443.21
389,453.5
395,452.275
405,452.975
355,436.18
379,428.21
389,447.78
352,415.375
388,441.525
330,410.09
335,413.81
312,410.255
392,442.36
427,487.4
434,516.39
483,522.64
500,534.36
419,498.625
401,477.2
378,461.585
418,469.38
406,468.28
373,445.115
396,466.73
395,489.475
428,481.665
393,474.265
423,478.13
381,463.415
366,428.125
391,475.97
420,471.84
402,477.78
431,502.05
409,487.535
416,479.84
384,469.81
399,473.125
393,459.155
422,498.455
425,498.025
369,457.845
418,489.175
431,492.36
370,466.345
444,496.5
394,459.36
372,450.01
446,507.94
457,529.325
478,553.765
421,485.965
458,519.69
419,506.535
452,528.135
470,546.865
541,585.14
494,593.21
446,570.24
462,546.455
489,575.37
494,584.28
489,562.23
486,551.585
485,570.68
447,557.49
467,575.635
566,625.91
548,632.93
555,629.715
534,606.72
544,587.46
573,559.335
573,605.835
582,602.245
523,614.955
533,624.66
537,614.545
557,585.225
589,607.21
536,621.94
550,596.875
562,576.67
471,571.41
510,547.325
484,548.955
483,527.69
490,523.135
415,494.99
440,502.4
461,520.445
419,500.6
365,469.65
462,531.57
427,479.7
429,462.93
392,465.075
433,481.515
382,425.05
385,417.315
305,373.265
318,394.385
315,362.095
322,356.15
322,367.78
319,360.755
292,330.875
251,293.265
267,306.035
261,305.405
214,259.76
251,275.61
218,253.265
223,242.92
238,270.09
244,271.67
223,271.53
235,276.025
228,268.43
208,241.44
208,234.405
211,236.745
196,238.835
218,244.85
207,238.4
187,216.93
199,225.695
192,221.08
181,246.46
236,278.02
231,260.99
197,224.73
164,197.32
169,188.25
145,177.69
162,183.96
160,181.585
166,171.39
151,186.54
175,197.585
166,190.09
167,210.05
146,161.7
135,151.325
117,141.84
129,144.29
115,138.475
103,120.025
97,118.855
90,106.605
84,99.77
97,111.255
92,106.1
80,95.75
62,75.34
79,80.57
73,84.775
77,87.935
65,75.87
52,64.87
53,63.61
