real,pre
72.1,72.24650000000011
70.9,71.90449999999994
71.6,73.14200000000001
73.3,73.29950000000017
74.9,73.36150000000025
70.8,72.49800000000023
72.2,71.19950000000006
72.2,71.93199999999986
71.7,72.53000000000011
71.3,73.05700000000023
73.1,73.33800000000025
72.5,72.48650000000022
71.5,71.86400000000008
73.9,72.76100000000015
73.9,71.29500000000002
73.4,71.2384999999998
72.3,72.13299999999977
70.8,69.80099999999976
68.4,69.58999999999978
70.5,71.19749999999982
68.5,69.00600000000013
69.6,69.7885000000002
68.8,70.38899999999991
63.8,67.3879999999998
66.3,65.6789999999998
65.2,66.03299999999979
65.6,66.10749999999979
62.1,65.1029999999998
60.6,63.95699999999985
63.7,64.78100000000008
60.8,63.76899999999991
62.2,64.45849999999983
64.5,65.26850000000009
66.2,65.06000000000019
62.6,65.7985000000002
61.9,66.0865000000002
66.1,65.52050000000017
65.0,65.67350000000016
64.0,64.86399999999989
61.2,64.89799999999993
65.3,65.24449999999986
66.4,65.72899999999979
65.3,65.76649999999984
68.0,67.91749999999993
64.3,66.09049999999985
65.4,65.7710000000001
66.3,66.94699999999989
66.9,67.49550000000008
65.5,66.97600000000018
65.5,66.8150000000002
66.7,67.18050000000005
67.6,68.74599999999988
65.9,68.22149999999992
68.4,68.69849999999988
67.0,68.40450000000007
67.1,67.91799999999985
67.9,67.57649999999991
66.5,67.55099999999982
69.5,68.45449999999978
69.0,68.64749999999981
69.5,69.61550000000008
69.5,69.99600000000017
69.3,69.34149999999991
70.7,70.23599999999979
69.5,69.7114999999998
69.8,69.72299999999994
67.5,68.92500000000001
68.6,69.04550000000015
68.1,68.64799999999993
68.8,68.51999999999995
67.8,68.62250000000003
69.6,69.22800000000015
68.1,68.90250000000017
69.6,69.13249999999988
68.8,68.98350000000009
65.6,67.55099999999989
67.9,68.00449999999995
68.5,67.773
63.3,64.5465
59.9,58.76550000000001
60.6,58.4750000000001
58.8,53.43950000000005
46.2,48.49399999999995
49.8,49.99050000000008
62.5,57.750000000000156
65.5,63.57549999999991
60.7,63.05950000000007
63.1,63.50750000000003
62.1,62.38999999999999
60.1,54.62999999999988
57.5,51.99899999999996
61.8,54.29449999999988
63.7,57.22549999999989
63.5,61.27050000000005
64.5,63.37450000000003
63.7,63.787000000000134
64.6,62.958499999999894
65.2,63.26949999999985
66.7,60.29600000000009
66.3,62.01450000000002
66.5,62.19299999999986
62.0,58.028999999999805
65.8,61.380999999999815
60.9,57.94599999999982
52.9,52.58749999999996
64.4,59.155000000000115
65.8,64.43200000000019
68.7,66.80649999999996
67.5,67.7660000000001
67.8,67.65100000000004
68.3,67.34949999999985
69.6,67.14299999999984
70.6,68.6105000000001
69.8,68.8020000000002
71.3,70.09900000000025
71.1,69.86050000000019
70.9,68.48549999999986
70.2,64.65549999999979
72.9,68.66999999999993
72.1,70.47699999999982
72.2,71.13249999999977
72.6,71.72699999999985
72.1,70.31950000000008
73.0,71.26549999999986
74.1,72.97900000000007
72.0,71.76699999999987
72.4,71.07500000000006
73.9,71.44999999999986
72.3,70.81299999999982
73.2,71.3649999999998
72.1,70.9710000000001
71.7,70.75400000000002
69.7,69.57949999999984
69.8,68.89149999999982
72.4,69.80000000000003
71.9,69.64649999999986
72.5,69.40649999999978
71.4,69.3149999999998
71.5,68.71750000000006
67.6,65.346
68.2,65.06349999999985
67.7,63.05699999999983
57.2,58.22999999999998
50.9,56.58199999999989
65.2,58.280999999999956
66.6,62.974499999999914
65.4,64.57050000000004
67.4,65.1599999999999
66.8,64.90899999999995
65.1,63.636
63.4,60.655000000000015
64.5,60.71150000000012
65.5,63.26750000000015
64.5,63.89149999999988
66.5,64.7289999999998
68.6,65.78499999999991
69.5,68.1775
67.5,67.12050000000009
68.6,67.07599999999988
68.1,66.57149999999983
66.7,65.85850000000008
67.7,65.79149999999997
67.6,65.82950000000011
69.8,66.59300000000022
68.8,66.00300000000021
67.4,65.77250000000018
67.3,65.86000000000006
68.3,65.26950000000001
67.6,65.24549999999998
65.7,64.44099999999986
64.4,62.89200000000001
66.3,60.32949999999986
65.0,61.457499999999875
68.5,65.06050000000012
68.8,66.7670000000002
64.8,64.6674999999999
65.6,63.518500000000046
64.7,60.97049999999987
67.4,64.13799999999986
63.2,62.65500000000009
64.2,61.672
64.3,62.27199999999984
61.0,58.21299999999987
63.4,60.672499999999836
67.0,61.94699999999995
69.3,66.26799999999986
69.6,67.42949999999985
67.4,66.20400000000011
69.3,66.28199999999993
68.2,66.90950000000014
68.8,63.60750000000017
69.9,66.6164999999999
71.6,69.2889999999998
70.6,68.92349999999996
67.6,66.40050000000014
69.2,65.71300000000018
67.3,64.8309999999999
68.3,64.48849999999997
66.7,63.9180000000001
60.9,61.96300000000004
61.3,61.07100000000003
60.4,53.55250000000011
67.0,55.91299999999997
64.7,62.15299999999999
61.9,59.479000000000106
61.7,50.97350000000013
