epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,
0, 2.873140e+03, 2.873140e+03, 0.000000e+00,6.303093e+06,2.211457e+03,2.016377e+02,-6.158568e-03,6.900597e+06,2.355328e+03,1.880887e+02,3.692779e-04,-9.999993e-03,-9.999687e-03,-9.999993e-03,4.180330e+01,3.438477e+00,6.102943e+00,-1.334926e-03,4.177933e+01,3.974145e+00,6.521169e+00,1.874582e-02,9.999999e-03,-9.999999e-03,9.999999e-03,
10, 2.785074e+03, 2.785074e+03, 0.000000e+00,6.305412e+06,2.207395e+03,2.030491e+02,-6.528689e-03,6.867002e+06,2.346335e+03,1.886320e+02,5.235873e-03,1.516899e-03,-8.693276e-02,-1.741694e-03,4.245583e+01,3.308387e+00,5.966844e+00,-1.696528e-02,3.967640e+01,3.843873e+00,6.338803e+00,6.813648e-02,8.955241e-02,-9.131670e-02,9.017408e-02,
20, 2.785593e+03, 2.785593e+03, 0.000000e+00,6.306050e+06,2.207104e+03,2.030604e+02,-6.630601e-03,6.867120e+06,2.346164e+03,1.886206e+02,5.218891e-03,2.349721e-03,-7.328165e-02,-7.260604e-02,4.244680e+01,3.286466e+00,5.938993e+00,-1.674898e-02,3.964383e+01,3.840667e+00,6.334391e+00,6.890141e-02,6.035238e-02,-1.204429e-01,1.176306e-01,
30, 2.785150e+03, 2.785150e+03, 0.000000e+00,6.305266e+06,2.207132e+03,2.029913e+02,-6.505423e-03,6.867106e+06,2.346262e+03,1.885893e+02,5.220919e-03,3.217624e-03,-6.177118e-02,-1.458005e-01,4.247226e+01,3.276517e+00,5.927079e+00,-1.735884e-02,3.962436e+01,3.839049e+00,6.332045e+00,6.935886e-02,7.450023e-02,-1.206866e-01,1.155901e-01,
40, 2.784242e+03, 2.784242e+03, 0.000000e+00,6.306306e+06,2.207373e+03,2.030472e+02,-6.671334e-03,6.866105e+06,2.346062e+03,1.886284e+02,5.365877e-03,3.871404e-03,-6.933370e-02,-2.130313e-01,4.236440e+01,3.301139e+00,5.955445e+00,-1.477533e-02,3.963664e+01,3.840292e+00,6.333736e+00,6.907028e-02,6.894553e-02,-1.126016e-01,1.021873e-01,
50, 2.782958e+03, 2.782958e+03, 0.000000e+00,6.305169e+06,2.207408e+03,2.030074e+02,-6.489851e-03,6.865554e+06,2.346122e+03,1.886141e+02,5.445626e-03,4.275798e-03,-6.837998e-02,-2.907428e-01,4.220537e+01,3.316991e+00,5.970954e+00,-1.096605e-02,3.964033e+01,3.838939e+00,6.331956e+00,6.898379e-02,7.125275e-02,-9.997412e-02,8.507426e-02,
60, 2.781834e+03, 2.781834e+03, 0.000000e+00,6.304397e+06,2.207688e+03,2.030243e+02,-6.366682e-03,6.863591e+06,2.345913e+03,1.886564e+02,5.729978e-03,4.824613e-03,-8.080015e-02,-3.633022e-01,4.205801e+01,3.337135e+00,5.992112e+00,-7.436156e-03,3.963024e+01,3.837742e+00,6.330149e+00,6.922057e-02,7.023562e-02,-8.639569e-02,6.893466e-02,
70, 2.779886e+03, 2.779886e+03, 0.000000e+00,6.296385e+06,2.207336e+03,2.029380e+02,-5.087665e-03,6.857255e+06,2.345615e+03,1.887416e+02,6.647892e-03,5.886553e-03,-1.040694e-01,-4.329888e-01,4.202870e+01,3.333196e+00,5.986745e+00,-6.734018e-03,3.960759e+01,3.835779e+00,6.327349e+00,6.975266e-02,7.210362e-02,-8.601287e-02,6.426738e-02,
80, 2.731421e+03, 2.731421e+03, 0.000000e+00,6.052646e+06,2.146352e+03,2.003792e+02,3.382019e-02,6.548587e+06,2.285900e+03,1.859136e+02,5.136198e-02,4.175511e-02,-2.061839e-01,-4.665305e-01,4.195221e+01,3.330750e+00,5.982426e+00,-4.901745e-03,3.955760e+01,3.831603e+00,6.321350e+00,7.092676e-02,7.188743e-02,-9.082977e-02,6.414393e-02,
90, 2.062555e+03, 2.062555e+03, 0.000000e+00,3.497086e+06,1.481625e+03,1.225970e+02,4.417626e-01,3.360609e+06,1.415830e+03,1.044724e+02,5.131772e-01,1.632641e-01,-3.518661e-01,-4.113850e-01,4.158889e+01,3.301606e+00,5.940333e+00,3.800923e-03,3.927415e+01,3.802915e+00,6.280574e+00,7.758409e-02,7.747399e-02,-9.885190e-02,6.682132e-02,
