epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,
0, 2.881915e+03, 2.881915e+03, 0.000000e+00,6.048730e+06,2.162003e+03,1.598839e+02,-1.632642e-03,6.487501e+06,2.262906e+03,1.889997e+02,3.242309e-03,9.999996e-03,-9.999995e-03,9.999975e-03,5.231197e+01,4.119994e+00,7.265008e+00,1.424331e-03,3.240255e+01,3.577023e+00,5.643249e+00,4.989031e-03,9.999996e-03,-9.999995e-03,9.999979e-03,
10, 2.824611e+03, 2.824611e+03, 0.000000e+00,6.002599e+06,2.158412e+03,1.608292e+02,6.006431e-03,6.434395e+06,2.250633e+03,1.890516e+02,1.140170e-02,9.633649e-03,-8.708963e-02,7.336475e-02,5.104579e+01,4.003195e+00,7.115311e+00,2.559437e-02,3.135620e+01,3.513824e+00,5.555819e+00,3.712014e-02,5.196288e-02,-9.237605e-02,8.978050e-02,
20, 2.820924e+03, 2.820924e+03, 0.000000e+00,6.005639e+06,2.158533e+03,1.609096e+02,5.503044e-03,6.433183e+06,2.250228e+03,1.890829e+02,1.158785e-02,1.236731e-02,-7.536464e-02,3.744762e-02,5.075043e+01,3.994747e+00,7.102929e+00,3.123238e-02,3.121148e+01,3.518073e+00,5.561803e+00,4.156428e-02,3.172847e-02,-1.323838e-01,1.212944e-01,
30, 2.816835e+03, 2.816835e+03, 0.000000e+00,6.012304e+06,2.158507e+03,1.609520e+02,4.399326e-03,6.434534e+06,2.249751e+03,1.890979e+02,1.138037e-02,1.228363e-02,-5.089174e-02,-1.932656e-02,5.085357e+01,4.006138e+00,7.119519e+00,2.926354e-02,3.103250e+01,3.511970e+00,5.550603e+00,4.706042e-02,5.077541e-02,-1.713962e-01,1.302564e-01,
40, 2.813352e+03, 2.813352e+03, 0.000000e+00,6.007471e+06,2.158410e+03,1.609795e+02,5.199589e-03,6.428798e+06,2.248589e+03,1.890521e+02,1.226156e-02,1.253239e-02,-6.547006e-02,-5.021991e-02,5.063745e+01,3.986194e+00,7.091626e+00,3.338900e-02,3.097609e+01,3.511042e+00,5.549635e+00,4.879252e-02,4.513703e-02,-1.862292e-01,1.133340e-01,
50, 2.798413e+03, 2.798413e+03, 0.000000e+00,5.997901e+06,2.160057e+03,1.604527e+02,6.784430e-03,6.399318e+06,2.245140e+03,1.884534e+02,1.679102e-02,1.640353e-02,-9.493711e-02,-7.273997e-02,5.013336e+01,3.925110e+00,7.007663e+00,4.301162e-02,3.069969e+01,3.489720e+00,5.519034e+00,5.728031e-02,5.372915e-02,-2.126387e-01,8.771154e-02,
60, 2.806005e+03, 2.806005e+03, 0.000000e+00,6.002438e+06,2.164990e+03,1.607401e+02,6.032976e-03,6.392529e+06,2.243778e+03,1.883568e+02,1.783406e-02,1.749924e-02,-1.643093e-01,-4.170192e-02,5.082890e+01,3.974472e+00,7.081638e+00,2.973438e-02,3.064299e+01,3.471786e+00,5.492942e+00,5.902139e-02,8.864006e-02,-3.245161e-01,1.314740e-01,
70, 2.620642e+03, 2.620642e+03, 0.000000e+00,6.007086e+06,2.167013e+03,1.607833e+02,5.263357e-03,6.390626e+06,2.244223e+03,1.883342e+02,1.812639e-02,1.789955e-02,-1.562800e-01,-8.273473e-02,4.473876e+01,3.605728e+00,6.485271e+00,1.459882e-01,2.610193e+01,3.071632e+00,4.888163e+00,1.984673e-01,1.530795e-01,-4.733896e-01,2.173478e-01,
80, 2.495126e+03, 2.495126e+03, 0.000000e+00,6.003141e+06,2.166049e+03,1.607823e+02,5.916658e-03,6.388351e+06,2.243816e+03,1.883468e+02,1.847595e-02,1.834873e-02,-1.262914e-01,-1.449813e-01,4.098099e+01,3.376962e+00,6.103793e+00,2.177199e-01,2.297153e+01,2.809851e+00,4.485808e+00,2.945951e-01,3.087114e-01,-6.211607e-01,2.326411e-01,
90, 2.484544e+03, 2.484544e+03, 0.000000e+00,6.000811e+06,2.165844e+03,1.607162e+02,6.302412e-03,6.387172e+06,2.243925e+03,1.883058e+02,1.865719e-02,1.822198e-02,-1.282504e-01,-1.813518e-01,4.206697e+01,3.368868e+00,6.129347e+00,1.969898e-01,2.275247e+01,2.767710e+00,4.429867e+00,3.013219e-01,3.692669e-01,-7.409343e-01,1.424138e-01,
