epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc,
0, 1.508181e+09, 2.866917e+03, 7.769915e+07,6.124492e+06,2.153948e+03,2.013759e+02,2.037737e-03,6.866096e+06,2.342250e+03,1.887994e+02,1.200075e-03,9.367380e-09,-1.999995e-02,7.193922e-09,2.887002e+01,3.302009e+00,5.181262e+00,-5.493055e-03,4.054959e+01,4.028431e+00,6.518622e+00,2.492149e-02,2.000000e-02,-2.000000e-02,1.999999e-02,0.99005,1,1,1.828,-1.337,0,-0.09,0,0,
10, 3.793512e+08, 2.796781e+03, 6.470664e+08,6.085449e+06,2.146245e+03,2.010042e+02,8.399678e-03,6.859255e+06,2.339699e+03,1.891618e+02,2.195243e-03,-4.063951e-03,-7.080523e-02,-3.903083e-02,2.941548e+01,3.175239e+00,5.042217e+00,-2.449050e-02,3.896732e+01,3.947447e+00,6.402669e+00,6.296969e-02,7.463498e-02,-1.105388e-01,1.058173e-01,0.910242,1,1,1.89424,-1.40324,0,-0.0592724,0,0,
20, 3.163440e+09, 2.799280e+03, 1.632948e+11,6.091795e+06,2.146835e+03,2.017996e+02,7.365689e-03,6.858370e+06,2.339541e+03,1.890474e+02,2.323979e-03,2.432991e-03,-4.118913e-02,-1.393096e-01,3.106352e+01,3.142225e+00,5.031882e+00,-8.188883e-02,3.896354e+01,3.950682e+00,6.406455e+00,6.306049e-02,4.624858e-02,-1.530673e-01,1.450788e-01,0.836211,1,1,1.96004,-1.46904,0,-0.0321312,0,0,
30, 6.136166e+11, 2.771749e+03, 3.824200e+11,6.095931e+06,2.148233e+03,2.012379e+02,6.691643e-03,6.859101e+06,2.340186e+03,1.890444e+02,2.217606e-03,-1.983208e-03,-1.825043e-02,-2.504039e-01,8.473780e+01,6.445024e+00,9.764233e+00,-1.951271e+00,3.750166e+01,3.807327e+00,6.201623e+00,9.821379e-02,9.072213e-02,-1.923342e-01,1.625215e-01,0.76223,1,1,2.04343,-1.55243,0,0.00669493,0,0,
40, 1.326522e+10, 2.537548e+03, 1.007322e+10,6.087280e+06,2.146127e+03,2.017721e+02,8.101377e-03,6.857163e+06,2.339184e+03,1.891240e+02,2.499616e-03,-6.095713e-03,-5.191487e-02,-3.312477e-01,3.551376e+01,3.871145e+00,5.986997e+00,-2.368831e-01,3.093881e+01,3.218174e+00,5.310685e+00,2.560277e-01,1.922281e-01,-3.135904e-01,2.298638e-01,0.689414,1,1,2.09155,-1.60055,0,0.0238386,0,0,
50, 8.330868e+09, 2.433396e+03, 1.039172e+10,6.092184e+06,2.147825e+03,2.018698e+02,7.302250e-03,6.853146e+06,2.339000e+03,1.892187e+02,3.083904e-03,5.137576e-03,-6.421925e-02,-3.905291e-01,3.675171e+01,3.900447e+00,6.043667e+00,-2.799987e-01,2.783705e+01,3.085469e+00,5.064785e+00,3.306144e-01,2.863955e-01,-4.148531e-01,2.410676e-01,0.641089,1,1,2.15241,-1.66141,0,-0.0209462,0,0,
60, 1.464800e+10, 2.443948e+03, 2.103258e+10,6.095759e+06,2.149726e+03,2.009779e+02,6.719667e-03,6.855337e+06,2.340016e+03,1.891581e+02,2.765236e-03,6.212467e-03,-1.023886e-02,-5.271275e-01,3.895542e+01,4.114201e+00,6.330634e+00,-3.567501e-01,2.758997e+01,3.065905e+00,5.000809e+00,3.365559e-01,3.636691e-01,-5.183401e-01,2.784861e-01,0.594501,1,1,2.20739,-1.71639,0,0.015823,0,0,
70, 2.570191e+10, 2.409489e+03, 4.404805e+11,6.104889e+06,2.152583e+03,2.024137e+02,5.232057e-03,6.836837e+06,2.337640e+03,1.893906e+02,5.456377e-03,2.196153e-04,-5.662372e-02,-6.039003e-01,3.957904e+01,4.294288e+00,6.574002e+00,-3.784698e-01,2.638545e+01,2.991020e+00,4.861177e+00,3.655203e-01,4.254996e-01,-6.524982e-01,3.486484e-01,0.530452,1,1,2.23063,-1.73963,0,0.0341935,0,0,
80, 9.692692e+11, 2.272658e+03, 5.520773e+11,5.947847e+06,2.110283e+03,2.019790e+02,3.082139e-02,6.588830e+06,2.291508e+03,1.881599e+02,4.153356e-02,3.828241e-02,-1.576519e-01,-7.014875e-01,4.464449e+01,4.595816e+00,6.959191e+00,-5.548905e-01,2.380025e+01,2.645030e+00,4.427007e+00,4.276855e-01,5.386835e-01,-8.541876e-01,4.409510e-01,0.480239,1,1,2.28946,-1.79846,0,0.0900822,0,0,
90, 1.259106e+12, 1.428672e+03, 6.539208e+11,2.979920e+06,1.308825e+03,9.850240e+01,5.144336e-01,3.309476e+06,1.408009e+03,1.056310e+02,5.185759e-01,1.601892e-01,-3.222533e-01,-6.358466e-01,4.023013e+01,4.226498e+00,6.471850e+00,-4.011462e-01,2.041192e+01,2.556568e+00,4.190632e+00,5.091633e-01,5.886441e-01,-1.011045e+00,4.299729e-01,0.41745,1,1,2.3473,-1.8563,0,0.129546,0,0,
