epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc
0,1.75E+09,6.78E+04,1.47E+09,6.66E+06,2.31E+03,2.08E+02,8.68E-03,6.45E+06,2.26E+03,1.88E+02,2.74E-03,3.62E+00,-1.46E+00,8.88E-01,3.72E+01,3.56E+00,5.98E+00,1.79E-02,3.55E+01,3.62E+00,5.90E+00,3.66E-02,2.83E+00,-2.10E+00,7.31E-02,0.99005,1,1,1.828,-1.337,0,-0.09,0,0
10,5.26E+09,6.01E+04,1.65E+10,6.68E+06,2.32E+03,2.08E+02,5.32E-03,6.42E+06,2.26E+03,1.87E+02,8.31E-03,3.48E+00,-1.51E+00,9.44E-01,3.71E+01,3.57E+00,5.99E+00,2.00E-02,3.53E+01,3.62E+00,5.90E+00,3.99E-02,2.79E+00,-2.21E+00,1.78E-01,0.924367,1,1,1.89653,-1.40553,0,-0.0595611,0,0
20,1.22E+11,4.98E+04,5.41E+10,6.51E+06,2.27E+03,2.02E+02,3.12E-02,6.18E+06,2.21E+03,1.83E+02,4.44E-02,3.36E+00,-1.57E+00,1.01E+00,3.44E+01,3.33E+00,5.65E+00,9.26E-02,3.16E+01,3.25E+00,5.36E+00,1.42E-01,2.72E+00,-2.31E+00,2.60E-01,0.890398,1,1,1.93382,-1.44282,0,-0.0357931,0,0
30,8.75E+10,3.95E+04,6.26E+11,6.13E+06,2.20E+03,1.95E+02,8.69E-02,5.80E+06,2.13E+03,1.76E+02,1.03E-01,3.26E+00,-1.66E+00,1.10E+00,2.85E+01,2.81E+00,4.85E+00,2.49E-01,2.51E+01,2.72E+00,4.53E+00,3.18E-01,2.63E+00,-2.41E+00,3.45E-01,0.845592,1,1,1.98571,-1.49471,0,-0.0261697,0,0
40,4.69E+11,8.01E+03,3.03E+11,1.25E+06,8.15E+02,4.70E+01,8.15E-01,1.12E+06,7.82E+02,4.50E+01,8.26E-01,3.21E+00,-1.78E+00,1.22E+00,2.06E+01,2.30E+00,3.94E+00,4.57E-01,1.47E+01,2.08E+00,3.41E+00,6.00E-01,2.59E+00,-2.56E+00,4.75E-01,0.786039,1,1,2.05266,-1.56166,0,-0.0560773,0,0
50,3.00E+11,1.52E+03,4.01E+11,6.34E+05,5.61E+02,2.70E+01,9.06E-01,4.64E+05,4.85E+02,2.40E+01,9.28E-01,3.20E+00,-1.89E+00,1.35E+00,1.48E+01,1.99E+00,3.31E+00,6.09E-01,8.82E+00,1.61E+00,2.56E+00,7.60E-01,2.55E+00,-2.72E+00,6.24E-01,0.749977,1,1,2.09049,-1.59949,0,-0.0852923,0,0
60,7.92E+11,-7.39E+01,5.53E+11,5.16E+05,4.96E+02,2.38E+01,9.23E-01,3.38E+05,4.05E+02,1.95E+01,9.48E-01,3.19E+00,-1.96E+00,1.42E+00,1.31E+01,1.97E+00,3.23E+00,6.53E-01,6.47E+00,1.38E+00,2.17E+00,8.24E-01,2.53E+00,-2.85E+00,7.36E-01,0.731965,1,1,2.10542,-1.61442,0,-0.0966819,0,0
70,1.29E+12,6.15E+02,4.72E+12,6.54E+05,5.66E+02,2.95E+01,9.03E-01,4.68E+05,4.88E+02,2.57E+01,9.28E-01,3.18E+00,-1.97E+00,1.43E+00,1.18E+01,1.85E+00,3.02E+00,6.89E-01,4.74E+00,1.18E+00,1.86E+00,8.71E-01,2.51E+00,-2.96E+00,7.99E-01,0.71196,1,1,2.11968,-1.62868,0,-0.0676226,0,0
80,1.11E+12,-1.12E+03,6.09E+11,4.76E+05,4.63E+02,2.08E+01,9.29E-01,2.81E+05,3.65E+02,1.71E+01,9.57E-01,3.16E+00,-1.97E+00,1.45E+00,1.13E+01,1.79E+00,2.90E+00,7.02E-01,3.98E+00,1.09E+00,1.70E+00,8.92E-01,2.49E+00,-3.04E+00,8.24E-01,0.692961,1,1,2.13056,-1.63956,0,-0.0363703,0,0
90,1.17E+12,-1.57E+03,6.87E+11,3.41E+05,4.07E+02,1.85E+01,9.49E-01,2.31E+05,3.45E+02,1.62E+01,9.64E-01,3.16E+00,-1.99E+00,1.46E+00,1.13E+01,1.80E+00,2.91E+00,7.01E-01,3.27E+00,9.88E-01,1.54E+00,9.11E-01,2.49E+00,-3.10E+00,8.17E-01,0.675493,1,1,2.13514,-1.64414,0,-0.0249304,0,0
100,6.60E+11,-1.85E+03,1.23E+12,3.29E+05,4.02E+02,1.79E+01,9.51E-01,2.17E+05,3.36E+02,1.56E+01,9.67E-01,3.16E+00,-2.01E+00,1.47E+00,1.10E+01,1.74E+00,2.82E+00,7.10E-01,2.85E+00,9.33E-01,1.45E+00,9.23E-01,2.48E+00,-3.16E+00,7.75E-01,0.659725,1,1,2.13701,-1.64601,0,-0.020706,0,0
110,2.57E+12,-1.96E+03,9.55E+11,3.22E+05,4.03E+02,1.80E+01,9.52E-01,2.18E+05,3.44E+02,1.61E+01,9.66E-01,3.11E+00,-2.04E+00,1.51E+00,1.08E+01,1.71E+00,2.78E+00,7.15E-01,2.61E+00,8.98E-01,1.40E+00,9.29E-01,2.47E+00,-3.20E+00,7.13E-01,0.636364,1,1,2.14356,-1.65256,0,-0.00486863,0,0
120,3.64E+11,-2.08E+03,8.13E+11,3.02E+05,3.96E+02,1.83E+01,9.55E-01,2.07E+05,3.36E+02,1.59E+01,9.68E-01,3.08E+00,-2.07E+00,1.52E+00,1.04E+01,1.70E+00,2.76E+00,7.24E-01,2.44E+00,8.73E-01,1.35E+00,9.34E-01,2.46E+00,-3.23E+00,6.37E-01,0.614285,1,1,2.14714,-1.65614,0,0.00298503,0,0
130,8.27E+11,-2.19E+03,8.29E+11,2.77E+05,3.77E+02,1.74E+01,9.59E-01,1.82E+05,3.16E+02,1.45E+01,9.72E-01,3.08E+00,-2.09E+00,1.53E+00,1.03E+01,1.69E+00,2.75E+00,7.29E-01,2.33E+00,8.53E-01,1.32E+00,9.37E-01,2.46E+00,-3.26E+00,5.55E-01,0.593266,1,1,2.14885,-1.65785,0,0.00588541,0,0
140,7.86E+11,-2.20E+03,8.92E+11,2.56E+05,3.61E+02,1.62E+01,9.62E-01,1.65E+05,2.98E+02,1.32E+01,9.75E-01,3.07E+00,-2.11E+00,1.54E+00,1.01E+01,1.68E+00,2.74E+00,7.32E-01,2.27E+00,8.41E-01,1.30E+00,9.38E-01,2.46E+00,-3.28E+00,4.72E-01,0.573894,1,1,2.15479,-1.66379,0,-0.00337704,0,0
150,4.85E+11,-2.27E+03,5.12E+11,2.53E+05,3.59E+02,1.64E+01,9.62E-01,1.57E+05,2.92E+02,1.28E+01,9.76E-01,3.07E+00,-2.13E+00,1.53E+00,9.97E+00,1.67E+00,2.72E+00,7.37E-01,2.22E+00,8.32E-01,1.29E+00,9.40E-01,2.45E+00,-3.30E+00,3.90E-01,0.553747,1,1,2.15908,-1.66808,0,-0.00867236,0,0
160,7.28E+11,-2.31E+03,2.97E+11,2.57E+05,3.60E+02,1.66E+01,9.62E-01,1.60E+05,2.95E+02,1.29E+01,9.75E-01,3.07E+00,-2.14E+00,1.51E+00,9.85E+00,1.66E+00,2.70E+00,7.40E-01,2.19E+00,8.26E-01,1.28E+00,9.41E-01,2.45E+00,-3.31E+00,3.14E-01,0.534411,1,1,2.16131,-1.67031,0,-0.0110723,0,0
170,2.98E+11,-2.35E+03,3.48E+11,2.57E+05,3.62E+02,1.67E+01,9.62E-01,1.61E+05,2.98E+02,1.31E+01,9.75E-01,3.07E+00,-2.14E+00,1.49E+00,9.68E+00,1.64E+00,2.68E+00,7.44E-01,2.17E+00,8.23E-01,1.27E+00,9.41E-01,2.45E+00,-3.32E+00,2.46E-01,0.517877,1,1,2.16257,-1.67157,0,-0.0119107,0,0
180,3.16E+11,-2.41E+03,2.11E+11,2.56E+05,3.62E+02,1.67E+01,9.62E-01,1.61E+05,2.98E+02,1.32E+01,9.75E-01,3.05E+00,-2.14E+00,1.46E+00,9.41E+00,1.62E+00,2.63E+00,7.51E-01,2.19E+00,8.29E-01,1.28E+00,9.41E-01,2.45E+00,-3.33E+00,1.84E-01,0.491131,1,1,2.16493,-1.67393,0,-0.00736163,0,0
190,2.91E+11,-2.46E+03,2.65E+11,2.54E+05,3.60E+02,1.66E+01,9.62E-01,1.60E+05,2.97E+02,1.30E+01,9.75E-01,3.05E+00,-2.15E+00,1.44E+00,9.58E+00,1.64E+00,2.67E+00,7.47E-01,2.22E+00,8.44E-01,1.30E+00,9.40E-01,2.44E+00,-3.35E+00,1.33E-01,0.471573,1,1,2.16635,-1.67535,0,-0.00543329,0,0
200,1.74E+11,-2.49E+03,7.23E+11,2.51E+05,3.58E+02,1.65E+01,9.63E-01,1.58E+05,2.95E+02,1.29E+01,9.76E-01,3.05E+00,-2.15E+00,1.41E+00,9.29E+00,1.62E+00,2.63E+00,7.55E-01,2.14E+00,8.38E-01,1.29E+00,9.42E-01,2.44E+00,-3.36E+00,1.05E-01,0.457035,1,1,2.16772,-1.67672,0,-0.00469563,0,0
210,3.32E+11,-2.28E+03,3.04E+11,3.41E+05,4.05E+02,1.77E+01,9.49E-01,2.17E+05,3.37E+02,1.55E+01,9.66E-01,3.00E+00,-2.14E+00,1.37E+00,9.15E+00,1.62E+00,2.62E+00,7.58E-01,2.04E+00,8.13E-01,1.25E+00,9.45E-01,2.44E+00,-3.38E+00,8.87E-02,0.42857,1,1,2.1948,-1.7038,0,0.0268273,0,0
220,2.59E+11,-2.37E+03,2.49E+11,3.10E+05,3.95E+02,1.77E+01,9.54E-01,2.08E+05,3.37E+02,1.56E+01,9.68E-01,2.97E+00,-2.14E+00,1.35E+00,9.27E+00,1.62E+00,2.62E+00,7.55E-01,2.03E+00,8.20E-01,1.25E+00,9.45E-01,2.44E+00,-3.40E+00,7.38E-02,0.408853,1,1,2.2155,-1.7245,0,0.0504207,0,0
