epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc,
0, 3.600160e+11, 2.883155e+03, 1.690191e+09,6.753993e+06,2.271733e+03,1.456772e+02,1.028746e-03,7.064688e+06,2.329407e+03,1.497920e+02,3.027261e-04,6.729735e-09,-1.999970e-02,6.462172e-09,4.242424e+01,4.304797e+00,6.417463e+00,3.830515e-03,4.507922e+01,4.359474e+00,6.595762e+00,5.798445e-03,1.999999e-02,-1.999999e-02,3.000340e-07,0.99005,1,1,1.828,-1.337,0,-0.09,0,0,
10, 2.041884e+11, 2.813900e+03, 1.219110e+10,6.650811e+06,2.254248e+03,1.439561e+02,1.629022e-02,6.989723e+06,2.320789e+03,1.487693e+02,1.091069e-02,2.674525e-04,-1.006255e-01,-1.760650e-02,4.108753e+01,4.197993e+00,6.289668e+00,3.521802e-02,4.311259e+01,4.192089e+00,6.380396e+00,4.917154e-02,3.282203e-02,-1.288564e-01,9.713253e-02,0.923483,1,1,1.88955,-1.39855,0,-0.0807071,0,0,
20, 4.183456e+10, 2.504099e+03, 4.349099e+10,6.216585e+06,2.201842e+03,1.325264e+02,8.051593e-02,6.465633e+06,2.272733e+03,1.335920e+02,8.507266e-02,8.903210e-02,-2.051785e-01,5.985205e-02,3.404495e+01,3.719965e+00,5.663882e+00,2.005857e-01,3.720994e+01,3.770132e+00,5.842482e+00,1.793518e-01,1.684767e-01,-2.520781e-01,2.022100e-01,0.87886,1,1,1.9411,-1.4501,0,-0.0900872,0,0,
30, 1.357427e+12, 2.468991e+03, 1.688190e+12,6.219549e+06,2.200780e+03,1.329370e+02,8.007742e-02,6.448436e+06,2.268977e+03,1.339316e+02,8.750618e-02,9.268330e-02,-2.760735e-01,4.269176e-02,3.303911e+01,3.654208e+00,5.575066e+00,2.242040e-01,3.586943e+01,3.670247e+00,5.708215e+00,2.089162e-01,2.662966e-01,-4.029532e-01,3.197542e-01,0.842747,1,1,1.98133,-1.49033,0,-0.0516644,0,0,
40, 4.853775e+11, 2.318395e+03, 4.410006e+12,6.217395e+06,2.201431e+03,1.326168e+02,8.039605e-02,6.448946e+06,2.269840e+03,1.337179e+02,8.743398e-02,7.988098e-02,-2.996534e-01,-4.560596e-02,2.850827e+01,3.232902e+00,4.969979e+00,3.305932e-01,3.128157e+01,3.262599e+00,5.111892e+00,3.100994e-01,2.869808e-01,-5.485338e-01,4.518134e-01,0.823951,1,1,1.99701,-1.50601,0,-0.0362494,0,0,
50, 1.061541e+12, 2.276762e+03, 2.126890e+12,6.207227e+06,2.198892e+03,1.325446e+02,8.189998e-02,6.463392e+06,2.272513e+03,1.337538e+02,8.538981e-02,9.432712e-02,-2.855947e-01,-1.506667e-01,2.674760e+01,3.142635e+00,4.821022e+00,3.719359e-01,2.965825e+01,3.154469e+00,4.939947e+00,3.459009e-01,3.721907e-01,-6.863184e-01,5.323682e-01,0.81389,1,1,2.00345,-1.51245,0,-0.0302454,0,0,
60, 8.100290e+11, 2.211265e+03, 8.279299e+11,6.212848e+06,2.200040e+03,1.326273e+02,8.106853e-02,6.456638e+06,2.270482e+03,1.337693e+02,8.634551e-02,8.229482e-02,-2.854774e-01,-2.426872e-01,2.460227e+01,2.917015e+00,4.495117e+00,4.223106e-01,2.783962e+01,2.976273e+00,4.682175e+00,3.860099e-01,4.565332e-01,-8.304620e-01,5.481885e-01,0.806669,1,1,2.00715,-1.51615,0,-0.0279017,0,0,
70, 6.037834e+11, 2.190033e+03, 4.454811e+11,6.202539e+06,2.199226e+03,1.324150e+02,8.259342e-02,6.466301e+06,2.273474e+03,1.336924e+02,8.497816e-02,9.072186e-02,-2.789114e-01,-3.354637e-01,2.364475e+01,2.806219e+00,4.340986e+00,4.447944e-01,2.697445e+01,2.905588e+00,4.577453e+00,4.050910e-01,5.014194e-01,-9.676697e-01,4.771498e-01,0.798588,1,1,2.00919,-1.51819,0,-0.0270047,0,0,
80, 4.201073e+11, 2.146134e+03, 3.607802e+11,6.208180e+06,2.200863e+03,1.325063e+02,8.175903e-02,6.456035e+06,2.270768e+03,1.336715e+02,8.643087e-02,8.679390e-02,-2.851073e-01,-4.072835e-01,2.373345e+01,2.854156e+00,4.406491e+00,4.427116e-01,2.558386e+01,2.826031e+00,4.455467e+00,4.357598e-01,5.138494e-01,-1.084364e+00,3.326317e-01,0.793695,1,1,2.01,-1.519,0,-0.026668,0,0,
90, 1.495986e+11, 2.087110e+03, 2.170165e+11,6.209816e+06,2.201224e+03,1.325251e+02,8.151710e-02,6.455135e+06,2.270172e+03,1.336761e+02,8.655826e-02,8.990354e-02,-2.875554e-01,-4.805270e-01,2.218140e+01,2.693677e+00,4.183178e+00,4.791553e-01,2.386728e+01,2.695165e+00,4.260840e+00,4.736181e-01,5.690872e-01,-1.227889e+00,2.007573e-01,0.790525,1,1,2.01038,-1.51938,0,-0.0265432,0,0,
