epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc
0,5.81E+08,6.77E+04,4.09E+08,7.40E+06,2.37E+03,1.56E+02,-1.02E-02,6.74E+06,2.26E+03,1.34E+02,8.89E-03,3.62E+00,-1.46E+00,8.88E-01,4.51E+01,4.29E+00,6.59E+00,9.31E-03,4.10E+01,4.19E+00,6.31E+00,7.55E-03,2.81E+00,-2.08E+00,5.31E-02,0.99005,1,1,1.828,-1.337,0,-0.11,0,0
10,6.19E+09,5.85E+04,6.69E+09,6.95E+06,2.30E+03,1.49E+02,5.14E-02,6.40E+06,2.20E+03,1.30E+02,5.89E-02,3.55E+00,-1.59E+00,1.01E+00,4.20E+01,4.02E+00,6.21E+00,7.59E-02,3.88E+01,3.97E+00,6.03E+00,6.11E-02,2.67E+00,-2.13E+00,9.99E-02,0.946465,1,1,1.87108,-1.38008,0,-0.150351,0,0
20,5.87E+12,4.60E+04,2.40E+17,6.44E+06,2.24E+03,1.34E+02,1.20E-01,6.01E+06,2.15E+03,1.21E+02,1.17E-01,3.43E+00,-1.71E+00,1.09E+00,3.58E+01,3.58E+00,5.63E+00,2.13E-01,3.34E+01,3.53E+00,5.47E+00,1.93E-01,2.55E+00,-2.20E+00,1.68E-01,0.912165,1,1,1.90652,-1.41552,0,-0.178983,0,0
30,1.52E+15,1.96E+04,7.34E+12,2.66E+06,1.26E+03,5.64E+01,6.37E-01,2.15E+06,1.15E+03,5.16E+01,6.84E-01,3.33E+00,-1.82E+00,1.18E+00,3.52E+01,3.53E+00,5.57E+00,2.26E-01,3.27E+01,3.48E+00,5.40E+00,2.09E-01,2.46E+00,-2.28E+00,2.43E-01,0.868435,1,1,1.95432,-1.46332,0,-0.196678,0,0
40,3.60E+12,7.90E+03,1.13E+12,1.01E+06,7.38E+02,3.00E+01,8.62E-01,8.07E+05,6.41E+02,2.51E+01,8.81E-01,3.25E+00,-1.92E+00,1.28E+00,3.09E+01,3.16E+00,5.03E+00,3.20E-01,2.66E+01,2.96E+00,4.65E+00,3.56E-01,2.38E+00,-2.38E+00,3.25E-01,0.840566,1,1,1.9913,-1.5003,0,-0.206172,0,0
50,9.21E+11,6.79E+03,1.39E+12,1.17E+06,7.95E+02,3.81E+01,8.41E-01,8.50E+05,6.78E+02,3.29E+01,8.75E-01,3.26E+00,-1.99E+00,1.36E+00,2.66E+01,2.82E+00,4.49E+00,4.15E-01,2.13E+01,2.51E+00,3.97E+00,4.84E-01,2.29E+00,-2.48E+00,4.03E-01,0.806663,1,1,2.03511,-1.54411,0,-0.222257,0,0
60,1.38E+13,6.52E+02,7.37E+11,4.73E+05,4.99E+02,1.86E+01,9.35E-01,2.83E+05,3.88E+02,1.39E+01,9.58E-01,3.26E+00,-2.06E+00,1.48E+00,2.27E+01,2.49E+00,3.96E+00,5.01E-01,1.43E+01,2.03E+00,3.17E+00,6.54E-01,2.22E+00,-2.60E+00,4.89E-01,0.78829,1,1,2.0598,-1.5688,0,-0.232963,0,0
70,8.13E+11,-1.27E+03,1.10E+12,3.56E+05,4.25E+02,1.38E+01,9.51E-01,2.00E+05,3.25E+02,1.00E+01,9.71E-01,3.26E+00,-2.10E+00,1.52E+00,1.98E+01,2.19E+00,3.47E+00,5.64E-01,8.50E+00,1.51E+00,2.34E+00,7.94E-01,2.18E+00,-2.73E+00,5.79E-01,0.780645,1,1,2.06978,-1.57878,0,-0.237011,0,0
80,4.92E+11,-1.79E+03,1.11E+12,3.51E+05,4.23E+02,1.44E+01,9.52E-01,1.93E+05,3.19E+02,9.85E+00,9.72E-01,3.26E+00,-2.12E+00,1.54E+00,2.10E+01,2.19E+00,3.48E+00,5.39E-01,6.23E+00,1.30E+00,1.98E+00,8.49E-01,2.16E+00,-2.83E+00,6.27E-01,0.776585,1,1,2.07387,-1.58287,0,-0.238772,0,0
90,6.75E+11,-1.88E+03,7.41E+11,3.41E+05,4.18E+02,1.43E+01,9.53E-01,1.86E+05,3.14E+02,9.69E+00,9.73E-01,3.26E+00,-2.14E+00,1.54E+00,1.98E+01,2.16E+00,3.43E+00,5.65E-01,5.69E+00,1.23E+00,1.88E+00,8.62E-01,2.15E+00,-2.90E+00,6.19E-01,0.773899,1,1,2.07547,-1.58447,0,-0.239464,0,0
